Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MS4A1	0	1.7514387010322	0.94	0.04	0
BANK1	1.50743842858375e-66	0.809220784629793	0.343	0.035	4.20560247190581e-62
LTB	7.8063862793272e-39	0.836950624441414	0.463	0.109	2.1779037080695e-34
BIRC3	8.77561622044989e-38	0.706748864456105	0.291	0.045	2.44830916934331e-33
SRGN	7.1730516008603e-33	-0.825231306644532	0.44	0.879	2.00120966612402e-28
RALGPS2	9.85541169183827e-32	0.760140486634383	0.351	0.08	2.74956130790596e-27
CFD	3.75141725724178e-28	-1.06339944074155	0.112	0.633	1.04660790059788e-23
JCHAIN	1.36929046035249e-27	0.750920729263787	0.366	0.09	3.8201834553374e-23
GAPDH	4.49851150442757e-26	-0.611072627312218	0.507	0.846	1.25503972462025e-21
CD79B	1.4041574445113e-25	0.640547693999071	0.276	0.06	3.91745885444209e-21
ANXA1	3.64908704755848e-20	-0.754963748177604	0.231	0.703	1.01805879539834e-15
AIF1	4.02704858166543e-19	-0.728707933233018	0.216	0.703	1.12350628379884e-14
ENO1	6.89049614055378e-19	-0.637371608901339	0.351	0.748	1.9223795182531e-14
CSTA	5.8032330077507e-18	-0.762160906497294	0.03	0.424	1.61904397683237e-13
VIM	1.21004795990406e-17	-0.46676759107188	0.634	0.898	3.37591280333632e-13
VAMP8	2.78849243728149e-16	-0.631119786795707	0.269	0.676	7.77961505077164e-12
MGST1	2.82730335601554e-16	-0.687270646635916	0.007	0.363	7.88789363294775e-12
LYZ	3.59093190449182e-16	-0.960868745265378	0.157	0.538	1.00183409203417e-11
CST3	3.72757509033996e-16	-0.653677435842133	0.254	0.678	1.03995617445395e-11
SERPINB1	5.20259517521285e-16	-0.717371981790224	0.142	0.541	1.45147202793263e-11
TYROBP	8.10124163175312e-15	-0.515658071343207	0.448	0.806	2.2601654028428e-10
LRRC75A-AS1	1.22994738940457e-14	-0.48580535098456	0.5	0.777	3.4314302216998e-10
HCST	1.61317366746209e-14	-0.626986179204754	0.104	0.478	4.50059321485248e-10
APLP2	2.25673393443845e-14	-0.624952378278923	0.194	0.568	6.29606200368983e-10
GPX1	3.88407086714037e-14	-0.462632079057754	0.545	0.855	1.08361693122349e-09
RNASE2	4.09065867550696e-13	-0.620674560634159	0.022	0.333	1.14125286387969e-08
TKT	4.49678607715215e-13	-0.583070426274743	0.246	0.621	1.25455834766468e-08
CANX	5.37160331713101e-13	-0.566886727284021	0.231	0.605	1.49862360944638e-08
CD302	1.89997527837226e-12	-0.555523269108349	0.09	0.428	5.30074102913077e-08
NCOA4	2.16698076907744e-12	-0.569118530309531	0.097	0.44	6.04565964764915e-08
CREG1	2.39987098704423e-12	-0.542478117562625	0.045	0.352	6.69540006675469e-08
NUCB2	9.16067789944173e-12	-0.58203818784312	0.097	0.419	2.55573752716525e-07
TSPO	2.20826579240106e-11	-0.53171197249956	0.179	0.533	6.16084073421971e-07
DUT	2.50168304158897e-11	-0.562987419995661	0.142	0.467	6.97944551772906e-07
TUBA1B	2.58343095008484e-11	-0.573193495251703	0.172	0.478	7.20751400764171e-07
CPVL	3.01522997525173e-11	-0.578610944969752	0.045	0.329	8.41219010795481e-07
JAML	3.555831339517e-11	-0.570793307163849	0.134	0.443	9.92041385411847e-07
SPINK2	5.45267612895612e-11	-0.561535782504684	0.209	0.534	1.52124211321747e-06
LDHB	5.71884625379021e-11	-0.52203274390295	0.119	0.438	1.59550091634493e-06
CLEC12A	6.82004482660235e-11	-0.508975423941254	0.045	0.328	1.90272430617379e-06
S100A6	8.02651536283904e-11	-0.507196060893864	0.336	0.68	2.23931752107846e-06
ALDOA	9.18972685379704e-11	-0.510266919002096	0.231	0.592	2.56384189494083e-06
CALR	1.52818661022634e-10	-0.512036012437153	0.246	0.569	4.26348782387046e-06
XBP1	2.3594899833742e-10	-0.500332215522589	0.097	0.387	6.58274110461567e-06
PSMA6	2.39441198251386e-10	-0.499454629930117	0.194	0.522	6.68016999001542e-06
TXN	2.47594057741335e-10	-0.498409148709099	0.187	0.513	6.90762661692552e-06
TNFSF13B	3.05008785600585e-10	-0.474974904434919	0.03	0.289	8.50944010947072e-06
CTSG	3.11477492958439e-10	-0.541173186208546	0.03	0.283	8.68991057604749e-06
RTN3	3.29814824072967e-10	-0.476191288857659	0.097	0.396	9.20150377681171e-06
CD99	3.46188657319782e-10	-0.506166268496475	0.231	0.56	9.65831735056461e-06
FGL2	4.85566796840856e-10	-0.587519855470448	0.052	0.312	1.3546828065063e-05
HSP90B1	4.9120386812461e-10	-0.486523543512158	0.261	0.58	1.37040967168085e-05
GLIPR1	5.11232708011877e-10	-0.50326718730804	0.164	0.472	1.42628813208234e-05
HSPD1	7.02826463379417e-10	-0.498227713004661	0.194	0.505	1.96081555018224e-05
SELENOP	7.62128943657364e-10	-0.480059134241368	0.015	0.252	2.12626353990968e-05
TALDO1	7.83747308484776e-10	-0.481203592000778	0.134	0.438	2.18657661594168e-05
PKM	1.38356418882675e-09	-0.456133865657898	0.127	0.424	3.86000573040775e-05
EZR	1.58124729106819e-09	0.521332993488356	0.388	0.222	4.41152181735114e-05
MLEC	2.06199343047148e-09	-0.459660845155781	0.082	0.357	5.75275547167237e-05
DUSP6	3.10882505091806e-09	-0.472135334748075	0.231	0.545	8.67331100955628e-05
EMB	3.20460559499178e-09	-0.414468209502695	0.433	0.721	8.94052914946758e-05
HSP90AB1	4.03563131183917e-09	-0.420629354386143	0.463	0.762	0.000112590077969001
PTPRCAP	6.24428035641924e-09	0.435241908738773	0.478	0.313	0.00017420917766374
TIMP1	7.25005582100975e-09	-0.435885339581247	0.104	0.378	0.000202269307350351
PPA1	8.7818569956953e-09	-0.419966466252867	0.052	0.289	0.000245005028322903
GRN	1.0021439723843e-08	-0.442348737613707	0.149	0.441	0.000279588146855495
H2AFZ	1.03867844338888e-08	-0.479968139982442	0.134	0.4	0.000289780898921064
CCDC50	1.12522259203199e-08	0.404742386310999	0.269	0.12	0.000313925850951006
S100A4	1.16671982261364e-08	-0.383745789399034	0.493	0.763	0.00032550316331098
CD63	1.16822438068133e-08	-0.432331195378117	0.187	0.487	0.000325922919966284
CDK6	1.34997155372154e-08	-0.469947042595655	0.201	0.491	0.000376628563772773
SYNCRIP	1.75393516738566e-08	-0.418312659714527	0.082	0.337	0.000489330372348925
RUNX1	1.76903365590406e-08	-0.408806436401314	0.052	0.289	0.000493542699660675
STMN1	1.929959564782e-08	-0.475764511847115	0.112	0.371	0.000538439418978531
PRSS57	2.07218945477701e-08	-0.425761312250053	0.045	0.27	0.000578120135988237
COX8A	2.48491637558189e-08	-0.425068333770356	0.172	0.468	0.000693266819623591
NPC2	3.30730360030081e-08	-0.406215219469167	0.119	0.382	0.000922704631447923
CAP1	3.54264156770956e-08	-0.409532176876414	0.388	0.709	0.00098836157097529
ARF1	3.64907545541914e-08	-0.416537527612651	0.149	0.421	0.00101805556130739
