Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MS4A1	0	1.7514387010322	0.94	0.04	0
BANK1	1.50743842858375e-66	0.809220784629793	0.343	0.035	4.20560247190581e-62
LTB	7.8063862793272e-39	0.836950624441414	0.463	0.109	2.1779037080695e-34
BIRC3	8.77561622044989e-38	0.706748864456105	0.291	0.045	2.44830916934331e-33
RALGPS2	9.85541169183827e-32	0.760140486634383	0.351	0.08	2.74956130790596e-27
JCHAIN	1.36929046035249e-27	0.750920729263787	0.366	0.09	3.8201834553374e-23
CD79B	1.4041574445113e-25	0.640547693999071	0.276	0.06	3.91745885444209e-21
EZR	1.58124729106819e-09	0.521332993488356	0.388	0.222	4.41152181735114e-05
PTPRCAP	6.24428035641924e-09	0.435241908738773	0.478	0.313	0.00017420917766374
CCDC50	1.12522259203199e-08	0.404742386310999	0.269	0.12	0.000313925850951006
PPM1K	6.0173238271214e-08	0.419649992932203	0.291	0.146	0.0016787731745286
