Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GPX1	2.02926994558543e-15	-1.30138799378448	0.132	0.851	5.66146022118879e-11
HLA-DRA	1.65591450706522e-14	-1.2352576781783	0.184	0.827	4.61983588326125e-10
CD74	3.6772922031834e-13	-0.809349854671935	0.5	0.917	1.02592775176614e-08
TYROBP	1.15109884607656e-12	-1.10614622340477	0.158	0.799	3.21145067066899e-08
AIF1	2.38026226074501e-12	-1.19926773950157	0.053	0.693	6.6406936812525e-08
VIM	3.72892973094559e-10	-0.690625175610465	0.526	0.892	1.04033410563651e-05
HLA-DRB5	3.97313769136121e-10	-1.07070374722858	0.026	0.585	1.10846568451286e-05
CST3	5.23182148889824e-10	-1.02636473442663	0.105	0.669	1.45962587718772e-05
CFD	7.13404810457233e-10	-1.14712368464489	0.079	0.62	1.99032808069464e-05
RPS24	9.39981935488606e-10	-0.295237956618826	0.868	0.987	2.62245560181966e-05
HLA-DPA1	1.69522284313109e-09	-0.978082154572313	0.158	0.702	4.72950221005143e-05
TKT	1.80964532707077e-09	-1.00566339976433	0.079	0.613	5.04872949799473e-05
LGALS1	4.85948116256966e-09	-0.970996100774872	0.158	0.689	0.000135574664954531
LST1	1.26827609678429e-08	-0.937707409719251	0.053	0.561	0.00035383634824185
HLA-DRB1	3.85620521060106e-08	-0.872111601555189	0.184	0.706	0.00107584269170559
LRRC75A-AS1	7.02667955183302e-08	-0.729365724001189	0.368	0.772	0.0019603733281659
RPL6	8.26746449457122e-08	-0.270126637849925	0.868	0.978	0.00230653991934042
GSTP1	9.56455833422561e-08	-0.798073781564858	0.237	0.721	0.0026684161296656
SPINK2	1.06274431077961e-07	-0.96294534714202	0.079	0.527	0.00296495035264402
FLT3	3.90652195851687e-07	-0.838668916935244	0.053	0.506	0.0108988056120662
ENO1	4.89349592115161e-07	-0.672379467666508	0.342	0.738	0.0136523642704209
H3F3A	7.81535833893061e-07	-0.51692945852469	0.579	0.925	0.0218040682297825
ACTG1	1.2194495423356e-06	-0.568039296178038	0.5	0.875	0.034021422781621
