Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GZMK	2.6948575374898e-185	1.07735953413406	0.421	0.004	7.5183830438428e-181
CD8A	2.40279443845691e-63	0.94143862577483	0.395	0.016	6.70355620385092e-59
GZMA	1.50931556830343e-62	1.10345551042944	0.474	0.024	4.21083950400975e-58
KLRK1	2.31224482764173e-60	1.05652481357452	0.474	0.025	6.45093184463767e-56
CD3E	2.57943146759707e-54	0.80673895478337	0.342	0.014	7.19635585144906e-50
CD3D	1.03027123823453e-51	1.00398535607353	0.447	0.026	2.87435372755052e-47
CCL5	1.37416390603941e-50	1.68106063231266	0.895	0.136	3.83377988145935e-46
IL32	4.47392691339497e-42	0.949474887670271	0.395	0.025	1.24818086956806e-37
SYNE2	8.61080921539642e-38	1.10359507207333	0.474	0.042	2.40232966300345e-33
ETS1	5.77331347876086e-37	1.15481709340549	0.632	0.079	1.61069672743949e-32
IL7R	4.78521259937352e-34	0.939048964068749	0.395	0.032	1.33502646309922e-29
KLRB1	2.48388582197616e-29	0.773891970432674	0.289	0.02	6.92979305473129e-25
CD2	5.35719406533899e-28	1.057979391002	0.5	0.066	1.49460357228893e-23
KLRG1	1.24589554476525e-27	0.737708686080058	0.316	0.025	3.47592398034057e-23
CMC1	4.19146180595223e-25	1.30753366419222	0.658	0.141	1.16937592924261e-20
DUSP2	3.78666259040834e-21	0.804539963265791	0.316	0.034	1.05644099609802e-16
LBH	1.04838908886936e-16	0.714055733262944	0.316	0.042	2.92490071903663e-12
GIMAP7	2.1792678826422e-15	0.877791405249198	0.474	0.101	6.07993946578348e-11
SLFN5	3.80198819982909e-15	0.783632787006524	0.368	0.063	1.06071668787032e-10
NKG7	5.99156120019103e-14	0.877163405922516	0.447	0.102	1.67158565924129e-09
SYNE1	1.00491900679196e-12	0.7174293284328	0.342	0.064	2.80362353704888e-08
IFITM1	2.56963426054233e-12	0.850072364000164	0.5	0.138	7.16902262348705e-08
ISG20	2.14669542938197e-10	0.497897689104812	0.263	0.045	5.98906557843275e-06
FYN	3.02517992155105e-10	0.518825047139613	0.263	0.047	8.43994946313528e-06
SH2D1A	3.44365897052048e-09	0.644047751563999	0.316	0.074	9.60746416185509e-05
GIMAP4	3.5109927604634e-09	0.540711672626431	0.263	0.051	9.79531870241683e-05
ATM	9.65413648678546e-09	0.753541652275975	0.421	0.141	0.000269340753844828
HLA-E	5.97825321365215e-08	0.443295250317739	0.895	0.719	0.00166787286407681
PTPRC	6.0357258248822e-08	0.462451445926011	0.842	0.699	0.00168390714788388
PTPRCAP	2.21342200034966e-07	0.664586448012727	0.605	0.315	0.00617522603877553
CLEC2B	3.34022254664419e-07	0.595424664443109	0.421	0.154	0.00931888688288263
CST7	6.10734111983e-07	0.647580571542522	0.421	0.158	0.0170388709902137
