Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD74	3.23743622466421e-71	-0.437809621515375	0.827	0.923	9.03212332319067e-67
HLA-DRA	1.76464757139448e-56	-0.511759016288055	0.673	0.837	4.92319025943347e-52
FTH1	4.65892588163779e-56	-0.446790615132981	0.724	0.83	1.29979373171813e-51
CD36	3.11013611816962e-49	-0.792793030881211	0.291	0.615	8.67696875608143e-45
S100A4	4.68261745396614e-45	-0.496156735618697	0.592	0.772	1.30640344348201e-40
CD52	7.97534198038417e-38	-0.414075404779891	0.673	0.817	2.22504065910738e-33
TXNIP	4.51916575416116e-33	-0.346298916921464	0.755	0.79	1.26080205375342e-28
PTPRC	4.74069928495498e-33	-0.42341537678773	0.61	0.711	1.32260769350959e-28
HLA-DRB1	3.06072956118587e-32	-0.430997285929655	0.592	0.714	8.53912940275245e-28
JAML	1.3689477669276e-31	-0.650473582048246	0.196	0.459	3.81922737495131e-27
HLA-DPB1	3.16482984972066e-31	-0.495040722986294	0.518	0.652	8.82955879773568e-27
HLA-DPA1	2.95413945079611e-30	-0.421926258752538	0.605	0.707	8.24175365377608e-26
SAMHD1	6.3731526554526e-30	-0.563835582648181	0.398	0.576	1.77804585934472e-25
S100A6	2.3070840831205e-24	-0.383909038661356	0.582	0.678	6.43653388349787e-20
FGL2	1.69221484423692e-23	-0.617934637802246	0.099	0.326	4.72111019393659e-19
LST1	2.05540668632281e-23	-0.432866607210551	0.446	0.568	5.73437911417201e-19
MYL12A	2.27427894559486e-22	-0.300467004233259	0.663	0.695	6.34501083031509e-18
HLA-E	3.30540917064804e-21	-0.293697236503914	0.689	0.725	9.22176104519096e-17
FCER1G	3.66561247142966e-21	-0.532566558576142	0.143	0.348	1.02266922340416e-16
LGALS1	4.69351969707131e-21	-0.377948025250722	0.538	0.7	1.30944506028593e-16
AHNAK	4.7803178231785e-21	-0.464809829421221	0.38	0.523	1.33366086948857e-16
NAPSB	3.49525296824032e-19	-0.505909209068371	0.097	0.293	9.75140625609367e-15
CST3	4.42112494624124e-19	-0.3050731249468	0.648	0.665	1.23344964875184e-14
CAP1	5.21485276614657e-19	-0.262484770774939	0.671	0.701	1.45489177322723e-14
IFI30	3.05045254672705e-17	-0.506668715060302	0.082	0.26	8.51045756011379e-13
HLA-DRB5	8.62342113599099e-17	-0.342743541360979	0.523	0.586	2.40584826273013e-12
RIPOR2	2.9950276495134e-16	-0.467303540001314	0.143	0.316	8.35582763937745e-12
FTH1P3	3.40728999451012e-16	-0.395379542157841	0.395	0.495	9.50599835568378e-12
CYBB	9.3608805400338e-16	-0.428743607199871	0.258	0.418	2.61159206186403e-11
IQGAP1	1.33161302089602e-15	-0.359739476509196	0.429	0.537	3.7150671669978e-11
CTSS	2.97181520233139e-14	-0.405771560547145	0.49	0.548	8.29106723298435e-10
DDIT4	9.38182128468357e-13	-0.400067994002349	0.13	0.276	2.61743432021387e-08
MEF2C	3.16831089570724e-12	-0.382884737804956	0.163	0.302	8.83927056793364e-08
MS4A6A	4.25574667907381e-12	-0.44848068466648	0.117	0.254	1.1873107659948e-07
ITGB2	1.5378468182813e-11	-0.311285310704945	0.454	0.512	4.290438838323e-07
GLIPR1	2.16786437577146e-11	-0.330750794867859	0.388	0.469	6.04812482196479e-07
CD53	3.72718351617459e-10	-0.325608335895023	0.276	0.383	1.03984692917755e-05
KLF6	6.22196821035966e-10	-0.316275129929331	0.421	0.496	1.73586691100824e-05
CTSB	9.38696305917065e-10	-0.332405617341056	0.304	0.389	2.61886882387802e-05
CDC42SE1	1.00347201096714e-09	-0.340802699382023	0.219	0.329	2.79958656339723e-05
CKLF	6.21356960512938e-08	-0.289944062507706	0.332	0.397	0.00173352378413505
LY86	9.16784963721578e-08	-0.28281326054337	0.281	0.363	0.00255773837028683
CRIP1	1.0128425428747e-07	-0.282218518218347	0.452	0.51	0.00282572941036611
HLA-DQB1	1.10774248843571e-07	-0.328276360562005	0.158	0.255	0.00309049076848678
HLA-DMA	2.170531949746e-07	-0.281007750937496	0.278	0.359	0.00605556708659638
VSIR	7.87389392571466e-07	-0.273940674316427	0.293	0.358	0.0219673766633513
ETS2	1.11316291348926e-06	-0.284758629752111	0.217	0.298	0.031056132123437
RPS6KA3	1.38165303506109e-06	-0.277401035434975	0.171	0.258	0.0385467380251695
