Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
AZU1	1.8534162265403e-280	1.25832136676635	0.786	0.096	5.17084593042479e-276
PRTN3	1.77959178129395e-230	0.875341646496335	0.454	0.023	4.964883110632e-226
ELANE	2.30343688626343e-218	1.21634664027817	0.531	0.046	6.42635856898633e-214
CTSG	1.07674359673229e-209	1.16376146776532	0.885	0.204	3.00400696052341e-205
PRSS57	1.36712640337647e-163	0.907630499945264	0.814	0.199	3.81414595278002e-159
RNASE2	1.49842371818348e-157	0.941747002268052	0.898	0.256	4.1804523313601e-153
SRGN	1.47057909301372e-132	0.582422642897364	1	0.848	4.10276861159898e-128
CST7	2.60022366570076e-128	0.801012494558384	0.582	0.113	7.25436400493855e-124
RNASE3	4.16946006475013e-112	0.50042222175574	0.314	0.03	1.16323766346464e-107
SERPINB1	1.33168834008764e-110	0.778780184821297	0.952	0.478	3.7152773000105e-106
CLEC11A	6.53866912539722e-106	0.686342475466127	0.64	0.16	1.82422329929457e-101
IGLL1	1.45287582940328e-99	0.553517550274405	0.37	0.053	4.05337827645222e-95
NUCB2	2.56408138105211e-93	0.736400891690243	0.855	0.357	7.15353064499728e-89
CAT	1.31904603439304e-82	0.686051862293965	0.827	0.354	3.68000653135315e-78
RNASEH2C	1.6262648211773e-76	0.665912661361576	0.612	0.198	4.53711622460254e-72
LOC100506844	6.25135441904791e-75	0.6037396822475	0.638	0.205	1.74406536937018e-70
CFD	7.10496623200242e-75	0.625172297879141	0.952	0.576	1.98221452906635e-70
CSTA	1.0801210478531e-73	0.636795450299518	0.857	0.359	3.01342971140536e-69
LRRC75A-AS1	5.04640928760678e-73	0.459321734605408	0.977	0.744	1.40789772714941e-68
CD74	3.23743622466421e-71	-0.437809621515375	0.827	0.923	9.03212332319067e-67
CALR	6.81714595131793e-69	0.577440665368459	0.903	0.519	1.90191554895819e-64
MYB	3.10337905576999e-68	0.515393723269316	0.482	0.13	8.65811722769269e-64
MGST1	8.74881906493298e-66	0.598730751204058	0.75	0.305	2.44083303092565e-61
CD38	1.51594282342126e-56	0.360313036033761	0.321	0.068	4.22932888306298e-52
HLA-DRA	1.76464757139448e-56	-0.511759016288055	0.673	0.837	4.92319025943347e-52
FTH1	4.65892588163779e-56	-0.446790615132981	0.724	0.83	1.29979373171813e-51
MYC	6.52420060686989e-50	0.401840633149882	0.347	0.089	1.82018672731063e-45
CD36	3.11013611816962e-49	-0.792793030881211	0.291	0.615	8.67696875608143e-45
ERLIN1	1.32455348681793e-48	0.38406768691224	0.388	0.108	3.69537177287335e-44
S100A4	4.68261745396614e-45	-0.496156735618697	0.592	0.772	1.30640344348201e-40
NDUFB9	6.14015888545827e-44	0.481705358308658	0.666	0.289	1.713042927454e-39
FAM46A	1.19972760269581e-42	0.475418166864915	0.564	0.226	3.34712003876105e-38
P4HB	2.11728321009964e-42	0.442793430010087	0.605	0.243	5.90700842785699e-38
CKS2	1.57470268486347e-41	0.404611865970521	0.444	0.151	4.39326302050061e-37
IMPDH2	1.96937320498021e-39	0.379868177436085	0.49	0.178	5.4943543045743e-35
MIF	4.3747209065528e-39	0.442259703198105	0.885	0.559	1.22050338571917e-34
STMN1	6.8627057967582e-38	0.486139177448065	0.694	0.324	1.91462629023757e-33
CD52	7.97534198038417e-38	-0.414075404779891	0.673	0.817	2.22504065910738e-33
C1QTNF4	9.79263465212975e-38	0.280401192646428	0.26	0.065	2.73204714159768e-33
HMGA1	8.05663773526126e-37	0.415235885630535	0.599	0.258	2.24772136176054e-32
SUCNR1	4.06415284337247e-36	0.318360504766085	0.334	0.101	1.13385800177248e-31
EBPL	1.25029797984122e-35	0.358257627912411	0.457	0.167	3.48820633395903e-31
FABP5	1.65791670455582e-35	0.410188656597883	0.518	0.213	4.62542181404028e-31
KCNE5	4.40604121393651e-35	0.278061396650402	0.278	0.077	1.22924143827615e-30
CDCA7L	1.34261142216309e-34	0.346780406608664	0.406	0.144	3.74575160669282e-30
CSF3R	3.42422418160825e-34	0.275889574722542	0.263	0.071	9.55324304426886e-30
PAICS	3.53923587402725e-34	0.36262159009899	0.462	0.178	9.87411416494863e-30
GAPDH	1.34795600916282e-33	0.277909077893196	0.977	0.818	3.76066246996336e-29
TXNIP	4.51916575416116e-33	-0.346298916921464	0.755	0.79	1.26080205375342e-28
PTPRC	4.74069928495498e-33	-0.42341537678773	0.61	0.711	1.32260769350959e-28
HSP90AB1	1.10025108554907e-32	0.337132078486724	0.957	0.728	3.06959050357334e-28
CITED2	1.41044227518779e-32	0.392673821333604	0.538	0.227	3.93499290354642e-28
HLA-DRB1	3.06072956118587e-32	-0.430997285929655	0.592	0.714	8.53912940275245e-28
ACTN1	3.40875114413475e-32	0.291446064474636	0.298	0.092	9.51007481702155e-28
NME1	3.59807628740678e-32	0.35956749898716	0.457	0.182	1.00382730342362e-27
BEX3	3.73930793204595e-32	0.298740411547995	0.314	0.101	1.0432295199615e-27
NPM1	5.08474061571959e-32	0.279365045954209	0.964	0.795	1.41859178437961e-27
TARP	8.01707859084671e-32	0.406741354837668	0.666	0.319	2.23668475606032e-27
JAML	1.3689477669276e-31	-0.650473582048246	0.196	0.459	3.81922737495131e-27
KIT	1.54931401276544e-31	0.291164696479605	0.327	0.106	4.3224311642143e-27
HLA-DPB1	3.16482984972066e-31	-0.495040722986294	0.518	0.652	8.82955879773568e-27
CLU	7.39039260344726e-31	0.287811312237863	0.319	0.105	2.06184563243575e-26
HINT1	1.1275194776443e-30	0.263020670184079	0.969	0.812	3.14566659067985e-26
HLA-DPA1	2.95413945079611e-30	-0.421926258752538	0.605	0.707	8.24175365377608e-26
NME4	3.54670808513659e-30	0.273825614220849	0.342	0.117	9.89496088672258e-26
RAB27A	3.59646582843506e-30	0.319109053040469	0.38	0.14	1.0033780014751e-25
SAMHD1	6.3731526554526e-30	-0.563835582648181	0.398	0.576	1.77804585934472e-25
CDK4	7.79585628529043e-30	0.291861029811809	0.385	0.14	2.17496594503318e-25
HSPD1	4.14298522093315e-29	0.408904568226625	0.778	0.462	1.15585144678814e-24
VAMP8	6.48328880203717e-29	0.359179744463174	0.916	0.632	1.80877274288035e-24
SRPK1	1.99816746442491e-28	0.265455551341178	0.301	0.099	5.57468740899904e-24
CPD	3.00927435523659e-28	0.261737470064309	0.314	0.105	8.39557452367456e-24
LRPAP1	4.842753082941e-28	0.321030714528902	0.454	0.187	1.35107968260971e-23
PPA1	1.53566261804931e-27	0.345539892813622	0.551	0.25	4.28434513809577e-23
RPL22L1	1.93147413640566e-27	0.385584293810042	0.663	0.334	5.38861969315814e-23
SLC39A3	1.05139951185234e-26	0.258967101251705	0.298	0.102	2.93329949811684e-22
HDGF	3.88462650683452e-26	0.306778898452022	0.48	0.204	1.08377194914176e-21
GNL3	4.84232251346169e-26	0.326263291469136	0.462	0.202	1.35095955803068e-21
APLP2	7.22839582691767e-26	0.376539712836477	0.844	0.521	2.01665015175176e-21
C12orf57	8.00014576200058e-26	0.333770482377605	0.543	0.252	2.23196066614054e-21
SSR4	1.74241418420434e-25	0.378012227067999	0.865	0.533	4.86116133251168e-21
SNRPF	2.34896746023469e-25	0.306440061156954	0.505	0.224	6.55338431730876e-21
COMT	2.69652227105436e-25	0.329286256037588	0.536	0.25	7.52302748401456e-21
MIF-AS1	4.8970271970179e-25	0.319041000027317	0.5	0.228	1.36622161769602e-20
HLA-A	5.87796983584017e-25	0.252834690294211	0.952	0.796	1.63989480450105e-20
BZW2	6.22988403333333e-25	0.269235509720653	0.372	0.148	1.73807534645966e-20
RPS18P9	6.98596162912615e-25	0.311660456012206	0.898	0.665	1.9490134349099e-20
MLEC	8.96777151365489e-25	0.370199349327266	0.612	0.317	2.50191857459458e-20
FBL	1.57761659097838e-24	0.320845544563229	0.582	0.275	4.4013925271706e-20
S100A6	2.3070840831205e-24	-0.383909038661356	0.582	0.678	6.43653388349787e-20
GAS5	2.52663192706775e-24	0.307448722254874	0.936	0.719	7.04905041332632e-20
TKT	5.82166006995259e-24	0.362541900387815	0.875	0.577	1.62418494291607e-19
IARS	7.26656305591304e-24	0.263673467904446	0.342	0.132	2.02729842696918e-19
EAF2	7.59911412728694e-24	0.300839327905423	0.388	0.163	2.12007685037178e-19
TIMM13	1.00574724759361e-23	0.320277093580339	0.518	0.243	2.80593424606142e-19
FGL2	1.69221484423692e-23	-0.617934637802246	0.099	0.326	4.72111019393659e-19
MSRB3	1.79030959673258e-23	0.293211719873529	0.472	0.209	4.99478474392422e-19
LYST	1.90397069910004e-23	0.340126654914047	0.638	0.318	5.31188785341919e-19
LST1	2.05540668632281e-23	-0.432866607210551	0.446	0.568	5.73437911417201e-19
PLAC8	2.4476022187986e-23	0.365287100983259	0.839	0.519	6.82856543022622e-19
SCCPDH	2.81287173618433e-23	0.27725448905041	0.393	0.167	7.84763085678065e-19
DUT	3.19034751243351e-23	0.376252456071107	0.727	0.425	8.90075052493824e-19
AK2	4.2881833773113e-23	0.293418023092957	0.495	0.226	1.19636028043608e-18
PCNA	6.50930153584492e-23	0.301451366475331	0.398	0.17	1.81603003548537e-18
SPN	7.01521158405707e-23	0.358500867509679	0.755	0.439	1.95717387983608e-18
SNHG3	1.06685894330501e-22	0.290357479776313	0.401	0.174	2.97642976592664e-18
PPA2	1.57571562461993e-22	0.257916574574331	0.395	0.167	4.39608902112713e-18
CENPF	1.80445279906269e-22	0.295417941072273	0.309	0.119	5.03424286410501e-18
MYL12A	2.27427894559486e-22	-0.300467004233259	0.663	0.695	6.34501083031509e-18
RPL36	2.39543536348656e-22	0.258652257300865	0.929	0.752	6.68302512059117e-18
HMGB2	4.30211493171742e-22	0.361802014854047	0.737	0.43	1.20024704479984e-17
LINC00987	4.39346512411802e-22	0.253095387587626	0.416	0.179	1.22573283497769e-17
TOP2A	7.0910364858942e-22	0.33422805156389	0.321	0.131	1.97832826919962e-17
APEX1	8.90976526288925e-22	0.348817950649454	0.74	0.436	2.48573541069347e-17
SOX4	9.77780449233844e-22	0.291422492636709	0.52	0.247	2.7279096753175e-17
SNHG8	1.90344399851208e-21	0.335705446907608	0.689	0.369	5.31041841144886e-17
MCM4	2.08665138964514e-21	0.267255784581491	0.36	0.151	5.82154871197098e-17
ANKRD28	2.34288705287923e-21	0.327089352605259	0.574	0.292	6.53642058882777e-17
PDIA6	3.16590077211692e-21	0.306441247651825	0.536	0.265	8.83254656412899e-17
TUBA1B	3.20867764029506e-21	0.3656819469956	0.722	0.438	8.95188974865919e-17
HLA-E	3.30540917064804e-21	-0.293697236503914	0.689	0.725	9.22176104519096e-17
FCER1G	3.66561247142966e-21	-0.532566558576142	0.143	0.348	1.02266922340416e-16
PGD	4.06634371956826e-21	0.296899802056854	0.538	0.261	1.13446923432235e-16
LGALS1	4.69351969707131e-21	-0.377948025250722	0.538	0.7	1.30944506028593e-16
AHNAK	4.7803178231785e-21	-0.464809829421221	0.38	0.523	1.33366086948857e-16
RPLP0P2	4.82375113248163e-21	0.314465012568446	0.885	0.623	1.34577832845105e-16
LDHB	6.97563500509325e-21	0.341944658703335	0.707	0.394	1.94613241007097e-16
RNA5-8S	7.49944899637616e-21	0.35623076548766	0.75	0.473	2.09227127549899e-16
RFLNB	9.36194824706983e-21	0.290738369812565	0.49	0.235	2.61188994145001e-16
PCLAF	2.69981518159408e-20	0.321351412234369	0.436	0.205	7.53221437512933e-16
SELENOP	2.76733607162429e-20	0.283523454078713	0.464	0.218	7.72059090622462e-16
CLEC12A	3.90938985452145e-20	0.304704110813795	0.564	0.29	1.09068067551294e-15
RANBP1	4.92895719574397e-20	0.285070289474742	0.452	0.216	1.37512976804061e-15
XBP1	1.17707160011001e-19	0.319437608488047	0.638	0.347	3.28391205714691e-15
PRIM1	1.23613236582275e-19	0.268783942279736	0.342	0.149	3.44868568740889e-15
GLUL	1.24435506259662e-19	0.279557939337715	0.541	0.267	3.47162618913831e-15
NAPSB	3.49525296824032e-19	-0.505909209068371	0.097	0.293	9.75140625609367e-15
CST3	4.42112494624124e-19	-0.3050731249468	0.648	0.665	1.23344964875184e-14
CAP1	5.21485276614657e-19	-0.262484770774939	0.671	0.701	1.45489177322723e-14
CDK6	6.73363495263722e-19	0.337428274759211	0.755	0.449	1.87861681543626e-14
MYDGF	8.25263195336663e-19	0.265715070247731	0.469	0.232	2.30240178866976e-14
PA2G4	9.12969884002099e-19	0.31869609633779	0.661	0.376	2.54709467937746e-14
ATP5G1	1.24411022871231e-18	0.260123689015428	0.464	0.225	3.47094312708446e-14
DPP7	1.81362731226073e-18	0.27252340720973	0.5	0.253	5.05983883847622e-14
HSH2D	2.1644574195542e-18	0.273573593714576	0.556	0.282	6.03861975481427e-14
TBCA	4.71237128765073e-18	0.262494565479737	0.541	0.275	1.31470446554168e-13
NME2	5.20629152732027e-18	0.327025842382932	0.765	0.461	1.45250327320708e-13
PPIB	5.99294873468689e-18	0.262634230620172	0.523	0.265	1.67197276749029e-13
