Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SMIM10	1.47262759551854e-08	0.882954206566773	0.4	0.023	0.000410848372873719
SYNJ1	2.1853886879305e-08	0.878574071933472	0.4	0.024	0.00060970159004573
ELANE	3.29182785051033e-08	1.42225782291186	0.8	0.095	0.000918387052013878
TMEM120B	3.45350623831396e-07	0.890727039403427	0.4	0.028	0.00963493705427211
PRTN3	3.96079623038064e-07	1.36857019025469	0.6	0.066	0.011050225403139
PIWIL4	2.11439412032947e-06	0.893968838940667	0.4	0.033	0.0589894815630718
TDP1	4.31357601864603e-06	1.03545027665189	0.4	0.035	0.120344457344206
EGR1	7.5422072270592e-06	1.13332386398146	0.6	0.084	0.210420039427725
DENND1A	1.67177634362445e-05	0.87703540128856	0.4	0.039	0.466408882107785
MIGA2	1.9193883294709e-05	0.876996831285647	0.4	0.04	0.535490150039086
TCEAL9	2.51725162386092e-05	0.974862960476769	0.4	0.041	0.702288030540959
CWC22	2.75452044972178e-05	1.05231535033244	0.6	0.096	0.76848366026788
SFI1	4.91491132783307e-05	0.859812828669332	0.4	0.043	1
SNX19	5.44912833840637e-05	0.860856957907379	0.4	0.044	1
PGS1	6.91592972313728e-05	0.860559790296082	0.4	0.045	1
SNRNP70	9.55848970021018e-05	1.09428134350361	0.8	0.222	1
SYNRG	0.000131609617520189	1.02358030370276	0.6	0.113	1
STAT5A	0.000132499179584575	1.08859394323472	0.6	0.116	1
QTRT2	0.000169698006942651	0.827272040621509	0.4	0.05	1
TSFM	0.000174718845937549	0.8374701750497	0.4	0.05	1
DUSP11	0.000221165545680325	0.846481993974943	0.4	0.051	1
STX17	0.000237316853819063	1.01646879064894	0.6	0.122	1
GOLGA5	0.000381727710616452	0.934937062916815	0.4	0.055	1
KIAA1147	0.000387394961810664	0.810712046037468	0.4	0.055	1
WDR73	0.000479320029674215	0.90190911761316	0.4	0.057	1
YES1	0.000486392951591333	0.928648995357746	0.4	0.057	1
PTCD3	0.00052680255378885	1.04228604974877	0.6	0.137	1
SNX29	0.000651613479426357	0.823561623320827	0.4	0.059	1
KMT2E-AS1	0.000950337701938455	0.905294997243709	0.4	0.063	1
RNA28S	0.000957041036905851	0.277166757292314	1	0.999	1
SDHAF3	0.000982563046855203	0.80416594861636	0.4	0.062	1
ANKRA2	0.00124862548013431	0.818745773289676	0.4	0.065	1
RRAGB	0.00166106735814112	0.786186831692288	0.4	0.067	1
CD52	0.0017986465117308	-1.65983223612927	0	0.804	1
ELAC2	0.00182049361263522	0.782096488974663	0.4	0.069	1
GFM2	0.00199722112006682	0.911715338844267	0.4	0.071	1
KDELC2	0.00216214003188962	0.821664873087168	0.4	0.071	1
RPL30	0.00236692758855079	-0.45410213309352	0.8	0.987	1
DDX1	0.00237654241971296	0.925694925112999	0.6	0.175	1
AZU1	0.00241152584468219	1.17398078342259	0.6	0.166	1
CBR1	0.0028743737919862	0.961590030723887	0.6	0.176	1
NIPBL	0.00301127926805742	0.853660206825742	0.8	0.359	1
RPL41	0.00332031057103441	-0.462946641708803	0.8	0.977	1
AKAP9	0.00332531809417584	0.87429546873249	0.8	0.337	1
OAZ1	0.00337684534158505	-1.41863438560079	0	0.752	1
CWF19L2	0.00343229048553083	0.883400072378985	0.4	0.077	1
UBC	0.00429813531489799	-1.37980818447688	0	0.731	1
B2M	0.00437454067322741	-0.329742144565591	1	0.994	1
HLA-E	0.00472363512350394	-1.38795484918878	0	0.722	1
CD74	0.00489046946780249	-0.956998768113676	0.4	0.913	1
TMEM159	0.00507297207078876	0.777506571521901	0.4	0.083	1
SRSF2	0.00530412954283936	0.749257358264423	0.8	0.393	1
NUP43	0.00534350527466389	0.847257541774873	0.4	0.084	1
UBB	0.00546006566186446	-1.15441862144125	0.2	0.864	1
HLA-DRA	0.00584862752258994	-1.18797490502608	0.2	0.821	1
MT-ND4	0.00604508221781254	0.456332707993989	1	0.861	1
METTL12	0.00607305206068522	0.845519446916282	0.4	0.086	1
CAP1	0.00608655277426256	-1.32658591813145	0	0.699	1
HLA-DPA1	0.00620817841795029	-1.38416655423934	0	0.697	1
FAM204A	0.00631764242245526	0.915802846202897	0.6	0.208	1
FLNA	0.00641900551801829	0.918068702796619	0.6	0.21	1
RPL37A	0.00646913934514765	-0.437860942782856	0.8	0.974	1
CDC42	0.0067157591175831	-1.29365976831939	0	0.69	1
ACP1	0.00782204790311043	0.902497817866904	0.6	0.216	1
S100A6	0.00836599263373397	-1.33488589390815	0	0.669	1
ELP5	0.0089195428551545	0.750438025182955	0.4	0.092	1
PHB	0.00941247257549553	0.805829478873011	0.6	0.222	1
