Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD36	9.73389226966375e-64	0.567680209595772	0.807	0.547	2.71565860431349e-59
FAM30A	5.05840794966086e-57	0.591709273137175	0.54	0.247	1.41124523387588e-52
PTMA	1.89932497298022e-55	-0.314965415638626	0.815	0.938	5.29892674211752e-51
SPINK2	1.67901013159091e-47	0.496734145012986	0.801	0.48	4.68427036612547e-43
CD99	2.83637527450451e-46	0.466118791352176	0.744	0.519	7.91320337834012e-42
ANGPT1	1.08939702747095e-44	0.553714324332788	0.454	0.201	3.03930876694122e-40
CD52	5.02293020023497e-42	0.310260141930487	0.895	0.788	1.40134729656355e-37
LYZ	2.45623094175251e-41	-0.849979534820245	0.27	0.564	6.85263870439533e-37
GUCY1A3	3.64099811842836e-40	0.546906956098282	0.46	0.227	1.01580206506033e-35
NPTX2	4.65254748645513e-39	0.418190047862084	0.258	0.075	1.29801422324612e-34
SRGN	6.43912085291374e-39	-0.318266228305768	0.787	0.875	1.7964503267544e-34
CPVL	2.50061199006047e-35	-0.589469492037882	0.079	0.356	6.9764573910697e-31
MNDA	3.76767395579035e-35	-0.629887457535497	0.071	0.345	1.05114335692595e-30
FGL2	1.66674518148095e-32	-0.603063158356189	0.077	0.337	4.65005238181371e-28
CSTA	1.6319778970849e-30	-0.492978922506618	0.176	0.446	4.55305513507715e-26
MS4A6A	3.44503273430313e-29	-0.557018120893543	0.041	0.27	9.6112968254323e-25
RNASE2	3.9600018377204e-28	-0.48962811632902	0.11	0.355	1.10480091270561e-23
ANXA5	1.36169901313065e-26	-0.447393619290001	0.047	0.27	3.79900407673319e-22
SAMHD1	3.72589798349368e-26	-0.442067475567753	0.353	0.589	1.0394882784149e-21
DUSP6	1.94120353891615e-25	0.362926341393104	0.661	0.515	5.41576375322217e-21
TCF4	1.02440674753396e-24	0.392178241130906	0.296	0.132	2.85799238494499e-20
COTL1	2.41049495733496e-24	-0.425248150685717	0.114	0.347	6.72503988146879e-20
NAPSB	3.99886320638378e-24	-0.453181329111643	0.083	0.302	1.11564284594901e-19
PCLAF	8.85969988444528e-24	-0.46910866507674	0.055	0.255	2.47176767076139e-19
FABP5	4.80897840467483e-22	-0.363892225671434	0.067	0.271	1.34165688512023e-17
STMN1	8.56708575408752e-21	-0.442769183019249	0.189	0.388	2.39013125453288e-16
PIM1	1.06428848875352e-20	0.373113744097282	0.406	0.243	2.96925845477343e-16
TUBA1B	1.74001354846873e-20	-0.404470446318209	0.296	0.494	4.8544637988729e-16
CTSG	2.02482396585504e-19	-0.407568658417994	0.107	0.3	5.64905638233898e-15
GLIPR1	3.45582544849231e-19	0.330939394536463	0.57	0.444	9.6414074187487e-15
S100A9	6.69143136663129e-19	-0.611758225562206	0.083	0.254	1.86684243697646e-14
IFI30	1.66853537958291e-18	-0.417407482973556	0.089	0.265	4.65504685549836e-14
PLAC8	1.74899612012083e-18	-0.345563985450677	0.375	0.579	4.87952427552509e-14
H2AFZ	2.6012974435692e-18	-0.375458150700137	0.213	0.418	7.25735973781372e-14
KLF6	7.30478487954944e-18	0.326020904522512	0.607	0.47	2.0379619335455e-13
CDK6	1.14312990722007e-17	0.311373110392956	0.617	0.46	3.18921812815327e-13
HMGN2	1.28214306927431e-17	-0.335843961465856	0.406	0.593	3.5770509489684e-13
NASP	1.94774533821861e-17	-0.337977422671517	0.152	0.354	5.43401471909611e-13
HMGB2	3.77032390489054e-16	-0.366414234618831	0.296	0.487	1.05188266622541e-11
RNASE6	9.65994733988929e-16	-0.322402686209725	0.164	0.358	2.69502870835571e-11
SELENOP	1.01363517234565e-15	0.321785110749357	0.365	0.225	2.82794076732713e-11
TMPO	1.16870933950747e-15	-0.316291708457997	0.144	0.331	3.26058218629188e-11
ANXA2	1.53416128500846e-15	-0.328835010454207	0.134	0.312	4.28015656904509e-11
SLC25A6	5.76954676994977e-15	-0.26609010660292	0.562	0.76	1.60964585334829e-10
CLEC12A	3.11557628662317e-14	-0.297234168185175	0.164	0.342	8.69214628204997e-10
P4HB	2.17151477848265e-13	-0.267436460358581	0.136	0.302	6.05830908048875e-09
PKM	7.10794974842366e-13	-0.276208232626888	0.252	0.438	1.98304690031272e-08
GRN	1.00137280380461e-12	-0.282802670318609	0.27	0.455	2.79372998533447e-08
RAN	1.25412651974051e-12	-0.282611356347004	0.292	0.476	3.49888757742405e-08
