Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD36	9.73389226966375e-64	0.567680209595772	0.807	0.547	2.71565860431349e-59
FAM30A	5.05840794966086e-57	0.591709273137175	0.54	0.247	1.41124523387588e-52
SPINK2	1.67901013159091e-47	0.496734145012986	0.801	0.48	4.68427036612547e-43
CD99	2.83637527450451e-46	0.466118791352176	0.744	0.519	7.91320337834012e-42
ANGPT1	1.08939702747095e-44	0.553714324332788	0.454	0.201	3.03930876694122e-40
CD52	5.02293020023497e-42	0.310260141930487	0.895	0.788	1.40134729656355e-37
GUCY1A3	3.64099811842836e-40	0.546906956098282	0.46	0.227	1.01580206506033e-35
NPTX2	4.65254748645513e-39	0.418190047862084	0.258	0.075	1.29801422324612e-34
DUSP6	1.94120353891615e-25	0.362926341393104	0.661	0.515	5.41576375322217e-21
TCF4	1.02440674753396e-24	0.392178241130906	0.296	0.132	2.85799238494499e-20
PIM1	1.06428848875352e-20	0.373113744097282	0.406	0.243	2.96925845477343e-16
GLIPR1	3.45582544849231e-19	0.330939394536463	0.57	0.444	9.6414074187487e-15
KLF6	7.30478487954944e-18	0.326020904522512	0.607	0.47	2.0379619335455e-13
CDK6	1.14312990722007e-17	0.311373110392956	0.617	0.46	3.18921812815327e-13
SELENOP	1.01363517234565e-15	0.321785110749357	0.365	0.225	2.82794076732713e-11
CNST	2.16120764675409e-12	0.282421210284032	0.254	0.144	6.02955321367922e-08
KMT2A	3.32317523106162e-12	0.284658333352761	0.507	0.41	9.2713265771388e-08
IDS	4.7884210560252e-12	0.300596560413936	0.31	0.197	1.33592159042047e-07
MSRB3	6.84109468356006e-11	0.279236224198913	0.327	0.222	1.90859700576642e-06
ANKRD28	2.20634093414645e-10	0.275182933987308	0.408	0.307	6.15547057217519e-06
ITGA6	2.68424932172422e-10	0.278081276014375	0.3	0.198	7.48878718267841e-06
CD82	6.49379375047194e-10	0.261028798859362	0.28	0.184	1.81170351844417e-05
TNRC6B	2.2968291697452e-09	0.255982299722307	0.42	0.323	6.40792370067213e-05
