Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HOXB5	3.9145881447842e-06	0.695548713812431	0.3	0.035	0.109213094651334
MAN2A2	3.01749124583725e-05	0.809973048131622	0.4	0.074	0.841849882676134
IFT88	3.72912236595981e-05	0.580373866807071	0.3	0.042	1
TEP1	7.06153058528353e-05	0.64773068299727	0.3	0.046	1
ACTB	0.000113492528671765	-0.819236606731602	0.5	0.956	1
OAZ1	0.000135973132645128	-1.17653975216755	0.1	0.752	1
S100A4	0.00018418303210001	-1.22534199885659	0.1	0.755	1
ERV3-1	0.000294272140545355	0.65536567252808	0.3	0.054	1
SPOUT1	0.000338963016824668	0.741582519004182	0.3	0.055	1
HLA-DRA	0.000398521053546212	-0.983225155983037	0.3	0.822	1
H3F3B	0.000431889484250316	0.409342879796167	1	0.86	1
EZH1	0.000499618199377653	0.650158029657486	0.3	0.057	1
LAPTM5	0.000674614508526684	-1.13241372950721	0	0.601	1
SLC35A3	0.000718491377397901	0.600898203763281	0.3	0.059	1
CD74	0.00072048022469775	-0.651535761910624	0.6	0.913	1
JUN	0.000736413121139806	0.875141752422079	0.5	0.166	1
HNRNPA1	0.00100189579511243	0.381662616517835	1	0.82	1
LGALS1	0.0011624029720111	-1.10462135301769	0.1	0.685	1
DBI	0.00118029843972912	-1.11293597201712	0	0.568	1
COA5	0.00120186710953696	0.758345445695016	0.4	0.113	1
KMT2E-AS1	0.00129631484119816	0.57023466408177	0.3	0.063	1
SFTA3	0.00153014423732024	0.639231439586214	0.3	0.065	1
TMSB4X	0.00211549078803305	-0.427103967312892	0.8	0.974	1
H2AFY	0.00227897221648032	-0.944134130432417	0.1	0.624	1
RPL19P12	0.00273541686858061	-0.892039733601683	0.2	0.758	1
GDI2	0.00291664902595188	-0.96070748477146	0	0.511	1
HLA-DRB1	0.00301147785003674	-0.893637796860609	0.2	0.702	1
CFD	0.00301410243650471	-1.0540046540921	0.1	0.616	1
ITGB2	0.00307001622137137	-0.982966436769211	0	0.508	1
CRIP1	0.003180347367845	-1.08338082572113	0	0.505	1
CD44	0.0033199659617767	-0.977555128696993	0	0.502	1
MZB1	0.00378599849710632	0.606727225537713	0.3	0.076	1
VIM	0.00381590487097027	-0.568893912905152	0.6	0.889	1
ATP5G3	0.00431021876912573	-0.920327341316137	0	0.485	1
S100A6	0.00442649520611581	-0.913209301016716	0.1	0.669	1
CD52	0.00444295427165165	-0.824198173837919	0.3	0.804	1
SLC25A3	0.00452678273986136	-0.906499355843653	0	0.481	1
SF3B4	0.00463504845259557	0.567885526574617	0.3	0.078	1
COX14	0.00465909738334894	0.639273979788837	0.5	0.204	1
HCST	0.00559401267718591	-0.888390966554405	0	0.466	1
WDR82	0.00581834014316471	0.734243018470951	0.4	0.139	1
SSR4	0.00632685162759469	-0.836766611010966	0.1	0.569	1
APH1A	0.0069377955077471	0.624816381988568	0.4	0.144	1
ARPC2	0.0073871307508992	-0.717775528043043	0.3	0.752	1
EIF2AK1	0.00738999416887272	0.642030526488391	0.5	0.227	1
ADSS	0.00753263954235642	0.641642533720557	0.4	0.148	1
PSAP	0.00804593303583695	-0.85933389908999	0.1	0.575	1
PSME1	0.00810438787607097	-0.826393681660415	0.1	0.599	1
KIF20B	0.00830883567790034	0.689769603159446	0.4	0.15	1
UQCRH	0.00838249182942212	-0.822585849317666	0	0.436	1
JAML	0.00880123308694981	-0.91885479338391	0	0.433	1
LCP1	0.00885118379560146	-0.694619299216765	0.3	0.765	1
MT-ND4L	0.00984734568317977	0.543191330827483	0.7	0.451	1
HLA-DPA1	0.00989070889345455	-0.818619306860758	0.2	0.698	1
RPL9	0.0102590992682702	-0.258599235965867	0.9	0.994	1
ATP5B	0.0105213584399811	-0.794962749647481	0	0.419	1
SLC25A6	0.0106560775440077	-0.686169762446143	0.3	0.734	1
NFYB	0.0107419428150084	0.541892409244631	0.3	0.09	1
ARPC1B	0.0112697208347883	-0.726902375089018	0.2	0.651	1
COX6A1	0.0114373172300814	-0.782321343608314	0.1	0.578	1
NEUROD2	0.0118966046450306	0.539015017534933	0.3	0.091	1
ARID4B	0.0119766455854694	0.666658529575583	0.5	0.243	1
BCLAF1	0.0127380071479272	-0.777225055806509	0	0.404	1
PTBP3	0.0133850496864596	-0.782477896881956	0	0.4	1
LYZ	0.0136057772162832	-1.06597873533193	0.1	0.526	1
HLA-DRB5	0.0136523765177101	-0.758937606964238	0.1	0.58	1
PQLC3	0.0140336956911825	0.520965436462702	0.3	0.093	1
SEPT7	0.0145272421568651	-0.761116045124548	0	0.394	1
AGPAT5	0.0146908460735499	0.628978982500075	0.4	0.167	1
DYNLL1	0.0147176574627349	-0.757703850852787	0	0.393	1
ARPC3	0.0154395119135317	-0.745209659149794	0.2	0.731	1
TPM3	0.0155461688935011	-0.735401861512587	0.3	0.827	1
PARK7	0.0162163980320337	-0.732069510445378	0	0.385	1
PRPF40A	0.0162685627608891	-0.754972919533639	0	0.384	1
MT-ND3	0.0165286245700985	0.327069782730343	0.8	0.755	1
TTC19	0.0167250649654469	0.57598756341527	0.4	0.164	1
ARPC5	0.0169741210059293	-0.705101263360711	0.2	0.625	1
TOMM7	0.0170563551574571	-0.71808808994218	0.1	0.539	1
XBP1	0.0176770870160584	-0.738751138007104	0	0.378	1
EDF1	0.0177896976573407	-0.714235610647919	0	0.377	1
TRAM1	0.0180167920766931	-0.747549216157619	0	0.376	1
GSTO1	0.0180167923650388	-0.717406575402976	0	0.376	1
CAP1	0.0183008320490309	-0.68848086171105	0.2	0.699	1
ILF3	0.0183042008339217	-0.726519898272809	0	0.375	1
DEK	0.0186543453291471	-0.739119064268754	0	0.373	1
TLN1	0.0187977998618143	-0.724178404480994	0.1	0.526	1
PSMB10	0.0191302515219262	-0.701180664272324	0	0.371	1
PSMA7	0.0191314229120338	-0.717098133740515	0.1	0.534	1
MRPL16	0.0192798191805872	0.540380159247973	0.4	0.166	1
C1QBP	0.0193114165986573	-0.702983640575271	0	0.37	1
FNIP1	0.0194012132419161	0.521145260768531	0.3	0.098	1
ZFP36L2	0.0195837185276239	0.352556342990447	0.8	0.657	1
JCHAIN	0.0200426787561784	0.699448571114275	0.3	0.099	1
TYROBP	0.0201626441833782	-0.586862667722053	0.4	0.794	1
PSME2	0.0217385489506693	-0.689451658578825	0	0.36	1
CTSD	0.0218733149284402	-0.699033956289412	0	0.36	1
RPS14P3	0.0218768516059847	-0.676701418283877	0.3	0.792	1
NBPF14	0.022045489194852	0.520624867151427	0.3	0.102	1
CYBA	0.022936238766151	-0.659084943912633	0.2	0.612	1
USP32	0.0230842775775686	0.621324637260591	0.3	0.106	1
C5orf42	0.023332731221896	0.616228047239879	0.3	0.106	1
ATPIF1	0.0236924163510619	-0.679118521847032	0	0.353	1
C20orf24	0.024130373175404	-0.678720174856836	0	0.351	1
GNAS	0.0243071628256921	-0.677185014245946	0.1	0.487	1
DNAJC8	0.0245006848720911	-0.677604724333198	0	0.35	1
EMB	0.0246854224807547	-0.642774317597656	0.3	0.712	1
MLEC	0.025027399243005	-0.685917894274357	0	0.348	1
KPNB1	0.025256122680728	-0.677169955789972	0	0.347	1
EVI2A	0.0254096103694849	-0.696438591921626	0	0.347	1
SEPT2	0.0255639064936485	-0.66705624664715	0	0.346	1
RNA5-8S	0.0256637419714733	-0.708801648958385	0.1	0.502	1
NDUFC2	0.0259532063817921	-0.65142964599885	0	0.345	1
FTH1	0.0262292961792271	-0.67410614082009	0.3	0.82	1
CDK6	0.0264181655722346	0.470714401196894	0.7	0.48	1
PNISR	0.0273887445328516	0.489208560012832	0.6	0.417	1
CHTF8	0.0274785447985517	0.498641203367102	0.3	0.107	1
SP100	0.0275622846221921	-0.66590034307273	0	0.34	1
CEBPZOS	0.0278731416166778	0.620411715856719	0.4	0.185	1
TMEM59	0.0289111327809464	-0.644377051728277	0	0.336	1
SAMHD1	0.0289551932186601	-0.682160337874849	0.2	0.558	1
RAB24	0.0289954872982509	0.582962693518927	0.3	0.112	1
HLA-B	0.0292757607497186	-0.375424938041809	0.7	0.931	1
ROCK1	0.0294315010941814	-0.668319979704731	0	0.334	1
GPX1	0.029517879075576	-0.515938462259257	0.5	0.845	1
NDUFB1	0.0296067517864379	-0.644434776251478	0	0.333	1
RBX1	0.0296947153116796	-0.634343250870337	0	0.333	1
RNASE6	0.02978290597815	-0.682364931771559	0	0.333	1
TSC22D3	0.0298713226645073	-0.709338154067756	0	0.333	1
NAA38	0.0298713231195762	-0.630119788434336	0	0.333	1
FUBP1	0.0303171471396677	0.518958170948648	0.5	0.278	1
TPM4	0.0306822326623278	-0.643531876053524	0.1	0.517	1
ZBTB7A	0.0310323303463986	0.541117434575526	0.3	0.109	1
GLIPR1	0.0311211901840835	-0.668653897454633	0.1	0.462	1
EIF3I	0.0311332717500212	-0.629514010648718	0	0.329	1
NDUFB9	0.031409619511285	-0.635360455665401	0	0.328	1
NASP	0.0315022071185572	-0.666091431010339	0	0.328	1
SLC25A5	0.0317544159297117	-0.643764585708121	0.1	0.466	1
NME2	0.0329518887417262	-0.652651729815374	0.1	0.493	1
RNASE2	0.0333068717448022	-0.684071788562127	0	0.323	1
ARF6	0.0335998537453467	-0.643859646743209	0	0.322	1
GUK1	0.0336980098597064	-0.619701571926805	0	0.322	1
CCNL2	0.0342091241011842	0.586523768882135	0.4	0.193	1
CPVL	0.0344922436209177	-0.709861209111734	0	0.32	1
KHDRBS1	0.0345926537098618	-0.624443494433037	0	0.319	1
PTPRCAP	0.0346933174433419	-0.657817247306176	0	0.319	1
CLEC12A	0.0346933181463946	-0.635091084154371	0	0.319	1
ARGLU1	0.0358786447401911	0.483194253159358	0.7	0.541	1
C4orf3	0.0362340310288021	-0.612860283552181	0	0.315	1
DAB2	0.0374064141935381	0.471943242815461	0.3	0.113	1
MAN1A2	0.037616932256614	-0.627491202391583	0	0.312	1
TUBA1B	0.0376273406736325	-0.678972863952579	0.1	0.469	1
YWHAB	0.0379386131255706	-0.613092475012368	0.2	0.639	1
RLIM	0.0380515388892825	-0.584630657591011	0	0.311	1
ALDOA	0.0380518118585607	-0.600982849597312	0.2	0.58	1
ANAPC5	0.0382704695531187	-0.604807238355153	0	0.31	1
KMT2A	0.0383246183496258	0.526035268611279	0.6	0.423	1
HIST1H1D	0.0388225789095262	-0.699902921796675	0	0.309	1
CCNI	0.0388578370221357	-0.518306694463359	0.1	0.504	1
SMARCC1	0.0390453476877096	-0.611140876737734	0	0.308	1
GABARAP	0.0391791396697588	-0.617054199273409	0.1	0.485	1
RPL6	0.0394091210412519	-0.296476819266002	0.8	0.977	1
SMG1	0.0400409799006416	0.436614881185662	0.6	0.422	1
FGL2	0.041217536985318	-0.741668616904178	0	0.303	1
TRA2B	0.0413347068920523	-0.591496399949194	0	0.303	1
LAMTOR1	0.0413347070917699	-0.585717278006939	0	0.303	1
RPS2	0.0416350154988105	-0.359696382048801	0.7	0.949	1
NDUFB7	0.0422825137197287	-0.57185754920032	0	0.301	1
GMFG	0.0425048205534022	-0.589695472872043	0.2	0.581	1
MRPL57	0.0425223890542905	-0.578566936795148	0	0.301	1
HOXA9	0.0427634428071982	-0.598057711296015	0	0.3	1
ENY2	0.0431272459529787	-0.576279735438706	0	0.299	1
SH3BGRL	0.0434933030609249	-0.602451384681287	0.1	0.464	1
HLA-A	0.0437159878092754	-0.464543517384443	0.5	0.813	1
STK4	0.0437395493800815	-0.59881419891343	0	0.298	1
ATF6	0.0439866168933948	0.510513693255867	0.4	0.197	1
HLA-DRB6	0.0441105388446577	-0.594810036970648	0	0.297	1
MAPK1	0.0444651634070395	0.532433284529924	0.3	0.121	1
SKP1	0.044546528834189	-0.566638576737536	0.1	0.485	1
TMBIM4	0.0454942866037018	-0.578682191057076	0	0.294	1
GAS5	0.0456440257766836	0.291877352580962	0.8	0.741	1
HMGA1	0.0458781445001469	-0.559732569007148	0	0.293	1
RNASET2	0.0459366585386741	-0.589876686135045	0.1	0.468	1
ASNSD1	0.0461657986332749	0.487091768234873	0.3	0.121	1
SOD1	0.0463872762527637	-0.589243351019645	0.1	0.438	1
TUFM	0.0463943237953381	-0.57177076597464	0	0.292	1
CLINT1	0.0465241535133915	-0.571977789451968	0	0.292	1
PPIB	0.046654298160081	-0.551416754098682	0	0.292	1
MIR4426	0.0467847583339296	-0.539298872198446	0	0.292	1
METTL9	0.0470466286637577	-0.567706688985134	0	0.291	1
FLJ44635	0.0470468723686762	-0.530612745236882	0.3	0.643	1
EIF3A	0.0471788601037419	-0.589803362511793	0.1	0.43	1
PGD	0.0473097701779525	-0.565456629028298	0	0.291	1
ETS2	0.0473097704392321	-0.604663522345392	0	0.291	1
CTSS	0.0475640881976246	-0.647733377756832	0.2	0.543	1
ANXA2	0.0479732188964273	-0.613196048618763	0	0.289	1
ZNF428	0.0486045299251294	0.448719569671186	0.3	0.12	1
ZC3HAV1	0.0488384589797254	0.517584742539553	0.4	0.209	1
FAM30A	0.0490515367134849	-0.597388130751256	0	0.287	1
BMI1	0.0494612947887374	-0.568786023174564	0	0.286	1
EIF4A2	0.0498291382497789	-0.487337800834934	0.2	0.596	1
STARD7	0.0498740227499249	-0.560739076723143	0	0.286	1
RPS11	0.0499373065041312	-0.303164920063145	0.8	0.99	1
TAGLN2	0.0499449545700467	-0.549463959921724	0.3	0.647	1
NDUFB11	0.0500122615237317	-0.538859014209405	0	0.285	1
WDR83OS	0.0505685471358487	-0.542193739131106	0	0.284	1
MYL12B	0.0509163273980288	-0.571034489796974	0.2	0.592	1
TALDO1	0.0509802610053599	-0.569124164589087	0.1	0.429	1
RPSAP9	0.0514356198724717	-0.552394038736571	0.1	0.429	1
COX5A	0.0515076827254927	-0.564306811509016	0.1	0.425	1
CORO1A	0.0518007769506508	-0.566504608439024	0.1	0.429	1
PSMB3	0.0518398769748838	-0.546164435321894	0	0.282	1
TNFSF13B	0.0524137634634443	-0.558183873622649	0	0.281	1
