Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPINK2	3.02814359577534e-42	-1.00125874622627	0.062	0.554	8.44821781785361e-38
HINT1	6.13292074359172e-29	-0.395701911480856	0.656	0.84	1.71102355825465e-24
CDK6	2.31502118436368e-27	-0.715204853262277	0.137	0.504	6.45867760225622e-23
HSP90AB1	1.10092521384563e-26	-0.477063339551131	0.535	0.767	3.07147125410792e-22
MIF	6.74855120306086e-26	-0.612134098885146	0.266	0.615	1.88277830014195e-21
NPM1	1.22166924248841e-23	-0.375963751740294	0.635	0.825	3.40833501961841e-19
PTPRCAP	5.61961391879874e-22	-0.610686176741182	0.033	0.338	1.56781608720566e-17
FAM30A	1.30193541005348e-21	-0.597614944781261	0.012	0.305	3.63226960050821e-17
STMN1	9.84622963384644e-21	-0.644801263451317	0.075	0.381	2.74699960554682e-16
HMGB1	8.06659120150265e-20	-0.458466310524437	0.473	0.704	2.25049827930722e-15
GUCY1A3	8.12978094285373e-19	-0.564686854129016	0.012	0.274	2.26812758524676e-14
PRSS57	8.43453598542369e-19	-0.529718280334391	0.017	0.279	2.35315119457336e-14
ITM2C	7.49874512017862e-18	-0.500013529514058	0.041	0.309	2.09207490107863e-13
TUBA1B	8.72804115796513e-18	-0.553430326402441	0.216	0.485	2.43503620266069e-13
UBB	9.91523885834734e-18	-0.289054144940611	0.734	0.872	2.76625248909033e-13
SEPT6	3.67701954125075e-17	-0.503239776658953	0.104	0.385	1.02585168181355e-12
PEBP1	7.14843744220229e-17	-0.476264263331838	0.278	0.56	1.99434256200002e-12
SELENOP	1.56318133246446e-16	-0.4894384723435	0.021	0.259	4.3611195994426e-12
NUCB2	1.46871469735257e-15	-0.497558630589359	0.158	0.425	4.09756713414394e-11
LRRC75A-AS1	1.90423253543379e-14	-0.287299787612323	0.668	0.774	5.31261835060673e-10
CD52	2.98739540314397e-14	-0.356000891509563	0.602	0.816	8.33453443523135e-10
HSP90AA1	3.28474141836326e-14	-0.34944205969909	0.519	0.712	9.16410008309165e-10
HIST1H4C	3.75163776517467e-14	-0.499477875043277	0.274	0.503	1.04666942010608e-09
NCL	4.67600401794642e-14	-0.388063955925269	0.398	0.616	1.30455836096687e-09
PIM1	1.02294022646495e-13	-0.434738756984996	0.058	0.279	2.85390093781456e-09
GTF3A	1.06239813563351e-13	-0.420358143680071	0.282	0.547	2.96398455860394e-09
NAP1L1	1.95928805959227e-13	-0.309247753026413	0.581	0.757	5.46621775745647e-09
HSPA8	2.74316009069643e-13	-0.355874698188632	0.473	0.669	7.65314233703397e-09
TUBB	3.38922975986933e-13	-0.483481343712575	0.178	0.398	9.45561210705943e-09
APEX1	1.47367868564703e-12	-0.404968240205295	0.245	0.482	4.11141616508664e-08
HSPD1	2.0537199465383e-12	-0.402580585691098	0.307	0.507	5.72967327884721e-08
GAS5	5.53130419761988e-12	-0.284045180648729	0.61	0.75	1.54317855809397e-07
NOP56	6.93393332728707e-12	-0.385846103368602	0.087	0.301	1.93449805897982e-07
HSH2D	9.7999633183025e-12	-0.377093849931771	0.108	0.324	2.73409176617321e-07
CTSG	1.04782391147388e-11	-0.443186082227687	0.087	0.287	2.92332393062097e-07
BCL11A	1.78306145901972e-11	-0.411740058519088	0.12	0.323	4.97456316451913e-07
DUT	2.35676993821509e-11	-0.404846810169501	0.257	0.469	6.57515245062627e-07
SET	6.43365038399023e-11	-0.362414410114909	0.336	0.56	1.79492412062943e-06
SMC4	7.15864702536676e-11	-0.375004653013331	0.095	0.296	1.99719093360707e-06
HSPE1	7.43513415349995e-11	-0.362559380382045	0.079	0.268	2.07432807748495e-06
CALR	9.83034166346041e-11	-0.353598095650247	0.373	0.571	2.74256702068882e-06
CCT2	1.45898664524022e-10	-0.342811156538688	0.091	0.291	4.07042684155568e-06
ETS2	2.84274648270119e-10	-0.372637571092048	0.108	0.302	7.93097841208806e-06
RFLNB	2.87925465319338e-10	-0.342174920900823	0.083	0.274	8.03283255694422e-06
PARP1	3.76222324213066e-10	-0.331094603739434	0.1	0.295	1.04962266232203e-05
