Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
VCAN	0	1.72484875586927	0.876	0.067	0
S100A8	3.95580848101205e-278	1.79641127209028	0.975	0.133	1.10363100811755e-273
S100A9	4.17752824047533e-247	1.89178881489817	0.988	0.181	1.16548860381021e-242
CD14	1.12546592001836e-209	0.990722858831459	0.481	0.024	3.13993737025923e-205
FCN1	6.20091437745673e-161	0.963445865393441	0.485	0.039	1.72999310216665e-156
IFI30	6.15204901887432e-140	1.1823636487151	0.846	0.201	1.71636015577575e-135
MNDA	3.26029000242151e-138	1.21528290750977	0.905	0.269	9.09588307775576e-134
LYZ	4.50577161748697e-133	1.46072113122993	0.971	0.494	1.25706522356269e-128
CTSS	1.17945938409993e-125	1.10294252955253	0.979	0.512	3.29057373570039e-121
LGALS3	8.07077383560011e-125	1.03553104456105	0.627	0.107	2.25166519239407e-120
S100A10	3.28269679514728e-97	0.999856836539687	0.676	0.162	9.15839578878141e-93
FTL	1.14946063904039e-79	0.46573714237649	0.975	0.858	3.2068802368588e-75
PSAP	7.83331423781351e-78	0.789054534666341	0.917	0.55	2.18541633920759e-73
FGL2	3.46514478235919e-77	0.9141303640998	0.797	0.269	9.66740742830391e-73
MPEG1	3.77369357324378e-73	0.731126974098681	0.477	0.095	1.05282276999928e-68
FCGRT	5.16098563606175e-67	0.676337029180505	0.436	0.085	1.43986338260487e-62
CEBPD	7.08724520077782e-67	0.510004234173147	0.286	0.035	1.977270538565e-62
S100A6	1.00971917924658e-65	0.622990049863873	0.946	0.649	2.81701553818004e-61
CTSH	2.41719334636653e-58	0.761692553378239	0.602	0.191	6.74372771702797e-54
MS4A6A	2.54820239680639e-55	0.779240486188646	0.639	0.213	7.10922986685015e-51
MS4A7	2.6068376054464e-55	0.754171567718189	0.56	0.173	7.2728162354349e-51
NCF2	5.26444547501777e-55	0.697847520736063	0.519	0.146	1.46872764307521e-50
RGS2	4.76815643423254e-54	0.624541050059064	0.386	0.081	1.33026796358654e-49
PDK4	1.15439182380318e-48	0.50947705239122	0.299	0.053	3.22063774922848e-44
FGR	2.23958073248302e-48	0.633135798712485	0.436	0.116	6.24820628555438e-44
TYMP	6.68691987758828e-47	0.620467677188706	0.456	0.131	1.86558377664835e-42
FCER1G	4.91169183611514e-46	0.677120268454463	0.701	0.302	1.37031290535776e-41
AOAH	5.70942647646643e-46	0.60065081164077	0.419	0.111	1.59287289266937e-41
ANXA5	2.56718862402176e-45	0.695318503499455	0.581	0.218	7.16219954215832e-41
ANXA2	4.17803007628025e-45	0.693453343458317	0.635	0.265	1.16562861098143e-40
GIMAP7	4.07033647864059e-44	0.538461323999069	0.373	0.086	1.13558317417594e-39
TKT	4.19173269159736e-43	0.552539622007453	0.834	0.592	1.16945150362875e-38
ADA2	5.49089663910406e-43	0.605350843398199	0.452	0.134	1.53190525334364e-38
CFD	7.40721277694422e-43	0.581517379538386	0.934	0.593	2.06653829263967e-38
IL17RA	1.67267643108358e-42	0.50133302920555	0.34	0.078	4.66659997508008e-38
KCTD12	6.320380808565e-42	0.606817319235092	0.448	0.135	1.76332304178155e-37
GRN	1.20481467524325e-41	0.611241011743183	0.739	0.41	3.36131246246115e-37
CYBB	3.08295093786462e-37	0.613861371066275	0.726	0.379	8.60112482154852e-33
CTSD	1.16066375994972e-36	0.598165110307441	0.656	0.339	3.23813582388374e-32
