Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FPR1	1.72687149605049e-30	0.585195797215117	0.278	0.009	4.81779878683126e-26
S100A12	2.02346447119405e-29	0.903476571795414	0.444	0.024	5.64526352818429e-25
S100A8	4.51463717921461e-25	1.80940310746779	1	0.183	1.25953862662908e-20
S100A9	2.59387256060671e-21	1.8173181166113	1	0.228	7.23664505683666e-17
VCAN	8.6755971655609e-20	1.46927465716128	0.778	0.115	2.42040485321983e-15
PLBD1	1.48585107586474e-17	0.607709122831431	0.278	0.016	4.14537591655505e-13
FCN1	2.22804027960259e-17	1.05629989977677	0.556	0.065	6.21600957606327e-13
CD14	7.42396430922755e-14	0.842679867626242	0.444	0.051	2.0712118026314e-09
MNDA	1.07630134073617e-13	1.22322844695915	0.944	0.306	3.00277311051985e-09
LYZ	1.36209482017642e-12	1.40592497178883	1	0.522	3.80010833881021e-08
SLC11A1	1.76642577441907e-12	0.678778765510133	0.278	0.024	4.92815126805175e-08
FAM105A	5.2365698815673e-11	0.735707908967584	0.444	0.066	1.46095063125846e-06
MPEG1	8.50466129113083e-10	0.950500338726994	0.556	0.117	2.37271545361259e-05
CCR2	2.67876638787233e-08	0.668212320937035	0.444	0.085	0.000747349034552502
CTSS	3.03854611580067e-08	0.848653943753253	1	0.54	0.000847723980847228
PSAP	1.68299386894787e-07	0.745254944480253	0.944	0.572	0.00469538459497768
S100A10	6.15299542897742e-07	0.893762831852165	0.611	0.193	0.0171662419473041
IFI30	7.19847721478154e-07	0.902253924123933	0.667	0.24	0.020083031581519
ANXA2	1.55346840303509e-06	0.762366725696794	0.722	0.286	0.0433402149762759
SIRPA	1.6208062957877e-06	0.581699830879639	0.333	0.064	0.0452188748461812
FGL2	2.43165292117906e-06	0.792863298101076	0.778	0.3	0.0678406848479745
CTSH	3.94845152962422e-06	0.783991926446383	0.611	0.215	0.110157849224986
CSTA	6.47377942649268e-06	0.677493692205704	0.778	0.408	0.180611972219719
CD48	7.2184204466424e-06	0.742715123235916	0.611	0.221	0.201386712040876
TMSB4X	9.94795082858889e-06	0.259941074826741	1	0.973	0.277537880166801
CEBPB	1.01317765152886e-05	0.533257192169721	0.278	0.052	0.282666433000037
FTL	1.68363510211393e-05	0.407417976650851	0.944	0.865	0.469717357138765
HSP90AB1	1.74059712846787e-05	-0.891997627555771	0.278	0.754	0.485609192871251
TMEM170B	1.81065191594868e-05	0.532956570479809	0.278	0.055	0.505153778030522
TNFSF10	3.16887401154956e-05	0.687598890525096	0.444	0.136	0.884084160482212
FGR	3.80148138802742e-05	0.64415920625002	0.444	0.134	1
S100A6	5.11702620050745e-05	0.530314230451299	0.833	0.667	1
GIMAP7	7.28752585862076e-05	0.557238911118684	0.389	0.103	1
SSH2	7.52942475311329e-05	0.647476290334049	0.389	0.115	1
RPL32	7.93948905991611e-05	-0.266088381698047	0.889	0.988	1
CSF3R	0.000129290154046742	0.541369207819396	0.333	0.09	1
SAMSN1	0.000208549336412413	0.580641310689662	0.389	0.125	1
LAPTM5	0.000325009585912365	0.480552431466921	0.833	0.599	1
HMGB2	0.000334787342158503	0.589847722725602	0.778	0.46	1
SPINK2	0.000363548538586443	-0.950746146795528	0.056	0.525	1
SRGN	0.000395523981907846	0.338610075899069	1	0.863	1
RNASE2	0.000424219156786087	0.634629222011166	0.611	0.321	1
CTSB	0.000474530641971879	0.618807387875137	0.667	0.379	1
FMNL1	0.000489502169497495	0.468682603077366	0.278	0.072	1
FAM200B	0.000517981273718289	0.506080233760477	0.278	0.075	1
RGS2	0.000573419484532183	0.544641031293374	0.333	0.099	1
GNS	0.000600243641696933	0.507841045103494	0.278	0.075	1
ATP6V0C	0.000631881324119765	0.591712158642155	0.5	0.23	1
PLAC8	0.000703080920118452	0.549664832843839	0.722	0.551	1
CD93	0.000711304718721646	0.434379702270079	0.278	0.074	1
FTH1	0.00074234851716926	0.327526194743323	0.889	0.819	1
C1orf162	0.000820692465129382	0.527933156898935	0.333	0.106	1
CDK6	0.000889978933453548	-0.82783883134209	0.056	0.483	1
CD1D	0.000894218353121276	0.436266305051043	0.278	0.075	1
RPL10A	0.000908406357242925	-0.487151667144418	0.611	0.935	1
TKT	0.00108344461580547	0.424059104183023	0.778	0.607	1
GAS5	0.0010891677877992	-0.618656280879749	0.389	0.743	1
LGALS3	0.00112957799314479	0.573021052238992	0.389	0.138	1
MT-ND5	0.00123925700748008	0.363115427010937	0.944	0.765	1
ITGB2	0.00141502497741615	0.490581468788508	0.722	0.505	1
HINT1	0.00171063895457472	-0.515958877564957	0.5	0.83	1
SEPT6	0.00173220846773138	-0.727863365441553	0	0.369	1
S100A4	0.00177789564705609	0.360252141544163	0.944	0.753	1
RPL12	0.00191893533297016	-0.274504342364832	0.833	0.971	1
VAMP3	0.00192335447268315	0.507507185217164	0.278	0.088	1
FLJ44635	0.00200199841239296	-0.628211980505844	0.222	0.644	1
MS4A7	0.00245027963402621	0.600021254000842	0.444	0.196	1
ADA2	0.00246648803484607	0.518817985117951	0.389	0.153	1
CAT	0.00282004826704065	-0.687143178781761	0.056	0.404	1
ANXA5	0.0029021651513633	0.528367437952188	0.5	0.239	1
CD86	0.00300675521683586	0.523621334390223	0.333	0.125	1
TNFAIP2	0.00341844204973713	0.54893444167805	0.444	0.204	1
BRI3	0.00342914481044673	0.494291677997263	0.278	0.094	1
RPSA	0.00345652000901154	-0.298524178705606	0.778	0.924	1
PGK1	0.00348428157814142	0.475127543594876	0.611	0.387	1
CPVL	0.00349165561901252	0.508189098436837	0.611	0.318	1
DDX17	0.00362460953718686	-0.599298551223128	0.278	0.652	1
NASP	0.00386997798558861	-0.667215613018098	0	0.329	1
P2RY13	0.00395911873595421	0.503486119584374	0.333	0.127	1
FOS	0.00397718313340037	0.508480968365239	0.722	0.507	1
TAPT1-AS1	0.00406029649972852	-0.6111775141728	0.222	0.614	1
SH3BGRL	0.00406460753962362	0.464258674724572	0.667	0.462	1
DYNLL1	0.0043193920144551	-0.638169078214529	0.056	0.393	1
BLVRB	0.00438468439133136	0.427475070007499	0.333	0.125	1
TIA1	0.00447137993537817	-0.644023182892498	0	0.321	1
LRRC75A-AS1	0.00448632613016794	-0.480914592441034	0.5	0.769	1
PTPRCAP	0.00456071659435761	-0.658930413943806	0	0.32	1
IFNGR1	0.00504005219879546	0.489481243039353	0.389	0.173	1
RPL36AL	0.00525495868550638	-0.561190386218748	0.278	0.64	1
