Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FPR1	1.72687149605049e-30	0.585195797215117	0.278	0.009	4.81779878683126e-26
S100A12	2.02346447119405e-29	0.903476571795414	0.444	0.024	5.64526352818429e-25
S100A8	4.51463717921461e-25	1.80940310746779	1	0.183	1.25953862662908e-20
S100A9	2.59387256060671e-21	1.8173181166113	1	0.228	7.23664505683666e-17
VCAN	8.6755971655609e-20	1.46927465716128	0.778	0.115	2.42040485321983e-15
PLBD1	1.48585107586474e-17	0.607709122831431	0.278	0.016	4.14537591655505e-13
FCN1	2.22804027960259e-17	1.05629989977677	0.556	0.065	6.21600957606327e-13
CD14	7.42396430922755e-14	0.842679867626242	0.444	0.051	2.0712118026314e-09
MNDA	1.07630134073617e-13	1.22322844695915	0.944	0.306	3.00277311051985e-09
LYZ	1.36209482017642e-12	1.40592497178883	1	0.522	3.80010833881021e-08
SLC11A1	1.76642577441907e-12	0.678778765510133	0.278	0.024	4.92815126805175e-08
FAM105A	5.2365698815673e-11	0.735707908967584	0.444	0.066	1.46095063125846e-06
MPEG1	8.50466129113083e-10	0.950500338726994	0.556	0.117	2.37271545361259e-05
CCR2	2.67876638787233e-08	0.668212320937035	0.444	0.085	0.000747349034552502
CTSS	3.03854611580067e-08	0.848653943753253	1	0.54	0.000847723980847228
PSAP	1.68299386894787e-07	0.745254944480253	0.944	0.572	0.00469538459497768
S100A10	6.15299542897742e-07	0.893762831852165	0.611	0.193	0.0171662419473041
IFI30	7.19847721478154e-07	0.902253924123933	0.667	0.24	0.020083031581519
ANXA2	1.55346840303509e-06	0.762366725696794	0.722	0.286	0.0433402149762759
SIRPA	1.6208062957877e-06	0.581699830879639	0.333	0.064	0.0452188748461812
