Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD74	9.13519683893731e-33	-0.881713690113193	0.464	0.924	2.54862856609512e-28
GPX1	6.33614697482725e-29	-1.06957843252493	0.216	0.86	1.76772164450705e-24
HLA-DRA	2.04333504810045e-28	-1.07678645796857	0.237	0.836	5.70070045069544e-24
AIF1	1.20601091119872e-25	-1.05759562466334	0.113	0.701	3.3646498411533e-21
HLA-DRB1	1.88579288510929e-23	-1.00611022116053	0.155	0.715	5.2611735701664e-19
CFD	3.37599624144325e-22	-1.13406389534205	0.072	0.629	9.41869191400254e-18
VIM	2.49061612173399e-21	-0.744070519883172	0.454	0.9	6.94856991802566e-17
CST3	1.07294458674175e-20	-0.953328994037392	0.124	0.677	2.99340810255082e-16
HLA-DRB5	1.80674929073149e-18	-0.897493658326687	0.093	0.592	5.04064984621179e-14
LGALS1	8.97722573598941e-17	-0.816250485780987	0.227	0.695	2.50455620808368e-12
RPLP0	4.74645932889762e-16	-0.260641407689185	0.907	0.978	1.32421468816915e-11
RPS9	5.23204051057968e-16	-0.295337968269898	0.845	0.971	1.45968698204663e-11
LRRC75A-AS1	7.88207636719362e-16	-0.709515120126754	0.351	0.779	2.19902048568335e-11
HLA-DPA1	1.21229973556565e-15	-0.769616189306756	0.258	0.708	3.3821950322546e-11
HLA-DPB1	2.01395341064649e-15	-0.812404133603504	0.175	0.65	5.61872862036265e-11
CD36	1.88589938398725e-14	-0.825972269228675	0.165	0.593	5.26147069138602e-10
SPINK2	2.75441797003439e-14	-0.84248010921739	0.103	0.534	7.68455069459894e-10
GRN	3.39965549199841e-13	-0.725669170063872	0.052	0.441	9.48469885712638e-09
GAPDH	5.06396362694728e-13	-0.520429645155724	0.515	0.842	1.41279521228202e-08
H2AFY	5.09809466158071e-13	-0.698287804945319	0.186	0.634	1.4223174296344e-08
APLP2	6.65139952123631e-13	-0.719492097521775	0.134	0.566	1.85567395242972e-08
EEF1G	8.20898484282247e-13	-0.395925740631345	0.701	0.942	2.29022468129904e-08
LST1	3.38451311875438e-12	-0.67368353124892	0.144	0.566	9.44245315001284e-08
GAS5	3.90641037036165e-12	-0.62522150331808	0.34	0.751	1.0898494292272e-07
RPL5	8.66381973606517e-12	-0.250198684394246	0.866	0.987	2.41711906816482e-07
PABPC1	8.76673065564689e-12	-0.289179119312835	0.804	0.963	2.44583018561893e-07
RPS4X	1.08211171297788e-11	-0.340147975278369	0.753	0.952	3.018983468037e-07
FLT3	1.95282707410114e-11	-0.658463855060232	0.124	0.511	5.44819225403477e-07
MGST1	2.28121085624792e-11	-0.653657171888142	0.021	0.359	6.36435016784607e-07
TPM4	2.54585786289713e-11	-0.644274861226045	0.124	0.527	7.1026888516967e-07
CSTA	2.97586270209209e-11	-0.670242549889812	0.062	0.419	8.30235935256673e-07
SELENOH	3.07211611973894e-11	-0.621438832342033	0.206	0.625	8.57089676245966e-07
RPL36A	3.40509700644019e-11	-0.312516616896972	0.763	0.952	9.49988013826748e-07
DUSP6	4.13356893894584e-11	-0.646871126370805	0.155	0.544	1.1532243982765e-06
MNDA	6.97357040198297e-11	-0.769915857234614	0	0.317	1.94555640644923e-06
HINT1	8.38764574938557e-11	-0.479071608002492	0.505	0.837	2.34006928762108e-06
TXN	8.88388058354516e-11	-0.623406634336499	0.134	0.511	2.47851384400326e-06
RNASE2	1.15914747255645e-10	-0.660189865094748	0.01	0.33	3.23390553368524e-06
ZFAS1	1.25609535223815e-10	-0.56507839271749	0.371	0.773	3.50438042320922e-06
TYROBP	1.99078007189575e-10	-0.579437618112707	0.371	0.804	5.55407732258195e-06
EMB	2.41246246468471e-10	-0.553654386002805	0.351	0.72	6.73052903022387e-06
TKT	3.36590636751794e-10	-0.597687093853537	0.237	0.617	9.39054217473831e-06
RPL29	3.65480729429244e-10	-0.423273022299238	0.567	0.856	1.01965468703465e-05
CPVL	4.5246507098322e-10	-0.666747080777809	0.021	0.327	1.26233230153608e-05
EEF2	4.90956693874888e-10	-0.481253473080854	0.505	0.85	1.36972008024155e-05
CD302	6.49205834548741e-10	-0.584175717085268	0.082	0.425	1.81121935780753e-05
NAP1L1	6.66237901224123e-10	-0.513801480980716	0.402	0.755	1.85873712062518e-05
