Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GZMB	0	1.34181182208699	0.577	0.005	0
PRF1	2.3610182087519e-235	1.35316053756182	0.577	0.015	6.58700470059693e-231
GZMA	2.68340682906524e-231	1.2910727061754	0.567	0.015	7.48643671240912e-227
GZMH	3.06144621387009e-231	1.02555514269339	0.423	0.005	8.54112879207616e-227
GNLY	2.41631683449081e-224	1.87998570083903	0.918	0.059	6.74128233654591e-220
KLRD1	1.00066529382429e-175	1.13152606226014	0.474	0.015	2.79175610324038e-171
FGFBP2	5.97385020894525e-175	0.873093543263354	0.32	0.004	1.66664446979364e-170
CD247	4.62687156198051e-140	0.953644317097069	0.392	0.013	1.29085089707694e-135
SYNE2	6.14909834443052e-133	1.21269084563342	0.557	0.033	1.71553694711267e-128
FCGR3A	7.72082002103432e-126	0.861223694533737	0.351	0.011	2.15403157766836e-121
NKG7	3.08397027853459e-105	1.41971375794061	0.722	0.09	8.60396868008366e-101
CD8A	3.78542186955314e-104	0.793253235995119	0.32	0.012	1.05609484738663e-99
CCL5	5.96637005396209e-91	1.56224584842511	0.773	0.127	1.66455758135488e-86
IL32	1.68373941456203e-82	0.876046326366192	0.351	0.021	4.69746459268662e-78
KLRB1	4.4680360023492e-78	0.758955092546322	0.299	0.015	1.2465373642954e-73
SLAMF7	5.66101034176374e-72	0.690069878369486	0.278	0.015	1.57936527524867e-67
ETS1	8.92239247388959e-68	1.11705049484118	0.546	0.072	2.48925827629046e-63
SYNE1	7.7559180219172e-65	1.04486471636653	0.474	0.057	2.16382356893468e-60
CD3G	1.3815361568918e-62	0.675629258739113	0.258	0.015	3.85434772411244e-58
KLRK1	3.51692096948516e-53	0.684146521617612	0.289	0.023	9.81185781276664e-49
CD3D	1.60210331750294e-51	0.739603714737497	0.289	0.024	4.46970804550145e-47
IKZF3	1.31244811924857e-48	0.797053433412056	0.361	0.041	3.66159900789158e-44
KLRG1	1.14263527674401e-44	0.635982774686935	0.258	0.022	3.18783815858811e-40
SLFN5	1.77517682190539e-39	0.798107192111796	0.381	0.058	4.95256581543384e-35
IFITM1	2.0173461847828e-37	0.969233320157654	0.546	0.131	5.62819412092554e-33
CX3CR1	1.05352586372804e-36	0.748221903835187	0.33	0.047	2.93923180721485e-32
DUSP2	9.76328042715917e-36	0.630275499288948	0.268	0.031	2.72385760637314e-31
HOPX	6.66649830801838e-34	0.870769921488556	0.495	0.118	1.85988636295405e-29
CD74	9.13519683893731e-33	-0.881713690113193	0.464	0.924	2.54862856609512e-28
PYHIN1	2.90498284427196e-32	0.627153379953846	0.278	0.038	8.10461163723434e-28
GPX1	6.33614697482725e-29	-1.06957843252493	0.216	0.86	1.76772164450705e-24
HLA-DRA	2.04333504810045e-28	-1.07678645796857	0.237	0.836	5.70070045069544e-24
CST7	1.170839535226e-26	0.881314974913429	0.505	0.152	3.26652521932702e-22
AIF1	1.20601091119872e-25	-1.05759562466334	0.113	0.701	3.3646498411533e-21
CMC1	1.226838505783e-24	0.861489789616274	0.464	0.138	3.42275674728398e-20
HLA-DRB1	1.88579288510929e-23	-1.00611022116053	0.155	0.715	5.2611735701664e-19
GIMAP7	3.51188340652689e-23	0.70757171729958	0.392	0.097	9.79780351586937e-19
HLA-E	3.6324555193778e-23	0.52592743246482	0.887	0.717	1.01341876535121e-18
GIMAP4	6.24794758788775e-23	0.606399881049856	0.268	0.048	1.7431148975448e-18
HLA-B	2.79280984824849e-22	0.289660220604631	0.959	0.93	7.79166019562846e-18
TXNIP	2.81505854498826e-22	0.471944502412702	0.938	0.783	7.85373183466275e-18
CFD	3.37599624144325e-22	-1.13406389534205	0.072	0.629	9.41869191400254e-18
VIM	2.49061612173399e-21	-0.744070519883172	0.454	0.9	6.94856991802566e-17
CST3	1.07294458674175e-20	-0.953328994037392	0.124	0.677	2.99340810255082e-16
ARL4C	1.06402485290198e-18	0.582811692163517	0.278	0.062	2.96852293711124e-14
HLA-DRB5	1.80674929073149e-18	-0.897493658326687	0.093	0.592	5.04064984621179e-14
CALM1	1.64144533423236e-17	0.56042886882197	0.773	0.566	4.57946833797485e-13
LGALS1	8.97722573598941e-17	-0.816250485780987	0.227	0.695	2.50455620808368e-12
PTPRCAP	4.00182933254961e-16	0.684670030190803	0.588	0.311	1.11647036548802e-11
RPLP0	4.74645932889762e-16	-0.260641407689185	0.907	0.978	1.32421468816915e-11
RPS9	5.23204051057968e-16	-0.295337968269898	0.845	0.971	1.45968698204663e-11
LRRC75A-AS1	7.88207636719362e-16	-0.709515120126754	0.351	0.779	2.19902048568335e-11
HLA-DPA1	1.21229973556565e-15	-0.769616189306756	0.258	0.708	3.3821950322546e-11
HLA-DPB1	2.01395341064649e-15	-0.812404133603504	0.175	0.65	5.61872862036265e-11
CD36	1.88589938398725e-14	-0.825972269228675	0.165	0.593	5.26147069138602e-10
ID2	2.53147999013199e-14	0.642530218313224	0.608	0.344	7.06257602446924e-10
SPINK2	2.75441797003439e-14	-0.84248010921739	0.103	0.534	7.68455069459894e-10
BTG1	1.90573649640412e-13	0.632036966146985	0.454	0.201	5.31681425131785e-09
GRN	3.39965549199841e-13	-0.725669170063872	0.052	0.441	9.48469885712638e-09
GAPDH	5.06396362694728e-13	-0.520429645155724	0.515	0.842	1.41279521228202e-08
H2AFY	5.09809466158071e-13	-0.698287804945319	0.186	0.634	1.4223174296344e-08
APLP2	6.65139952123631e-13	-0.719492097521775	0.134	0.566	1.85567395242972e-08
EEF1G	8.20898484282247e-13	-0.395925740631345	0.701	0.942	2.29022468129904e-08
PTPRC	1.05659665401403e-12	0.401156306280762	0.825	0.697	2.94779900503374e-08
HLA-C	2.47367027315009e-12	0.363669968004489	0.794	0.721	6.90129269506145e-08
LST1	3.38451311875438e-12	-0.67368353124892	0.144	0.566	9.44245315001284e-08
GAS5	3.90641037036165e-12	-0.62522150331808	0.34	0.751	1.0898494292272e-07
RPL5	8.66381973606517e-12	-0.250198684394246	0.866	0.987	2.41711906816482e-07
PABPC1	8.76673065564689e-12	-0.289179119312835	0.804	0.963	2.44583018561893e-07
JAK1	9.34272839525219e-12	0.615281282579469	0.464	0.237	2.60652779499141e-07
RPS4X	1.08211171297788e-11	-0.340147975278369	0.753	0.952	3.018983468037e-07
FLT3	1.95282707410114e-11	-0.658463855060232	0.124	0.511	5.44819225403477e-07
MGST1	2.28121085624792e-11	-0.653657171888142	0.021	0.359	6.36435016784607e-07
TPM4	2.54585786289713e-11	-0.644274861226045	0.124	0.527	7.1026888516967e-07
GPR65	2.88480889742876e-11	0.50555134597353	0.258	0.082	8.0483283429365e-07
CSTA	2.97586270209209e-11	-0.670242549889812	0.062	0.419	8.30235935256673e-07
SELENOH	3.07211611973894e-11	-0.621438832342033	0.206	0.625	8.57089676245966e-07
RPL36A	3.40509700644019e-11	-0.312516616896972	0.763	0.952	9.49988013826748e-07
DUSP6	4.13356893894584e-11	-0.646871126370805	0.155	0.544	1.1532243982765e-06
MNDA	6.97357040198297e-11	-0.769915857234614	0	0.317	1.94555640644923e-06
HINT1	8.38764574938557e-11	-0.479071608002492	0.505	0.837	2.34006928762108e-06
TXN	8.88388058354516e-11	-0.623406634336499	0.134	0.511	2.47851384400326e-06
DDX5	1.04165394613835e-10	0.295151309145845	0.866	0.779	2.90611034433139e-06
RNASE2	1.15914747255645e-10	-0.660189865094748	0.01	0.33	3.23390553368524e-06
ZFAS1	1.25609535223815e-10	-0.56507839271749	0.371	0.773	3.50438042320922e-06
TYROBP	1.99078007189575e-10	-0.579437618112707	0.371	0.804	5.55407732258195e-06
EMB	2.41246246468471e-10	-0.553654386002805	0.351	0.72	6.73052903022387e-06
TKT	3.36590636751794e-10	-0.597687093853537	0.237	0.617	9.39054217473831e-06
RPL29	3.65480729429244e-10	-0.423273022299238	0.567	0.856	1.01965468703465e-05
RNF213	4.42824292006083e-10	0.580877123836559	0.454	0.249	1.23543549226777e-05
CPVL	4.5246507098322e-10	-0.666747080777809	0.021	0.327	1.26233230153608e-05
EEF2	4.90956693874888e-10	-0.481253473080854	0.505	0.85	1.36972008024155e-05
CD302	6.49205834548741e-10	-0.584175717085268	0.082	0.425	1.81121935780753e-05
NAP1L1	6.66237901224123e-10	-0.513801480980716	0.402	0.755	1.85873712062518e-05
HLA-DRB6	9.34305482932145e-10	-0.580523958561879	0.01	0.304	2.60661886683239e-05
PCNP	1.23467791466885e-09	-0.269526892564728	0.804	0.952	3.44462791413462e-05
EIF3L	1.27722814975607e-09	-0.557667873448494	0.165	0.535	3.56333881500446e-05
JAML	2.34976318572784e-09	-0.613026450709857	0.113	0.44	6.5556043118621e-05
CDK6	2.54502250898857e-09	-0.596421198641548	0.144	0.49	7.1003582978272e-05
CCND2	2.62305251790717e-09	0.55272718778346	0.309	0.13	7.31805421970922e-05
RACK1	2.994139247261e-09	-0.305057303128901	0.753	0.939	8.35334908593345e-05
SERPINB1	3.16523451773467e-09	-0.594546709240881	0.196	0.536	8.83068778102796e-05
SRGN	5.03509931752275e-09	-0.414769929616737	0.639	0.869	0.000140474235859567
TIMP1	5.25755194071668e-09	-0.553213297902797	0.072	0.376	0.000146680441594055
TNFSF13	5.76906682191509e-09	-0.523298950752256	0	0.267	0.000160951195264609
FOS	6.11568262932539e-09	-0.575051417711707	0.186	0.516	0.000170621429675549
RPLP0P2	6.99854439724316e-09	-0.551643469567289	0.268	0.66	0.000195252390138687
RNASE6	7.02701262453828e-09	-0.569054594467914	0.052	0.339	0.000196046625211993
NAPSB	7.4743575790418e-09	-0.60231866592626	0.01	0.28	0.000208527102097687
YWHAE	8.43416771039209e-09	-0.538333034792929	0.165	0.52	0.000235304844952229
CYBB	1.12090278261169e-08	-0.567355226163907	0.093	0.409	0.000312720667320835
CREG1	1.23390674266852e-08	-0.50865390715479	0.052	0.348	0.00034424764213709
RPL22	1.45766695666802e-08	-0.345423966621721	0.66	0.906	0.000406674504240812
LY86	1.5717922389624e-08	-0.533568439648666	0.072	0.362	0.000438514316748119
RPL8	1.96658743204774e-08	-0.326043822071135	0.67	0.893	0.000548658227666998
EIF2S3	2.07074735566291e-08	-0.527850958834574	0.175	0.521	0.000577717804756395
PGD	2.17136010119316e-08	-0.50805824155733	0.031	0.297	0.00060578775463188
TUBA1B	2.47740606337617e-08	-0.562777472783214	0.165	0.476	0.000691171517621318
HSBP1	3.65947606810131e-08	-0.48355675085541	0.052	0.329	0.00102095722823959
HOXA9	4.62447422373811e-08	-0.504123244047877	0.041	0.306	0.0012901820636807
HSPD1	5.4432222285232e-08	-0.528624559298658	0.175	0.502	0.00151860456953569
PRSS57	5.66868108771025e-08	-0.504218641956853	0.021	0.269	0.00158150533666028
SRP72	5.98038550103386e-08	-0.494937581812149	0.062	0.34	0.00166846775093344
PTTG1IP	6.80035236926332e-08	-0.500528010821825	0.103	0.389	0.00189723030750077
CLEC12A	7.06227991579554e-08	-0.48864289663287	0.052	0.325	0.0019703054737078
ATM	8.10566164409755e-08	0.435169372185699	0.309	0.14	0.00226139854208677
TALDO1	8.70170451891074e-08	-0.486365349197311	0.124	0.436	0.00242768854373091
GUCY1A3	8.87993468499155e-08	-0.532143087425602	0.021	0.264	0.00247741297776579
