Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GZMB	0	1.34181182208699	0.577	0.005	0
PRF1	2.3610182087519e-235	1.35316053756182	0.577	0.015	6.58700470059693e-231
GZMA	2.68340682906524e-231	1.2910727061754	0.567	0.015	7.48643671240912e-227
GZMH	3.06144621387009e-231	1.02555514269339	0.423	0.005	8.54112879207616e-227
GNLY	2.41631683449081e-224	1.87998570083903	0.918	0.059	6.74128233654591e-220
KLRD1	1.00066529382429e-175	1.13152606226014	0.474	0.015	2.79175610324038e-171
FGFBP2	5.97385020894525e-175	0.873093543263354	0.32	0.004	1.66664446979364e-170
CD247	4.62687156198051e-140	0.953644317097069	0.392	0.013	1.29085089707694e-135
SYNE2	6.14909834443052e-133	1.21269084563342	0.557	0.033	1.71553694711267e-128
FCGR3A	7.72082002103432e-126	0.861223694533737	0.351	0.011	2.15403157766836e-121
NKG7	3.08397027853459e-105	1.41971375794061	0.722	0.09	8.60396868008366e-101
CD8A	3.78542186955314e-104	0.793253235995119	0.32	0.012	1.05609484738663e-99
CCL5	5.96637005396209e-91	1.56224584842511	0.773	0.127	1.66455758135488e-86
IL32	1.68373941456203e-82	0.876046326366192	0.351	0.021	4.69746459268662e-78
KLRB1	4.4680360023492e-78	0.758955092546322	0.299	0.015	1.2465373642954e-73
SLAMF7	5.66101034176374e-72	0.690069878369486	0.278	0.015	1.57936527524867e-67
ETS1	8.92239247388959e-68	1.11705049484118	0.546	0.072	2.48925827629046e-63
SYNE1	7.7559180219172e-65	1.04486471636653	0.474	0.057	2.16382356893468e-60
CD3G	1.3815361568918e-62	0.675629258739113	0.258	0.015	3.85434772411244e-58
KLRK1	3.51692096948516e-53	0.684146521617612	0.289	0.023	9.81185781276664e-49
CD3D	1.60210331750294e-51	0.739603714737497	0.289	0.024	4.46970804550145e-47
IKZF3	1.31244811924857e-48	0.797053433412056	0.361	0.041	3.66159900789158e-44
KLRG1	1.14263527674401e-44	0.635982774686935	0.258	0.022	3.18783815858811e-40
SLFN5	1.77517682190539e-39	0.798107192111796	0.381	0.058	4.95256581543384e-35
IFITM1	2.0173461847828e-37	0.969233320157654	0.546	0.131	5.62819412092554e-33
CX3CR1	1.05352586372804e-36	0.748221903835187	0.33	0.047	2.93923180721485e-32
DUSP2	9.76328042715917e-36	0.630275499288948	0.268	0.031	2.72385760637314e-31
HOPX	6.66649830801838e-34	0.870769921488556	0.495	0.118	1.85988636295405e-29
PYHIN1	2.90498284427196e-32	0.627153379953846	0.278	0.038	8.10461163723434e-28
CST7	1.170839535226e-26	0.881314974913429	0.505	0.152	3.26652521932702e-22
CMC1	1.226838505783e-24	0.861489789616274	0.464	0.138	3.42275674728398e-20
GIMAP7	3.51188340652689e-23	0.70757171729958	0.392	0.097	9.79780351586937e-19
HLA-E	3.6324555193778e-23	0.52592743246482	0.887	0.717	1.01341876535121e-18
GIMAP4	6.24794758788775e-23	0.606399881049856	0.268	0.048	1.7431148975448e-18
HLA-B	2.79280984824849e-22	0.289660220604631	0.959	0.93	7.79166019562846e-18
TXNIP	2.81505854498826e-22	0.471944502412702	0.938	0.783	7.85373183466275e-18
ARL4C	1.06402485290198e-18	0.582811692163517	0.278	0.062	2.96852293711124e-14
CALM1	1.64144533423236e-17	0.56042886882197	0.773	0.566	4.57946833797485e-13
PTPRCAP	4.00182933254961e-16	0.684670030190803	0.588	0.311	1.11647036548802e-11
ID2	2.53147999013199e-14	0.642530218313224	0.608	0.344	7.06257602446924e-10
BTG1	1.90573649640412e-13	0.632036966146985	0.454	0.201	5.31681425131785e-09
PTPRC	1.05659665401403e-12	0.401156306280762	0.825	0.697	2.94779900503374e-08
HLA-C	2.47367027315009e-12	0.363669968004489	0.794	0.721	6.90129269506145e-08
JAK1	9.34272839525219e-12	0.615281282579469	0.464	0.237	2.60652779499141e-07
GPR65	2.88480889742876e-11	0.50555134597353	0.258	0.082	8.0483283429365e-07
DDX5	1.04165394613835e-10	0.295151309145845	0.866	0.779	2.90611034433139e-06
RNF213	4.42824292006083e-10	0.580877123836559	0.454	0.249	1.23543549226777e-05
CCND2	2.62305251790717e-09	0.55272718778346	0.309	0.13	7.31805421970922e-05
ATM	8.10566164409755e-08	0.435169372185699	0.309	0.14	0.00226139854208677
MAN1A2	2.03733532008449e-07	0.462548515272821	0.474	0.307	0.00568396180950371
CTSW	3.26489594335344e-07	0.514665177305747	0.33	0.176	0.00910873319236176
MBP	6.40379043949493e-07	0.459320537792396	0.392	0.226	0.0178659349471469
CLEC2B	1.3424646185856e-06	0.471584171539534	0.299	0.153	0.0374534203939197
