Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ELANE	6.86930619169234e-97	1.27634804414496	0.8	0.082	1.91646773442025e-92
AZU1	6.43981333981324e-44	0.944825167295511	0.747	0.155	1.7966435236745e-39
LYZ	1.51299543584943e-42	1.345603713551	1	0.515	4.22110596647632e-38
SRGN	7.64972140356939e-42	0.6950392969382	1	0.861	2.13419577438183e-37
PRTN3	3.30229072893118e-36	0.702242186901378	0.427	0.06	9.2130609046451e-32
SERPINB10	7.10310765740958e-34	0.411376003957572	0.267	0.025	1.9816960053407e-29
SLC44A1	6.52874798379933e-33	0.815662083657396	0.733	0.189	1.82145540000018e-28
CTSG	1.06212654435961e-31	0.91409768405009	0.84	0.263	2.96322684610886e-27
MNDA	8.03719898456335e-30	0.868620907735997	0.92	0.297	2.24229814470333e-25
CSTA	4.00496119702604e-29	0.825015455635084	0.92	0.4	1.1173441243583e-24
CFD	4.37396339521955e-29	0.758818101122728	0.987	0.607	1.2202920476323e-24
RNASE2	9.26966364119666e-29	0.842165138044368	0.867	0.311	2.58614345925746e-24
TUBA4A	1.45494419589786e-26	0.336318428820777	0.253	0.029	4.05914881213543e-22
F13A1	7.2297551448224e-25	0.731149590499878	0.653	0.18	2.017029387854e-20
CLEC11A	1.87490412022945e-22	0.689903128380325	0.653	0.201	5.23079500502813e-18
GCNT1	3.85279883863483e-20	0.350963691719488	0.293	0.049	1.07489234799073e-15
ERLIN1	8.37686163602604e-18	0.501660507745642	0.48	0.13	2.33706062783491e-13
IGFBP7	7.23938129088508e-17	0.584850894230655	0.52	0.165	2.01971498634403e-12
QSOX1	2.10925875484141e-15	0.43671795352218	0.413	0.112	5.88462100013204e-11
SMA5	1.11792766769443e-14	0.344720128537819	0.333	0.077	3.11890640010068e-10
APLP2	1.34276686630905e-14	0.560335359393353	0.92	0.547	3.74618528031563e-10
NCOA4	1.98076038936792e-13	0.572450377866089	0.813	0.42	5.52612341029756e-09
EAF2	2.96390997459736e-13	0.513666789980263	0.507	0.18	8.26901243812917e-09
