Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SLPI	4.18215680261203e-34	0.599877279739048	0.333	0.006	1.16677992636073e-29
LOC100131655	2.42237565263648e-28	0.471400010290507	0.333	0.007	6.75818583329053e-24
DPH3P1	1.36394516138049e-23	0.415848697655705	0.333	0.009	3.80527060573544e-19
PRKCA	7.84859567021457e-20	0.701308782112834	0.444	0.019	2.18967970603316e-15
TMEM254	1.76922496146909e-15	0.658271144407138	0.444	0.025	4.93596072000263e-11
SEPT8	2.37019741042957e-15	0.609460924664922	0.333	0.014	6.61261375535746e-11
S100A8	8.01075315415322e-13	1.73230708719275	1	0.185	2.23492002247721e-08
TK1	2.44733563351895e-12	1.03641013258937	0.778	0.099	6.82782168395452e-08
AK4	2.75192635190628e-12	0.409186096780884	0.333	0.018	7.67759932918332e-08
ELANE	3.64917127162671e-11	0.902571080251119	0.778	0.094	1.01808229307114e-06
S100A9	1.59618562221658e-10	1.69634451061875	1	0.23	4.45319826742205e-06
MKI67	3.08967370098267e-10	1.0895011094407	0.778	0.116	8.61988065837155e-06
UEVLD	7.11236076643571e-10	0.535014740474333	0.333	0.023	1.9842775302279e-05
EBP	5.21883004697334e-09	0.816789874983609	0.667	0.095	0.000145600139480509
DHFR2	1.54139480266106e-08	0.449769879248698	0.333	0.026	0.000430033735994409
CXCR4	1.62161771740583e-08	0.996703026807988	1	0.222	0.000452415126979052
POLD3	2.79244292281707e-08	0.740242395305842	0.667	0.1	0.000779063651036734
HIST1H1B	2.81990235210745e-08	1.06258131325531	0.778	0.14	0.000786724557214456
SNAPIN	4.51349147292635e-08	0.757823198843574	0.667	0.104	0.00125921898603172
FCGR1A	4.89002883623497e-08	0.415369588960878	0.333	0.028	0.00136426914502119
GCNT1	7.74740189094662e-08	0.731505952243377	0.444	0.053	0.0021614476535552
UHRF1	1.00283168134631e-07	0.824155670614243	0.556	0.083	0.00279780010778807
FAM111B	1.27099190597516e-07	0.730075264188806	0.444	0.054	0.0035459403184801
NUP93	1.41624980730761e-07	0.594311570861654	0.444	0.052	0.00395119533740749
COPS6	1.46990520564024e-07	0.820097165421284	0.778	0.15	0.00410088853321571
PDE3B	1.6197626274884e-07	0.617332368179122	0.556	0.076	0.00451897575442988
CNOT3	1.78028785827239e-07	0.344956241446082	0.333	0.029	0.00496682509579413
PXMP4	2.83752148779298e-07	0.447664044117147	0.444	0.051	0.00791640119879364
LYZ	3.1089048149894e-07	1.43402917721948	1	0.523	0.00867353354333892
ANXA2P2	4.38111805896357e-07	0.631151455880136	0.556	0.081	0.0122228812727025
GEMIN5	7.07311678476822e-07	0.340728056427007	0.333	0.032	0.0197332885178249
PCLAF	9.86352203586562e-07	1.02909228871466	0.889	0.227	0.0275182401278615
OIP5	1.21130265628252e-06	0.518564803993142	0.333	0.035	0.033794132807626
SMC2	1.78471380568463e-06	0.81265266599063	0.667	0.139	0.0497917304647954
