Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPINK2	1.69220001698727e-168	0.778165464803793	0.924	0.413	4.72106882739278e-164
TMSB4X	9.8111561118093e-106	-0.276795455840222	0.941	0.982	2.73721444363368e-101
LRRC75A-AS1	4.57967436034312e-66	0.340556292408581	0.905	0.73	1.27768334979213e-61
SELENOP	8.16036925539109e-65	0.490607884246328	0.464	0.184	2.27666141856156e-60
FGL2	2.95955809549298e-64	-0.727838274793573	0.067	0.367	8.25687113061587e-60
SAMHD1	7.73193834362944e-61	-0.573741123034817	0.365	0.61	2.15713347848918e-56
CDK6	1.75786517503687e-60	0.479987536592116	0.705	0.42	4.90426805183536e-56
TXNIP	3.47517563892265e-55	-0.374620104719061	0.661	0.821	9.69539251503031e-51
MS4A6A	1.41726978785743e-52	-0.630057149982371	0.039	0.294	3.95404098114345e-48
MNDA	1.06274318842565e-51	-0.63482838283123	0.097	0.367	2.96494722138871e-47
FOS	1.01613884157077e-50	-0.523198065621482	0.297	0.565	2.83492575409829e-46
HSP90AB1	1.52593007088783e-45	0.294536772410273	0.882	0.716	4.25719230476995e-41
LYZ	7.54279538782978e-45	-0.774865335633453	0.388	0.562	2.10436448525063e-40
IFI30	7.91769047443247e-42	-0.54884191817858	0.067	0.289	2.20895646546191e-37
FCER1G	1.89605361586056e-40	-0.510679586077969	0.147	0.377	5.28979998288938e-36
CTSH	3.75426415867317e-37	-0.478647140751679	0.059	0.26	1.04740215762823e-32
S100A9	6.77001924126964e-37	-0.737020239531662	0.075	0.274	1.88876766812182e-32
ANGPT1	4.76973124998307e-36	0.360642898548781	0.404	0.189	1.33070732143278e-31
FAM30A	1.27087756188183e-35	0.358075420366153	0.465	0.238	3.54562130989412e-31
S100A6	4.06804730914655e-34	-0.342442644329674	0.554	0.699	1.1349445187788e-29
PRSS57	1.09907858000342e-33	0.338370698303739	0.433	0.216	3.06631933035155e-29
NAPSB	4.92871523517691e-33	-0.459617000952046	0.114	0.316	1.37506226346201e-28
HSPD1	4.57226894420036e-31	0.335512078135805	0.66	0.449	1.27561731274246e-26
PSAP	1.66392419821163e-28	-0.359879724152747	0.457	0.605	4.64218212059063e-24
ANXA5	2.46677075182607e-28	-0.403911291653863	0.102	0.278	6.88204372051954e-24
AHNAK	3.4697395640428e-28	-0.378002572337459	0.367	0.546	9.680226409723e-24
MIF	7.80418179688846e-28	0.289637768207497	0.741	0.552	2.17728867951391e-23
CTSS	8.62509958574669e-28	-0.415466265552989	0.433	0.571	2.40631653342747e-23
NUCB2	1.00655881087595e-27	0.330134640261369	0.576	0.362	2.80819842646282e-23
LMNA	1.98191694138979e-27	-0.40055076619708	0.082	0.256	5.52935007478337e-23
CPVL	4.57774659083998e-25	-0.412911891439397	0.185	0.355	1.27714552137845e-20
COTL1	6.51804837831027e-25	-0.382252601627002	0.184	0.352	1.81847031706478e-20
DUT	7.00548874401365e-24	0.30815832117102	0.6	0.417	1.95446130469237e-19
IGSF6	2.05146434263571e-23	-0.362319435712667	0.099	0.255	5.72338036951938e-19
STMN1	4.33666401855431e-23	0.319972258609589	0.508	0.322	1.20988589453647e-18
SMYD3	6.35676510696476e-23	0.269349136315429	0.313	0.161	1.7734738971921e-18
PAICS	1.5165472246689e-22	0.285822545832404	0.323	0.176	4.23101510210378e-18
ANXA2	2.27748186211917e-22	-0.35528663321318	0.16	0.323	6.35394664712626e-18
TFDP2	1.78349868773142e-21	0.267496749278977	0.343	0.187	4.9757829889019e-17
MGST1	2.22377811602232e-20	0.266760744648756	0.491	0.312	6.20411856589066e-16
HLA-DQB1	8.38933213663034e-20	-0.360587417370029	0.135	0.276	2.3405397727985e-15
TUBB	4.75208342282446e-19	0.286132685828296	0.519	0.348	1.3257837541338e-14
LOC100506844	5.48313644096515e-19	0.260203700939402	0.365	0.218	1.52974023566487e-14
SERPINB1	9.31241495385121e-19	0.259874439253967	0.682	0.485	2.59807064797495e-14
PCLAF	1.16372401984677e-18	0.300788415800408	0.338	0.199	3.24667364297051e-14
CYBB	2.02571083622801e-18	-0.316605138304388	0.29	0.432	5.65153066199252e-14
LYST	4.96821860399396e-18	-0.310121530742828	0.236	0.383	1.38608330832827e-13
FTH1P3	1.51893779613344e-17	-0.282434690791321	0.381	0.513	4.23768455743268e-13
DHFR	1.62579532408856e-17	0.261018552618127	0.259	0.141	4.53580637467468e-13
NASP	5.42369973700914e-16	0.25624229144192	0.437	0.297	1.51315798962818e-11
IQGAP1	6.21847178191165e-16	-0.254151281113412	0.435	0.551	1.73489144243553e-11
SAT1	2.53684163081692e-15	-0.289930012199713	0.256	0.383	7.07753446581613e-11
TSC22D3	6.12987622926819e-14	-0.26924944932352	0.229	0.36	1.71017416920353e-09
CRIP1	4.59284772761631e-13	-0.264840050124684	0.42	0.527	1.28135858752767e-08
RIPOR2	9.77306456789515e-11	-0.258145682480981	0.223	0.319	2.72658728379707e-06
