Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPINK2	1.69220001698727e-168	0.778165464803793	0.924	0.413	4.72106882739278e-164
LRRC75A-AS1	4.57967436034312e-66	0.340556292408581	0.905	0.73	1.27768334979213e-61
SELENOP	8.16036925539109e-65	0.490607884246328	0.464	0.184	2.27666141856156e-60
CDK6	1.75786517503687e-60	0.479987536592116	0.705	0.42	4.90426805183536e-56
HSP90AB1	1.52593007088783e-45	0.294536772410273	0.882	0.716	4.25719230476995e-41
ANGPT1	4.76973124998307e-36	0.360642898548781	0.404	0.189	1.33070732143278e-31
FAM30A	1.27087756188183e-35	0.358075420366153	0.465	0.238	3.54562130989412e-31
PRSS57	1.09907858000342e-33	0.338370698303739	0.433	0.216	3.06631933035155e-29
HSPD1	4.57226894420036e-31	0.335512078135805	0.66	0.449	1.27561731274246e-26
MIF	7.80418179688846e-28	0.289637768207497	0.741	0.552	2.17728867951391e-23
NUCB2	1.00655881087595e-27	0.330134640261369	0.576	0.362	2.80819842646282e-23
DUT	7.00548874401365e-24	0.30815832117102	0.6	0.417	1.95446130469237e-19
STMN1	4.33666401855431e-23	0.319972258609589	0.508	0.322	1.20988589453647e-18
SMYD3	6.35676510696476e-23	0.269349136315429	0.313	0.161	1.7734738971921e-18
PAICS	1.5165472246689e-22	0.285822545832404	0.323	0.176	4.23101510210378e-18
TFDP2	1.78349868773142e-21	0.267496749278977	0.343	0.187	4.9757829889019e-17
MGST1	2.22377811602232e-20	0.266760744648756	0.491	0.312	6.20411856589066e-16
TUBB	4.75208342282446e-19	0.286132685828296	0.519	0.348	1.3257837541338e-14
LOC100506844	5.48313644096515e-19	0.260203700939402	0.365	0.218	1.52974023566487e-14
SERPINB1	9.31241495385121e-19	0.259874439253967	0.682	0.485	2.59807064797495e-14
PCLAF	1.16372401984677e-18	0.300788415800408	0.338	0.199	3.24667364297051e-14
DHFR	1.62579532408856e-17	0.261018552618127	0.259	0.141	4.53580637467468e-13
NASP	5.42369973700914e-16	0.25624229144192	0.437	0.297	1.51315798962818e-11
