Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PRO1804	2.30838303601343e-105	0.639812131954	0.25	0	6.44015783217386e-101
AKR1C2	1.7730894536483e-53	0.655517882451132	0.25	0.001	4.94674226673338e-49
LOC100996437	1.7730894536483e-53	0.590712100750163	0.25	0.001	4.94674226673338e-49
DPP9-AS1	2.00969476748293e-53	0.590409002445512	0.25	0.001	5.60684743180062e-49
IRF2BP1	1.54827330057512e-24	0.63632683001752	0.25	0.002	4.31952768127452e-20
RAB15	1.54827330057512e-24	0.65286281989186	0.25	0.002	4.31952768127452e-20
DNM1	1.63709387035075e-24	0.635649791614791	0.25	0.002	4.56732818889155e-20
PLCB4	2.5659578852474e-20	0.634792874600205	0.25	0.003	7.15876590405173e-16
HECW2	9.45850252151267e-19	0.79121561598796	0.25	0.003	2.63882761847682e-14
EFNA3	1.02854781806246e-18	0.586322734292504	0.25	0.003	2.86954555761247e-14
PPEF2	2.96804945959496e-16	0.610728962815285	0.25	0.003	8.28056118732399e-12
MAPK8IP1P2	3.07674294073277e-16	0.633430427537598	0.25	0.003	8.58380513035036e-12
C9orf41-AS1	3.0709245065819e-15	0.633554910912203	0.25	0.004	8.56757228091285e-11
LOXL1-AS1	3.17575780786747e-15	0.584011765946053	0.25	0.004	8.86004670816946e-11
NEURL2	2.23228761287651e-14	0.725823980503306	0.25	0.004	6.22785921116418e-10
RALGPS1	2.37741209359757e-14	0.648433353841184	0.25	0.004	6.63274199992786e-10
ZFP42	1.32594740663495e-13	0.583700680985535	0.25	0.004	3.69926066977084e-09
DPY19L2P3	1.36586681883622e-13	0.60971174196434	0.25	0.004	3.81063183787118e-09
MROH8	1.40696659873301e-13	0.610018931660956	0.25	0.004	3.92529611380521e-09
HOXA1	1.4492809921115e-13	0.608256857803965	0.25	0.004	4.04334903989187e-09
GAS2L1	1.01180071098772e-11	0.628723137279079	0.25	0.005	2.82282280358464e-07
IL12RB2	1.20685393552002e-11	0.579393780659241	0.25	0.005	3.36700179470731e-07
