Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PRO1804	2.30838303601343e-105	0.639812131954	0.25	0	6.44015783217386e-101
AKR1C2	1.7730894536483e-53	0.655517882451132	0.25	0.001	4.94674226673338e-49
LOC100996437	1.7730894536483e-53	0.590712100750163	0.25	0.001	4.94674226673338e-49
DPP9-AS1	2.00969476748293e-53	0.590409002445512	0.25	0.001	5.60684743180062e-49
IRF2BP1	1.54827330057512e-24	0.63632683001752	0.25	0.002	4.31952768127452e-20
RAB15	1.54827330057512e-24	0.65286281989186	0.25	0.002	4.31952768127452e-20
DNM1	1.63709387035075e-24	0.635649791614791	0.25	0.002	4.56732818889155e-20
PLCB4	2.5659578852474e-20	0.634792874600205	0.25	0.003	7.15876590405173e-16
HECW2	9.45850252151267e-19	0.79121561598796	0.25	0.003	2.63882761847682e-14
EFNA3	1.02854781806246e-18	0.586322734292504	0.25	0.003	2.86954555761247e-14
PPEF2	2.96804945959496e-16	0.610728962815285	0.25	0.003	8.28056118732399e-12
MAPK8IP1P2	3.07674294073277e-16	0.633430427537598	0.25	0.003	8.58380513035036e-12
C9orf41-AS1	3.0709245065819e-15	0.633554910912203	0.25	0.004	8.56757228091285e-11
LOXL1-AS1	3.17575780786747e-15	0.584011765946053	0.25	0.004	8.86004670816946e-11
NEURL2	2.23228761287651e-14	0.725823980503306	0.25	0.004	6.22785921116418e-10
RALGPS1	2.37741209359757e-14	0.648433353841184	0.25	0.004	6.63274199992786e-10
ZFP42	1.32594740663495e-13	0.583700680985535	0.25	0.004	3.69926066977084e-09
DPY19L2P3	1.36586681883622e-13	0.60971174196434	0.25	0.004	3.81063183787118e-09
MROH8	1.40696659873301e-13	0.610018931660956	0.25	0.004	3.92529611380521e-09
HOXA1	1.4492809921115e-13	0.608256857803965	0.25	0.004	4.04334903989187e-09
GAS2L1	1.01180071098772e-11	0.628723137279079	0.25	0.005	2.82282280358464e-07
IL12RB2	1.20685393552002e-11	0.579393780659241	0.25	0.005	3.36700179470731e-07
HIF1A-AS2	8.792545074524e-11	0.645330284030823	0.25	0.006	2.45303215034145e-06
MOSPD1	1.74066639145624e-10	1.0156242745292	0.5	0.023	4.85628516552377e-06
GFI1B	2.40789777499605e-10	0.605530852091024	0.25	0.006	6.71779400246148e-06
C19orf44	1.31111463446575e-09	0.644419437202118	0.25	0.006	3.65787871869599e-05
FMO5	4.11932676460244e-09	1.02168377252644	0.5	0.027	0.000114925097405643
TSPAN33	4.1193269598408e-09	1.00170122390424	0.5	0.027	0.000114925102852599
LOC100499484	1.02561943560908e-08	0.604439375725825	0.25	0.007	0.000286137566340578
SLC4A4	5.78060009921019e-08	0.626135011401654	0.25	0.008	0.00161272962167865
RHOF	6.37578230174802e-08	0.574250117180921	0.25	0.008	0.00177877950436468
PRDM15	9.63243054865394e-08	0.622737201392341	0.25	0.008	0.00268735179876896
RBM26-AS1	9.63243054865394e-08	0.622738792821475	0.25	0.008	0.00268735179876896
F2RL2	1.46399065954069e-07	0.760373103281581	0.25	0.008	0.00408438754105258
GATS	1.81474271977516e-07	0.57085147320141	0.25	0.008	0.00506295071390071
ZNF559	2.26631354369258e-07	0.954770283044753	0.5	0.034	0.00632278815554792
B4GAT1	3.43784719190659e-07	0.624066409219002	0.25	0.009	0.00959124988070019
FAM196B	3.53915455788601e-07	0.621952570261039	0.25	0.009	0.00987388730104618
TAF1L	3.64334028274434e-07	0.620504411704133	0.25	0.009	0.0101645550548284
DHCR7	5.08697890533579e-07	0.575326193337068	0.25	0.009	0.0141921624479963
MAP3K21	1.0480522900325e-06	0.762004921936135	0.25	0.01	0.0292396108396168
CLDN15	1.06218575422771e-06	0.619075206147644	0.25	0.01	0.029633920357199
LEAP2	1.09100493587111e-06	0.620355580190427	0.25	0.01	0.030437946705868
LLGL1	1.10569533306277e-06	0.622329612123203	0.25	0.01	0.0308477940971183
