Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD74	2.93760494008876e-36	-1.36719450232623	0.205	0.928	8.19562402235363e-32
HLA-DRA	3.03607393704411e-33	-1.42957785222372	0.096	0.837	8.47034267695935e-29
GPX1	3.59402909234949e-31	-1.1970730091316	0.193	0.858	1.00269817647459e-26
TYROBP	3.04069411016643e-26	-1.15138838295297	0.133	0.808	8.48323249795332e-22
GAPDH	7.11040679443017e-24	-0.956087762197681	0.289	0.846	1.98373239157807e-19
CST3	2.18664176525432e-23	-1.16471884689143	0.048	0.677	6.10051186088302e-19
GSTP1	1.38332866084613e-22	-1.08627230165341	0.108	0.729	3.85934863089462e-18
CFD	4.65396003367932e-22	-1.26717605500384	0.036	0.627	1.29840830979619e-17
SRGN	9.57224888548718e-22	-0.947461476191289	0.337	0.875	2.67056171656207e-17
HLA-DRB1	3.15495470694737e-21	-1.06846769042166	0.108	0.714	8.80200813691246e-17
AIF1	2.57602731741069e-20	-1.03404664221563	0.096	0.699	7.18685861284408e-16
CD36	9.04447370944737e-20	-1.17138065773925	0.036	0.594	2.52331772019872e-15
HLA-DRB5	3.26357838005998e-18	-0.992767572654451	0.048	0.591	9.10505732252934e-14
VIM	3.57302185994177e-18	-0.706339206658309	0.482	0.898	9.96837368705156e-14
HLA-DPA1	2.47936562676883e-17	-0.931985699727488	0.169	0.708	6.91718216212237e-13
HLA-DPB1	2.64991064052322e-17	-0.962038157453322	0.108	0.65	7.39298569599572e-13
ENO1	2.88647106170216e-17	-0.871171581332765	0.217	0.746	8.05296561504286e-13
SPINK2	3.70451813320866e-17	-1.08144899540931	0.024	0.534	1.03352351398388e-12
LGALS1	3.94694078544344e-17	-0.941518861190566	0.169	0.695	1.10115700973087e-12
CYBA	8.97046429117127e-17	-0.908215344550361	0.084	0.623	2.50266983259387e-12
APLP2	1.12232841966018e-16	-0.953394642285	0.048	0.566	3.13118405800995e-12
LST1	1.12494166323382e-16	-0.931164279397986	0.048	0.567	3.13847474625603e-12
H2AFY	1.73642646364395e-16	-0.902226328881916	0.096	0.634	4.84445619092026e-12
EIF4A1	6.09309283201628e-16	-0.887548645590987	0.096	0.617	1.69991196920422e-11
DUSP6	7.77853153081481e-16	-0.936003526828356	0.048	0.545	2.17013251178202e-11
TKT	2.90184388846428e-15	-0.879259324186922	0.108	0.618	8.09585426442649e-11
YWHAE	7.4182942631716e-15	-0.864573484689005	0.048	0.521	2.06962991648225e-10
TPM4	2.52898695028295e-14	-0.848680890796071	0.06	0.527	7.05562069259439e-10
PLEK	4.11205644689979e-14	-0.840109471446812	0.036	0.486	1.14722262812057e-09
ARPC3	6.99010771570499e-14	-0.74727934071529	0.229	0.741	1.95017015160454e-09
H3F3A	1.26490343190634e-13	-0.479101168093056	0.627	0.928	3.52895408467548e-09
DBI	3.80581824340589e-13	-0.795303976572918	0.12	0.577	1.06178523172781e-08
CD302	6.15544809964145e-13	-0.783999101873821	0.012	0.425	1.71730846531897e-08
FLT3	2.07441332025683e-12	-0.775640829039325	0.072	0.511	5.78740572218452e-08
VAMP8	2.4460272446981e-12	-0.723183145758147	0.217	0.671	6.82417140998322e-08
EMB	4.48107348749544e-12	-0.699486788632414	0.265	0.721	1.25017469227635e-07
LCP1	8.14869818293887e-12	-0.666437431855531	0.289	0.775	2.27340530605812e-07
GRN	1.04876831140231e-11	-0.732421791298814	0.036	0.439	2.9259587119813e-07
ACTG1	1.13107188616709e-11	-0.608188444921212	0.446	0.881	3.15557745521757e-07
TXN	1.53066775836552e-11	-0.720440915221814	0.084	0.511	4.27040997906395e-07
CD63	2.55648822523497e-11	-0.69583040792079	0.072	0.485	7.13234649958305e-07
LY86	3.63115333924607e-11	-0.714068650332384	0	0.363	1.01305547011626e-06
CLIC1	7.95942027087225e-11	-0.66233693197659	0.133	0.569	2.22059866137065e-06
SH3BGRL	1.16207600623991e-10	-0.673408223818817	0.072	0.472	3.24207584980872e-06
CYBB	1.16556264782855e-10	-0.731651913701355	0.036	0.409	3.25180323117686e-06
PYCARD	1.5437449411696e-10	-0.663271984881431	0.06	0.452	4.30689401136907e-06
CALM2	2.60777874921877e-10	-0.596247867579219	0.361	0.769	7.27544193244544e-06
CSTA	2.73958963383831e-10	-0.692510375886297	0.048	0.418	7.64318111944551e-06
CDK6	2.89248535073845e-10	-0.697551604735558	0.108	0.489	8.06974488002521e-06
HLA-DMA	3.09950997345711e-10	-0.668775318610343	0.012	0.358	8.64732287494798e-06
TIMP1	3.31595652435019e-10	-0.662511092181272	0.024	0.376	9.2511871072846e-06
HSBP1	5.94380025289837e-10	-0.628493423015286	0	0.329	1.65826083255612e-05
RNASE2	5.94380030797626e-10	-0.694693969760331	0	0.329	1.6582608479223e-05
GLIPR1	6.1421123256322e-10	-0.653080702745288	0.084	0.469	1.71358791772813e-05
CAT	6.39668123309903e-10	-0.654982437129889	0.048	0.41	1.7846100972223e-05
YBX1	6.67578665220825e-10	-0.518984924236831	0.482	0.846	1.86247771809958e-05
OAZ1	7.38610687724821e-10	-0.573774052858835	0.361	0.759	2.06064995768348e-05
SERPINB1	7.46036102794626e-10	-0.684269841706593	0.169	0.535	2.08136612318673e-05
NDUFA11	9.51491895613251e-10	-0.626225784862218	0.096	0.486	2.65456723957141e-05
FTL	1.1431099227807e-09	-0.463541678241176	0.566	0.872	3.18916237356587e-05
CTSS	1.31254969977457e-09	-0.693399343913783	0.157	0.55	3.66188240740107e-05
FCER1G	1.79928011192466e-09	-0.684018418893702	0.012	0.334	5.01981158425861e-05
ATP6V0B	1.90807489445266e-09	-0.618049232274928	0.024	0.355	5.32333814803347e-05
CALR	2.44090314418107e-09	-0.641633865144608	0.169	0.567	6.80987568195075e-05
ATP5B	3.59145708577981e-09	-0.597553407412394	0.072	0.426	0.000100198061236171
CD99	3.85053737292825e-09	-0.621620874393199	0.181	0.557	0.000107426142167325
CTSB	3.87304040488975e-09	-0.617266456085017	0.048	0.388	0.000108053954256019
MFSD1	4.63221524578167e-09	-0.584082827042224	0	0.303	0.000129234173142063
LRRC75A-AS1	4.70401572005388e-09	-0.520087341005326	0.446	0.775	0.000131237334573783
PSMA1	5.01987686365e-09	-0.583798329579903	0.024	0.346	0.000140049544618971
MRPL33	5.61718331519602e-09	-0.590388838513369	0.084	0.438	0.000156713797310654
MNDA	6.1343154835028e-09	-0.735926643031202	0.012	0.316	0.000171141267674245
CANX	6.61860115008333e-09	-0.595371717079378	0.205	0.6	0.000184652353486175
ARPC5	6.82548703911262e-09	-0.577455746282597	0.229	0.632	0.000190424262904203
MGST1	7.3741826455605e-09	-0.59878419940496	0.036	0.358	0.000205732321628492
TALDO1	7.46000653679453e-09	-0.592450113424051	0.084	0.435	0.000208126722370031
ETS2	7.90072202762823e-09	-0.614298261552982	0	0.296	0.0002204222438488
RNASE6	9.53470670559945e-09	-0.605229380523777	0.024	0.339	0.000266008782379519
GDI2	1.02870657075539e-08	-0.584549663203822	0.145	0.518	0.000286998846175045
SYK	1.06163371763624e-08	-0.589478102871868	0.012	0.315	0.000296185190883333
MLEC	1.1326097725985e-08	-0.588129387462786	0.036	0.354	0.000315986800457255
PSAP	1.17711768893029e-08	-0.596183472147156	0.193	0.582	0.000328404064034662
LAT2	1.18586595736833e-08	-0.568039467968143	0	0.291	0.00033084474344619
MYL6	1.23333463292334e-08	-0.468882764698323	0.494	0.835	0.000344088029239283
TARP	1.84992084402295e-08	-0.570440885664297	0.048	0.362	0.000516109416273964
CLEC12A	1.91044032897574e-08	-0.575224446923111	0.024	0.325	0.000532993747380942
HLA-DRB6	2.55538726129107e-08	-0.564931550443152	0.012	0.303	0.000712927492027596
METTL7A	2.93877790868408e-08	-0.573600872856529	0.036	0.338	0.000819889648743773
TPI1	2.95746485198443e-08	-0.575726106168946	0.169	0.546	0.000825103119055135
GAPT	3.91233781006613e-08	-0.547145858632598	0.024	0.317	0.00109150312563035
LYZ	4.13317164452641e-08	-0.814414905523515	0.205	0.532	0.00115311355710642
HMGN2	4.3651531415005e-08	-0.57650381057789	0.217	0.576	0.00121783407494723
RTN3	4.65588102158823e-08	-0.545084539656694	0.072	0.393	0.0012989442462129
JAML	4.66570107141269e-08	-0.605963990694495	0.108	0.439	0.00130168394191343
LYST	4.72246786108242e-08	-0.567721266037956	0.048	0.358	0.00131752130856338
CPVL	5.64490011808731e-08	-0.617316171261786	0.036	0.325	0.00157487068394518
FTH1	5.95847290055109e-08	-0.458584269278569	0.506	0.826	0.00166235435452475
SET	6.99817170692451e-08	-0.544254199396443	0.181	0.554	0.00195241992451487
STMN1	7.12033618416042e-08	-0.625246872616447	0.072	0.368	0.00198650259201892
H3F3AP4	7.43963665072965e-08	-0.54201164852129	0.217	0.605	0.00207558422918706
TNFSF13	7.5912720360141e-08	-0.521650670732615	0	0.266	0.00211788898532758
ZEB2	9.21725676094262e-08	-0.528561343977641	0.012	0.286	0.00257152246373538
RAB31	9.69457489166339e-08	-0.533836372792811	0.024	0.307	0.00270468944902517
ALDOA	9.88704026923914e-08	-0.535256450362487	0.217	0.587	0.00275838536471503
CREG1	9.99396494883182e-08	-0.509911614692718	0.048	0.347	0.00278821628107459
HOXA9	1.02097908233707e-07	-0.530248015662012	0.024	0.305	0.00284842954181218
DUT	1.05195896610282e-07	-0.570709999111652	0.133	0.463	0.00293486031953026
CTSG	1.10055559304792e-07	-0.586278930804047	0.012	0.28	0.00307044004904439
SPCS1	1.12888443100212e-07	-0.508943333061105	0.06	0.365	0.00314947467405282
LAMP2	1.18389922854512e-07	-0.521666883124261	0.048	0.345	0.00330296045771802
LAIR1	1.20736334041476e-07	-0.516343236637091	0.036	0.323	0.00336842298342314
NPC2	1.36315442694418e-07	-0.522988434153107	0.072	0.38	0.00380306453573157
NAPSB	1.40261288489914e-07	-0.587629927168371	0.012	0.279	0.00391314968758012
CTSC	1.54891391133529e-07	-0.521232247535921	0.084	0.4	0.00432131492123432
HSP90B1	1.59618875599015e-07	-0.533239056984512	0.217	0.577	0.00445320701033691
PDIA6	1.63603121897188e-07	-0.491057688337651	0.024	0.299	0.00456436349780966
LOC100506844	1.66205967942484e-07	-0.504544306226376	0	0.255	0.00463698029962737
HMGB2	1.67551230994108e-07	-0.584176117997453	0.145	0.468	0.00467451179350463
ERP29	1.69847650993795e-07	-0.514020211072338	0.12	0.449	0.00473857961507587
VSIR	1.77797120968141e-07	-0.523562728137477	0.06	0.358	0.00496036187789016
PSMB10	1.78007024896871e-07	-0.50201701829184	0.072	0.377	0.0049662179875978
HSH2D	1.95256010630503e-07	-0.507150886639893	0.036	0.316	0.0054474474405804
ANXA1	2.23457448342449e-07	-0.511576403775738	0.337	0.694	0.00623423935130599
PLAC8	2.23700834773786e-07	-0.541751659021597	0.217	0.56	0.00624102958935385
ACTB	2.30183038849015e-07	-0.269968711613457	0.807	0.958	0.00642187660084866
PSMA4	2.48388019115695e-07	-0.505527049240935	0.084	0.396	0.00692977734530878
APEX1	2.53614495219944e-07	-0.527260582728551	0.145	0.475	0.00707559080214123
COX5A	2.69115208368374e-07	-0.512470644792982	0.108	0.431	0.00750804519826928
FAM46A	2.78298551086022e-07	-0.518814436590295	0.012	0.266	0.00776425127674894
PRSS57	2.94539470425742e-07	-0.511990384153394	0.012	0.268	0.00821735668540778
CAP1	2.94611982787825e-07	-0.500413446638115	0.325	0.706	0.00821937970779752
NDUFC2	3.22186196845502e-07	-0.489211276848278	0.06	0.35	0.00898867270579266
BST2	3.29905585443367e-07	-0.490690935302264	0.06	0.349	0.00920403592828449
COMMD3	3.32928358154515e-07	-0.492913577545572	0.036	0.306	0.0092883682641528
GNAS	3.40352447528003e-07	-0.510997658214577	0.157	0.494	0.00949549293358375
TPM3	3.59774624269658e-07	-0.424729860705421	0.506	0.832	0.0100373522424992
RAC1	3.71492639490995e-07	-0.502093677017505	0.096	0.41	0.0103642731491593
TAGLN2	4.23278903272711e-07	-0.512055909947104	0.289	0.654	0.0118090581224054
GSN	4.25129988189801e-07	-0.478725403675669	0.012	0.263	0.0118607015405073
CCT8	4.76566387058522e-07	-0.475219619154807	0.06	0.345	0.0132957256325457
COMT	4.80632362654127e-07	-0.453788358880794	0.024	0.285	0.0134091622856875
SOX4	5.15367566731834e-07	-0.49426737474112	0.024	0.281	0.0143782397442514
SUB1	5.16797300671805e-07	-0.492683283617081	0.145	0.488	0.0144181278914427
GRB2	5.91509010133932e-07	-0.493459914355725	0.253	0.608	0.0165025098737266
ATP5G2	5.93811210294621e-07	-0.50391815844454	0.277	0.65	0.0165667389560096
EID1	6.24860872157471e-07	-0.483696228104652	0.145	0.477	0.0174329934723213
TUBA1B	6.29932244029703e-07	-0.544382938976612	0.169	0.474	0.0175744796761847
FGL2	6.35255992829461e-07	-0.602764365409099	0.048	0.308	0.0177230069439491
SEM1	7.08089141205052e-07	-0.471301416787953	0.084	0.375	0.0197549789504797
PDIA3	7.39094711551559e-07	-0.511592255033019	0.205	0.56	0.0206200033575769
ATP5A1	8.17194082597509e-07	-0.47945222012847	0.133	0.459	0.0227988977103879
TSPO	8.81775417704217e-07	-0.483967694402644	0.181	0.528	0.0246006523785299
HLA-DQB1	9.59984389068287e-07	-0.523080845446231	0.012	0.251	0.0267826044706161
ARPC1B	1.03937550315661e-06	-0.481794257137227	0.289	0.658	0.0289975371625663
CPT1A	1.20578498611804e-06	-0.468337120246699	0.072	0.352	0.0336401953277073
TLN1	1.2228377587681e-06	-0.486890818599653	0.205	0.532	0.0341159506318713
PHPT1	1.24113113543241e-06	-0.447183137840515	0.024	0.271	0.0346263175474289
H2AFZ	1.25542419376479e-06	-0.521622570871747	0.108	0.397	0.0350250795818439
RNF130	1.31333700138626e-06	-0.447199318589727	0.036	0.294	0.0366407890016753
TUBB	1.3192221185772e-06	-0.531360946516121	0.108	0.391	0.0368049778861854
CTSD	1.37679102316782e-06	-0.471008308590974	0.084	0.365	0.0384110927553589
GABARAP	1.51092526832439e-06	-0.48338939455025	0.181	0.49	0.0421533040609821
PDIA3P1	1.63973640483244e-06	-0.430045948874099	0.024	0.265	0.0457470059584203
TNFSF13B	1.76320265432179e-06	-0.445715744975128	0.036	0.286	0.0491915908529236
GUCY1A3	1.7868333398418e-06	-0.49792993328936	0.024	0.263	0.0498508633482464
