Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IL7R	3.30392933622115e-256	1.57644582947257	0.711	0.02	9.21763245512338e-252
LEF1	1.48671704000878e-225	0.9195160297961	0.373	0.003	4.1477918699205e-221
CD3D	5.06141987557706e-129	1.03612310279569	0.482	0.021	1.41208553108724e-124
BCL11B	7.00183841350581e-109	0.669681719491972	0.277	0.006	1.95344289898399e-104
CD3E	1.25844908882312e-62	0.618863422024371	0.253	0.012	3.51094711290762e-58
IL32	1.3343445686276e-59	0.772668239885604	0.325	0.023	3.72268791201415e-55
RORA	6.25058025743939e-58	0.614423966083839	0.253	0.013	1.74384938602302e-53
ETS1	1.1669065348034e-56	1.07502747161467	0.542	0.074	3.255552541448e-52
SYNE2	1.68273273391584e-54	0.91730834624785	0.398	0.039	4.69465605435181e-50
CD3G	1.39094612747501e-51	0.648558577010972	0.253	0.016	3.88060060104254e-47
LINC00861	7.31825387794251e-51	0.591062116238821	0.253	0.016	2.04171964940718e-46
TCF7	1.00370034019866e-42	0.689978435771309	0.277	0.024	2.80022357912025e-38
GIMAP7	4.52024448475521e-41	0.99590774913761	0.518	0.095	1.26110300880186e-36
LTB	6.56314527800925e-41	1.00361354757036	0.566	0.112	1.8310519011118e-36
PIK3IP1	2.00094991277074e-38	0.660447595766181	0.289	0.029	5.58245016163908e-34
CD74	2.93760494008876e-36	-1.36719450232623	0.205	0.928	8.19562402235363e-32
IFITM1	5.87448418592007e-35	0.99217617392026	0.566	0.132	1.63892234302984e-30
HLA-DRA	3.03607393704411e-33	-1.42957785222372	0.096	0.837	8.47034267695935e-29
GPX1	3.59402909234949e-31	-1.1970730091316	0.193	0.858	1.00269817647459e-26
CCR7	3.55467643354992e-30	0.636489386346628	0.277	0.035	9.91719178196091e-26
SLFN5	8.43813493253513e-28	0.756067363500677	0.349	0.06	2.35415526482798e-23
TYROBP	3.04069411016643e-26	-1.15138838295297	0.133	0.808	8.48323249795332e-22
GAPDH	7.11040679443017e-24	-0.956087762197681	0.289	0.846	1.98373239157807e-19
MALAT1	1.05183629284055e-23	0.307575554892678	1	0.98	2.93451807339585e-19
CST3	2.18664176525432e-23	-1.16471884689143	0.048	0.677	6.10051186088302e-19
GSTP1	1.38332866084613e-22	-1.08627230165341	0.108	0.729	3.85934863089462e-18
CFD	4.65396003367932e-22	-1.26717605500384	0.036	0.627	1.29840830979619e-17
SRGN	9.57224888548718e-22	-0.947461476191289	0.337	0.875	2.67056171656207e-17
HLA-DRB1	3.15495470694737e-21	-1.06846769042166	0.108	0.714	8.80200813691246e-17
AIF1	2.57602731741069e-20	-1.03404664221563	0.096	0.699	7.18685861284408e-16
CD2	4.4434901769815e-20	0.624964480058062	0.313	0.065	1.23968932447607e-15
CD36	9.04447370944737e-20	-1.17138065773925	0.036	0.594	2.52331772019872e-15
HLA-DRB5	3.26357838005998e-18	-0.992767572654451	0.048	0.591	9.10505732252934e-14
VIM	3.57302185994177e-18	-0.706339206658309	0.482	0.898	9.96837368705156e-14
HLA-DPA1	2.47936562676883e-17	-0.931985699727488	0.169	0.708	6.91718216212237e-13
HLA-DPB1	2.64991064052322e-17	-0.962038157453322	0.108	0.65	7.39298569599572e-13
ENO1	2.88647106170216e-17	-0.871171581332765	0.217	0.746	8.05296561504286e-13
SPINK2	3.70451813320866e-17	-1.08144899540931	0.024	0.534	1.03352351398388e-12
LGALS1	3.94694078544344e-17	-0.941518861190566	0.169	0.695	1.10115700973087e-12
CYBA	8.97046429117127e-17	-0.908215344550361	0.084	0.623	2.50266983259387e-12
APLP2	1.12232841966018e-16	-0.953394642285	0.048	0.566	3.13118405800995e-12
LST1	1.12494166323382e-16	-0.931164279397986	0.048	0.567	3.13847474625603e-12
H2AFY	1.73642646364395e-16	-0.902226328881916	0.096	0.634	4.84445619092026e-12
OXNAD1	2.17963974589934e-16	0.586270596880367	0.289	0.068	6.08097692708456e-12
TXNIP	3.94803238129379e-16	0.438180357124462	0.94	0.783	1.10146155405715e-11
DGKA	4.13105317224995e-16	0.566627943522864	0.265	0.058	1.15252252452601e-11
EIF4A1	6.09309283201628e-16	-0.887548645590987	0.096	0.617	1.69991196920422e-11
DUSP6	7.77853153081481e-16	-0.936003526828356	0.048	0.545	2.17013251178202e-11
TKT	2.90184388846428e-15	-0.879259324186922	0.108	0.618	8.09585426442649e-11
HLA-E	6.81692548514466e-15	0.442371377824612	0.831	0.719	1.90185404110051e-10
YWHAE	7.4182942631716e-15	-0.864573484689005	0.048	0.521	2.06962991648225e-10
TPM4	2.52898695028295e-14	-0.848680890796071	0.06	0.527	7.05562069259439e-10
PLEK	4.11205644689979e-14	-0.840109471446812	0.036	0.486	1.14722262812057e-09
ARPC3	6.99010771570499e-14	-0.74727934071529	0.229	0.741	1.95017015160454e-09
H3F3A	1.26490343190634e-13	-0.479101168093056	0.627	0.928	3.52895408467548e-09
DBI	3.80581824340589e-13	-0.795303976572918	0.12	0.577	1.06178523172781e-08
CD302	6.15544809964145e-13	-0.783999101873821	0.012	0.425	1.71730846531897e-08
FLT3	2.07441332025683e-12	-0.775640829039325	0.072	0.511	5.78740572218452e-08
VAMP8	2.4460272446981e-12	-0.723183145758147	0.217	0.671	6.82417140998322e-08
EMB	4.48107348749544e-12	-0.699486788632414	0.265	0.721	1.25017469227635e-07
LCP1	8.14869818293887e-12	-0.666437431855531	0.289	0.775	2.27340530605812e-07
GRN	1.04876831140231e-11	-0.732421791298814	0.036	0.439	2.9259587119813e-07
ACTG1	1.13107188616709e-11	-0.608188444921212	0.446	0.881	3.15557745521757e-07
