Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IL7R	3.30392933622115e-256	1.57644582947257	0.711	0.02	9.21763245512338e-252
LEF1	1.48671704000878e-225	0.9195160297961	0.373	0.003	4.1477918699205e-221
CD3D	5.06141987557706e-129	1.03612310279569	0.482	0.021	1.41208553108724e-124
BCL11B	7.00183841350581e-109	0.669681719491972	0.277	0.006	1.95344289898399e-104
CD3E	1.25844908882312e-62	0.618863422024371	0.253	0.012	3.51094711290762e-58
IL32	1.3343445686276e-59	0.772668239885604	0.325	0.023	3.72268791201415e-55
RORA	6.25058025743939e-58	0.614423966083839	0.253	0.013	1.74384938602302e-53
ETS1	1.1669065348034e-56	1.07502747161467	0.542	0.074	3.255552541448e-52
SYNE2	1.68273273391584e-54	0.91730834624785	0.398	0.039	4.69465605435181e-50
CD3G	1.39094612747501e-51	0.648558577010972	0.253	0.016	3.88060060104254e-47
LINC00861	7.31825387794251e-51	0.591062116238821	0.253	0.016	2.04171964940718e-46
TCF7	1.00370034019866e-42	0.689978435771309	0.277	0.024	2.80022357912025e-38
GIMAP7	4.52024448475521e-41	0.99590774913761	0.518	0.095	1.26110300880186e-36
LTB	6.56314527800925e-41	1.00361354757036	0.566	0.112	1.8310519011118e-36
PIK3IP1	2.00094991277074e-38	0.660447595766181	0.289	0.029	5.58245016163908e-34
IFITM1	5.87448418592007e-35	0.99217617392026	0.566	0.132	1.63892234302984e-30
CCR7	3.55467643354992e-30	0.636489386346628	0.277	0.035	9.91719178196091e-26
SLFN5	8.43813493253513e-28	0.756067363500677	0.349	0.06	2.35415526482798e-23
MALAT1	1.05183629284055e-23	0.307575554892678	1	0.98	2.93451807339585e-19
CD2	4.4434901769815e-20	0.624964480058062	0.313	0.065	1.23968932447607e-15
OXNAD1	2.17963974589934e-16	0.586270596880367	0.289	0.068	6.08097692708456e-12
TXNIP	3.94803238129379e-16	0.438180357124462	0.94	0.783	1.10146155405715e-11
DGKA	4.13105317224995e-16	0.566627943522864	0.265	0.058	1.15252252452601e-11
HLA-E	6.81692548514466e-15	0.442371377824612	0.831	0.719	1.90185404110051e-10
KIAA1551	7.65779337012513e-09	0.586616767510682	0.325	0.136	0.000213644777233121
TAPT1-AS1	1.33987539041088e-07	0.304450911840562	0.699	0.61	0.00373811835170731
