Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPINK2	2.87646382242348e-78	-0.553788569697039	0.327	0.63	8.02504641817925e-74
SERPINB1	1.05493821905994e-52	-0.432429984324252	0.395	0.599	2.94317213735533e-48
SELENOP	5.47539044550192e-47	-0.408071814748882	0.111	0.316	1.52757918039058e-42
PRSS57	1.27676402718327e-44	-0.39892479342091	0.133	0.333	3.5620439594386e-40
CDK6	5.89508899172683e-36	-0.359645569636983	0.368	0.542	1.64467087780187e-31
CFD	4.07294647820189e-30	-0.304847836907225	0.526	0.663	1.13631133795355e-25
FAM30A	1.97455638822717e-28	-0.311971743693338	0.178	0.346	5.50881486751498e-24
MGST1	9.05274737775682e-27	-0.301626066375891	0.247	0.407	2.52562599092038e-22
CTSG	3.3067919864846e-22	-0.329702900601739	0.188	0.321	9.22561896309338e-18
NUCB2	6.44278689452655e-22	-0.281123435483186	0.32	0.456	1.79747311570396e-17
