Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD74	1.72446330540111e-220	0.401916022090607	0.994	0.868	4.81108017573855e-216
SAMHD1	3.00210328604591e-213	0.790533414764132	0.84	0.403	8.37556795773948e-209
HLA-DRA	6.79201796943519e-206	0.535055573925595	0.969	0.74	1.89490509329272e-201
NAPSB	6.27663815010735e-175	0.797022486593433	0.539	0.128	1.75111927749845e-170
FGL2	6.98186764170954e-140	0.748427005956379	0.553	0.166	1.94787125336054e-135
HLA-DRB1	9.50008018888626e-136	0.530410967249455	0.868	0.61	2.65042737189738e-131
HLA-DPA1	6.88829545422044e-135	0.543468727398209	0.859	0.608	1.92176554877296e-130
CST3	1.15168673541108e-132	0.546829767904361	0.855	0.558	3.21309082312338e-128
HLA-DPB1	2.80084356566102e-131	0.584645464831562	0.819	0.539	7.81407346383767e-127
FCER1A	3.49722387735509e-121	0.676787477683817	0.314	0.044	9.75690489543296e-117
MRC1	9.35616377531865e-120	0.669540334187918	0.349	0.062	2.61027613167615e-115
MS4A6A	1.36896991737475e-96	0.633972829500092	0.429	0.136	3.8192891724838e-92
HLA-DQB1	1.02007521638015e-93	0.602556914204961	0.428	0.146	2.84590784617899e-89
CPVL	4.90477779965784e-91	0.602988019003834	0.507	0.216	1.36838395832654e-86
S100B	5.56186101332597e-91	0.548169746557397	0.283	0.053	1.55170360410781e-86
HLA-DQA1	1.37593856371634e-89	0.575110717237217	0.395	0.126	3.83873099891221e-85
FCER1G	9.17442376231268e-88	0.551297938614474	0.527	0.218	2.55957248544762e-83
PKIB	5.64259737718895e-81	0.471934993053354	0.282	0.06	1.57422824226194e-76
HLA-DRB5	1.61471055212892e-79	0.455794703644802	0.741	0.491	4.50488096938447e-75
FTH1	1.63989075964435e-79	0.32463318835189	0.921	0.764	4.57513123033178e-75
IL13RA1	2.6836324626733e-79	0.485999585027229	0.356	0.107	7.48706620761223e-75
IGSF6	5.07203654510049e-75	0.48676631969107	0.387	0.131	1.41504747571759e-70
PAK1	3.10524660355373e-69	0.470155037911637	0.419	0.167	8.66332749925456e-65
DBI	4.52493237387886e-66	0.416492543872972	0.713	0.487	1.26241088298846e-61
LGALS1	1.12763511267629e-63	0.377185749487826	0.829	0.604	3.14598920085558e-59
HLA-DRB6	1.30813843770595e-63	0.460074146139194	0.452	0.211	3.64957542735582e-59
JAML	5.30205329064647e-63	0.467315621848964	0.596	0.342	1.47921984755746e-58
HLA-DMB	5.34832448582197e-59	0.431968459378691	0.352	0.135	1.49212904829947e-54
