Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
VCAN	9.33571860123012e-10	0.964925027280855	0.625	0.116	2.60457213255719e-05
S100A9	7.3608431175341e-09	1.16869160328258	0.812	0.229	0.000205360162136084
FCER1A	1.38386166145207e-08	0.896104440493598	0.625	0.137	0.000386083564928514
LYZ	7.63562989246542e-08	1.17154872439771	0.938	0.523	0.00213026438369893
S100A8	1.0466982262382e-05	0.839068545014605	0.625	0.185	0.292018338138196
ANXA2	1.08126233138148e-05	0.806317455503416	0.688	0.287	0.301661377832118
RPL30	1.62582115758001e-05	-0.282630405278966	0.938	0.987	0.453587844753248
MPEG1	4.02825281524089e-05	0.63633087532531	0.438	0.117	1
ZNF609	5.01963882083699e-05	0.661432900676801	0.438	0.13	1
SKI	0.00010720750516854	0.448453610376623	0.25	0.047	1
SPINK2	0.00012139684138246	-1.14692526973103	0	0.525	1
CTSH	0.000140077548635481	0.70635493447786	0.562	0.215	1
CEBPD	0.00018164333946105	0.508336862412755	0.25	0.05	1
LTBR	0.000198994639422859	0.526641474605597	0.312	0.076	1
GPR183	0.000227044671758899	0.661439823567095	0.5	0.179	1
EIF1	0.000276684675893248	-0.662448396431735	0.438	0.839	1
ANXA5	0.000342958141237282	0.714667524948051	0.562	0.239	1
PLXND1	0.00044687787152674	0.436765821962925	0.25	0.055	1
DPYSL2	0.00065340096201566	0.539071853572305	0.312	0.086	1
B2M	0.00066537542367851	-0.274013253152212	0.875	0.995	1
E2F3	0.000697056551504828	0.608727718456161	0.375	0.121	1
CD52	0.000879739329424113	-0.70452644502041	0.375	0.804	1
SRGN	0.00089448769350298	0.317617255209054	0.938	0.863	1
SSR4	0.00102014064272013	-0.793453915497036	0.125	0.569	1
RPL13AP6	0.00105804582036274	-0.797414432805188	0.062	0.538	1
IL17RA	0.00107270688919128	0.570821855188241	0.312	0.094	1
MRC1	0.00156374015828345	0.619993520027373	0.438	0.162	1
JAK2	0.0016466088344694	0.509546189020879	0.375	0.126	1
EMB	0.00165170818134395	-0.67491548158783	0.312	0.712	1
RPS25	0.00167350897856494	-0.350903424838313	0.812	0.988	1
IRF8	0.00180459493923239	0.52990992761102	0.375	0.135	1
EIF3F	0.00221819713178632	-0.730427981175099	0.062	0.485	1
FGL2	0.00239367981848982	0.590733515909465	0.625	0.301	1
CDK6	0.00292758429296816	-0.771748345000908	0.062	0.482	1
C1orf162	0.00312455740501668	0.568036508446855	0.312	0.106	1
