Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
JCHAIN	2.98485783759974e-29	1.60121309315182	0.933	0.096	8.32745488111952e-25
ABHD4	1.5528290887434e-12	0.604467510659229	0.267	0.018	4.33223787468522e-08
RASD1	9.53048673707055e-11	0.622907499379902	0.267	0.022	2.65891049477531e-06
SDK2	5.21734732940748e-09	0.533181223591285	0.267	0.026	0.000145558773143139
SOX4	1.11176072188984e-07	1.01932636850528	0.733	0.273	0.00310170123800047
ANXA1	2.79544447050279e-06	-1.37554212639072	0	0.689	0.0779901052825574
LIME1	4.10256767248433e-06	0.748757398611685	0.467	0.112	0.11445753549464
ZFAND2B	8.37245635532134e-06	0.605063930648048	0.333	0.063	0.23358315985711
RUNX2	9.8554631041626e-06	0.795766885704994	0.533	0.159	0.274957565143032
RAB4B	1.1787588170993e-05	0.649676773928979	0.333	0.067	0.328861922382534
CLNK	1.86858870669398e-05	0.658307653456425	0.333	0.066	0.521317563280553
CFD	2.1077673503893e-05	-1.35514226236674	0	0.617	0.588046013085111
UBE2E3	2.65060643664266e-05	0.69311658793438	0.4	0.098	0.739492689758936
CCSAP	5.38595852951075e-05	0.559147832747038	0.267	0.048	1
CD52	6.83677483162499e-05	-0.808366778467595	0.4	0.804	1
CANT1	0.000123789002199882	0.515471811439733	0.267	0.053	1
CDK9	0.00039301921049776	0.506216204322976	0.267	0.059	1
N4BP2	0.000411371476919717	0.585451929345763	0.333	0.091	1
RPL27	0.000475314023028775	-0.284456062323763	0.867	0.986	1
UBE2C	0.000485188496703113	0.562296113262183	0.267	0.061	1
HMMR	0.00050144618792187	0.551339094008865	0.267	0.061	1
YBX1	0.000593692644469429	-0.622235462597178	0.467	0.84	1
RPL29	0.000598237428918788	-0.544297409788328	0.533	0.85	1
SERPINB1	0.000647256204604408	-0.957813461214705	0.067	0.529	1
GPX1	0.000673639707564303	-0.638433123216767	0.467	0.845	1
TKT	0.00082486911302254	-0.853500721855535	0.133	0.609	1
SYF2	0.000979422926315849	0.580038874030866	0.533	0.225	1
HP1BP3	0.00102899824957669	0.620848929756542	0.667	0.41	1
RPLP0P2	0.00103617558479365	-0.764748133618395	0.2	0.652	1
SRGN	0.00110348397887248	-0.567275678859628	0.6	0.865	1
CKS1B	0.00117983532002652	0.60866926789263	0.4	0.14	1
BLNK	0.00118611356948027	0.547792379861594	0.267	0.069	1
CENPE	0.00151366698509639	0.50083089012146	0.267	0.068	1
BTF3	0.00163231573786279	-0.569537959484328	0.467	0.814	1
CST3	0.0017480496095425	-0.769725437763482	0.2	0.665	1
CD302	0.00177713121132639	-0.804277974803471	0	0.418	1
TOP2A	0.00182942587264515	0.782218547899725	0.4	0.149	1
HSP90AB1	0.0018541758283238	-0.696218990744776	0.333	0.754	1
AIF1	0.00186628673207243	-0.706829327203492	0.267	0.688	1
CRIP1	0.00194020728562945	-0.88026912259152	0.067	0.506	1
CSTA	0.00198874672661194	-0.82956683038274	0	0.412	1
ACY3	0.00206796293916198	0.549309409140654	0.333	0.104	1
HIST1H2AM	0.0021294405150842	0.623660952438774	0.4	0.153	1
MAPKAPK2	0.00215723821467216	0.560876535590819	0.333	0.108	1
PRPF31	0.00239691474844658	0.471837565592887	0.267	0.073	1
RACK1	0.00263873764899644	-0.333319364495748	0.733	0.935	1
TAGLN2	0.00266585050187315	-0.72655323020141	0.2	0.648	1
SEC22C	0.00280721507840251	0.482298062252655	0.267	0.075	1
XRCC5	0.00292899834285457	-0.757007758456487	0	0.39	1
HIST1H1D	0.00321545518758854	0.564728296002723	0.6	0.307	1
C1orf35	0.00392754802014235	0.440856079968476	0.267	0.077	1
ZNF451	0.00397070559254472	0.479743812717206	0.4	0.152	1
MS4A1	0.0041070915140629	0.426144294471678	0.267	0.071	1
PECAM1	0.00432709057583803	0.634607555275478	0.467	0.221	1
TACC3	0.00444758508695765	0.600879248508802	0.4	0.174	1
MGST1	0.00568913319475673	-0.693506849551602	0	0.352	1
EXOC5	0.00578717198126827	0.470883674492807	0.333	0.119	1
NCOA4	0.00643543296307179	-0.684340024677813	0.067	0.429	1
TOMM20	0.00721574261226701	-0.655442821570645	0.067	0.424	1
LYZ	0.00726781418438602	-0.867061319855225	0.133	0.526	1
APOBEC3G	0.00754215412690867	0.433934424650435	0.267	0.085	1
RBM4	0.00758621932887147	0.510562296911123	0.4	0.172	1
JAML	0.0079229699183256	-0.71558561428142	0.067	0.433	1
ATP5J	0.00833827627894441	-0.647840294089374	0.067	0.44	1
EIF2B1	0.00869765814824675	0.439864170623598	0.267	0.087	1
PNRC1	0.00904179489182244	0.467287008305091	0.6	0.37	1
HSBP1	0.00909427681404909	-0.619342552655335	0	0.323	1
SGPL1	0.00918348992211827	0.430958793595028	0.267	0.087	1
MEF2C	0.00940194671724129	0.505719983748448	0.533	0.286	1
ARPC4	0.0104531389031416	0.552246263742424	0.467	0.252	1
RCSD1	0.0107007703599881	-0.616850424783771	0	0.313	1
ACTB	0.010741943076346	-0.431949655586961	0.667	0.956	1
MBNL3	0.0107460741804396	0.510320207494387	0.267	0.093	1
PALLD	0.0107743785270928	0.432148518646028	0.333	0.123	1
LSM8	0.0109126038136359	0.479033289416671	0.333	0.133	1
DCK	0.0111278822577035	0.513712182595373	0.333	0.138	1
MNDA	0.0111978615475007	-0.756976706410686	0	0.31	1
CYBA	0.0112217138317803	-0.604316540408996	0.2	0.613	1
DAZAP2	0.0112904416549967	-0.600262543688143	0	0.31	1
CANX	0.0115796351265408	-0.607456871289305	0.2	0.593	1
GPR183	0.0116501181345922	0.504016235081332	0.4	0.179	1
BRD2	0.0116676897033611	-0.602436674173284	0	0.308	1
WSB1	0.011988301687911	0.529598918645278	0.467	0.247	1
CENPF	0.0121531487203322	0.575525696137639	0.333	0.138	1
POLR2L	0.0125582829524101	-0.577702293584792	0	0.303	1
MSN	0.0126846955223585	-0.603842289111085	0.067	0.419	1
ARF1	0.012715969001002	-0.596461055347613	0.067	0.413	1
SUZ12P1	0.0128354137283981	0.494419505515192	0.267	0.095	1
ZNHIT1	0.0128684589958368	-0.585593736590323	0	0.301	1
LSM7	0.0137175986717723	-0.586047742101573	0.067	0.417	1
HIST1H1B	0.0137978297966432	0.603440176107559	0.333	0.141	1
UPF3A	0.0138468907028584	0.520721212234597	0.333	0.143	1
ATP5J2	0.0138966820935862	-0.55550911885268	0	0.296	1
C16orf87	0.0143182428928723	0.469635061063225	0.267	0.096	1
ENSA	0.0144852502318218	0.467075187790079	0.467	0.25	1
CLINT1	0.0147009815997054	-0.572599302215278	0	0.293	1
BORCS7	0.0147748833115402	0.400358849182835	0.267	0.094	1
HCST	0.015227705160176	-0.580170016157435	0.133	0.466	1
ANXA2	0.0153620422528215	-0.613853531388427	0	0.29	1
ANKIB1	0.0154992391980243	0.459154753009876	0.267	0.097	1
DIP2A	0.0161673126290348	0.519596442126043	0.267	0.102	1
NACA	0.0162178143924081	-0.472513432823973	0.467	0.817	1
ACADVL	0.0166234549600937	0.506396667691952	0.467	0.274	1
CHD2	0.0167131668687679	0.497843951475761	0.4	0.201	1
GALNT2	0.016748499349149	0.408273816835276	0.267	0.097	1
HLA-A	0.0167595546257279	-0.48288373027278	0.467	0.814	1
MDFIC	0.0167897507058938	0.469108931564421	0.333	0.139	1
SECISBP2L	0.0168452666940266	0.414562224476428	0.267	0.096	1
EIF4A1	0.0171075764975512	-0.59243934023124	0.2	0.607	1
TPX2	0.0173964467689365	0.456186599243554	0.267	0.1	1
RPS14P3	0.0173987084346351	-0.465589339718708	0.467	0.792	1
TNFSF13B	0.0174399351398697	-0.558793117284942	0	0.281	1
NOP58	0.017647138341197	-0.546405187072515	0	0.28	1
FTL	0.017767430000881	-0.473371620877524	0.533	0.867	1
GTF2H5	0.0177937843454749	0.526369261300221	0.333	0.156	1
LSM12	0.0180682011770678	-0.541803712858123	0	0.279	1
NDUFV2	0.0185708495449906	-0.536127972778419	0	0.277	1
FAM49B	0.0187167555145142	-0.552993842882565	0	0.276	1
ITGB1	0.0188636923613924	-0.550237056363503	0	0.276	1
SLC25A6	0.0194659933566407	-0.430383254001659	0.467	0.734	1
MCL1	0.0203911819131005	-0.556227285355396	0	0.271	1
NPTX2	0.020668165454768	0.443882166237628	0.267	0.099	1
YWHAB	0.020691862578825	-0.529512909616509	0.267	0.639	1
SCP2	0.0212779247039226	-0.523526077261605	0	0.268	1
C1QBP	0.0213420053435085	-0.535314518160579	0.067	0.37	1
DDOST	0.0214428289056041	-0.509091798179334	0	0.267	1
CD164	0.0215139219245878	0.516901371554927	0.467	0.302	1
SOD1	0.0215144437382612	-0.542487600974297	0.133	0.438	1
SRSF5	0.0215918930832087	0.294641589310219	0.867	0.73	1
STARD7	0.022023290962795	0.498990704523795	0.467	0.284	1
EPRS	0.0220290920175093	-0.517591370826141	0	0.265	1
KMT2C	0.0226297443812474	-0.540358324410621	0	0.264	1
PSME2	0.0227121906963049	-0.531664725898541	0.067	0.36	1
LAMTOR4	0.0227346114543468	-0.525685086688852	0.067	0.366	1
DDIT4	0.0228483441518905	0.481997805271951	0.467	0.26	1
S100A6	0.023025819075324	-0.522257894064635	0.333	0.669	1
NPC2	0.0232913257905842	-0.529420471102986	0.067	0.374	1
USP22	0.0236938221905481	-0.517156865491722	0	0.26	1
CITED2	0.0236938224962164	-0.531245528331827	0	0.26	1
GNAS	0.024128599495186	0.378325417367326	0.6	0.486	1
ZFAND5	0.0241503284685839	-0.519819914408703	0	0.259	1
WASF2	0.0241528532830026	-0.533884092487472	0.067	0.367	1
HSPE1	0.0248972333858561	-0.506185499055559	0	0.257	1
MYDGF	0.0248972334124747	-0.485465286457426	0	0.257	1
LOC100190986	0.0249669883758243	0.466201859529423	0.333	0.156	1
CLNS1A	0.0252784327731823	-0.489436457813243	0	0.256	1
TCF4	0.0254385619016125	0.515249003082011	0.333	0.154	1
C20orf24	0.0255194131810292	-0.520921396351924	0.067	0.352	1
TMOD3	0.0255294630946837	0.466892663339353	0.4	0.206	1
GOLGB1	0.0258600948201029	-0.527953527427087	0	0.254	1
BNIP2	0.0259582026079847	-0.502451320793652	0	0.254	1
TRMT112	0.0260845620201137	-0.521313078092939	0.067	0.351	1
HSPD1	0.026237219769425	-0.533214351005311	0.2	0.495	1
PTPN2	0.0264728206585051	0.513508166602179	0.4	0.226	1
KIAA2026	0.0266335107053012	0.381669959580197	0.267	0.103	1
SNX2	0.026755216746385	-0.506352851242094	0	0.252	1
CTSD	0.0270514105034155	-0.51651681805469	0.067	0.36	1
RAB7A	0.0270597365787113	-0.500422771160947	0	0.251	1
ZMYND8	0.0273850968037547	0.394701653827222	0.267	0.105	1
TATDN1	0.0279445783950603	0.389887138399531	0.267	0.106	1
LAMP2	0.030106462322971	-0.503845092660874	0.067	0.339	1
MFF	0.0306074493081916	0.449580719212336	0.333	0.162	1
BRK1	0.0306734385242557	0.416170476169952	0.467	0.274	1
FCER1G	0.0311942583760736	-0.557179830989834	0.067	0.328	1
KRR1	0.03262167834392	0.437055569469873	0.267	0.111	1
CNPY3	0.0329294310359399	-0.490114018906702	0.067	0.335	1
RPS21	0.0334917865804547	-0.251069466277261	0.8	0.965	1
MLEC	0.0349259290978382	-0.49240540649472	0.067	0.348	1
RBX1	0.0349508240886144	-0.477781818085216	0.067	0.333	1
TALDO1	0.0355638296406871	-0.490277884498963	0.133	0.429	1
NONO	0.0360288352350019	0.404963760148762	0.6	0.471	1
GAPDH	0.0361979207109805	-0.410501561791881	0.533	0.835	1
VIM	0.0362971959914613	-0.347162332887811	0.667	0.889	1
CPVL	0.0363639686936245	-0.557888862633466	0.067	0.32	1
KMT2A	0.0364263966356844	0.392150198037722	0.6	0.422	1
NFKBIA	0.0365999667653989	-0.501770520089279	0.067	0.331	1
HEXIM1	0.0370182206771548	0.405735426825337	0.4	0.212	1
SRP72	0.0370625614381284	-0.484778434313671	0.067	0.334	1
BZW1	0.0374177205399016	-0.475622051451052	0.067	0.327	1
DHTKD1	0.0375550863347581	0.418792227137382	0.267	0.117	1
LY86	0.037557343704173	-0.408429995974481	0.067	0.356	1
RDX	0.0376187435631206	0.465369156758466	0.267	0.117	1
RPL38	0.037724525411601	-0.345595419904297	0.667	0.917	1
SLU7	0.0379147229551899	0.398813698718646	0.333	0.16	1
CREG1	0.0389102522966148	-0.458254211259523	0.067	0.342	1
SERBP1	0.0398098991094132	-0.477121524886911	0.267	0.577	1
CCT8	0.0400099710127257	-0.453763425048395	0.067	0.34	1
