Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CRIM1	6.87622282106571e-26	0.883925140112786	0.4	0.005	1.91839740484912e-21
RASA3	3.35230252773824e-19	0.75229345668121	0.4	0.008	9.3525888221369e-15
BORCS5	2.15199390029514e-13	0.755075670809419	0.4	0.012	6.0038477824334e-09
ERAL1	1.86787703117446e-11	0.764208002517158	0.4	0.015	5.21119012927363e-07
C19orf66	6.41012933106129e-11	0.751036411587066	0.4	0.016	1.78836198207279e-06
INPPL1	1.90853511289912e-10	0.990895904013575	0.6	0.038	5.32462211147726e-06
HIST1H2AK	2.29896322022224e-09	0.850902731198017	0.4	0.019	6.41387748809802e-05
CDKN1C	2.68754677953559e-08	0.843509023075395	0.4	0.022	0.000749798676022633
AP1M1	1.67115540862413e-07	0.906199571649677	0.4	0.026	0.00466235647452047
HIST1H2AL	2.95501663331554e-07	0.82830859921072	0.4	0.027	0.00824420090528702
SPG7	1.24670203851528e-06	0.647967771729633	0.4	0.028	0.0347817401725379
ZBED5	2.28358647720744e-06	1.03986236256707	0.6	0.071	0.0637097791276104
ANKRD13A	8.94315696602843e-06	0.859592426268116	0.6	0.074	0.249505136195227
HOMER3	9.04363275044539e-06	0.688500842147867	0.4	0.034	0.252308310104676
NMRAL1	2.66447006875823e-05	0.734643555560894	0.4	0.038	0.743360504482859
GATD1	3.31977783442501e-05	0.718155567753923	0.4	0.039	0.926184818026234
LRRC8C	4.21647133229473e-05	0.623941393184795	0.4	0.038	1
DGKG	4.23954090122485e-05	0.774471218481697	0.4	0.041	1
CHSY1	4.8601356516687e-05	0.693371632746934	0.4	0.04	1
SHKBP1	6.04504528814945e-05	0.804619342613304	0.4	0.042	1
THBS1	7.22465822017174e-05	0.956585001411092	0.4	0.042	1
ZZEF1	7.53422755345256e-05	0.7166083131423	0.4	0.042	1
MIDN	8.78543064524682e-05	0.874223600844671	0.4	0.043	1
KMT5A	9.07668545224738e-05	0.797016341108649	0.4	0.044	1
DLGAP4	9.75306477766431e-05	0.617804968086232	0.4	0.042	1
EZR	0.000128569902570121	1.12235164594965	0.8	0.211	1
PHTF2	0.000191067350975143	0.779734557516631	0.4	0.049	1
CDC42BPB	0.000204364183271807	0.703806968525182	0.4	0.047	1
BCAS2	0.000225621923835744	0.805675606675978	0.6	0.103	1
HOPX	0.000248194128743271	0.99420388777501	0.6	0.114	1
ANPEP	0.00029132692348458	0.713785444152527	0.4	0.05	1
ELMO1	0.000359647889782673	0.933500355535009	0.6	0.116	1
MTF2	0.0003608947169659	0.892211676678339	0.6	0.114	1
ATP6V0C	0.000576113036365829	0.701394517758185	0.4	0.054	1
GPSM2	0.000587152994916258	0.60187391294108	0.4	0.053	1
