Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CRIM1	6.87622282106571e-26	0.883925140112786	0.4	0.005	1.91839740484912e-21
RASA3	3.35230252773824e-19	0.75229345668121	0.4	0.008	9.3525888221369e-15
BORCS5	2.15199390029514e-13	0.755075670809419	0.4	0.012	6.0038477824334e-09
ERAL1	1.86787703117446e-11	0.764208002517158	0.4	0.015	5.21119012927363e-07
C19orf66	6.41012933106129e-11	0.751036411587066	0.4	0.016	1.78836198207279e-06
INPPL1	1.90853511289912e-10	0.990895904013575	0.6	0.038	5.32462211147726e-06
HIST1H2AK	2.29896322022224e-09	0.850902731198017	0.4	0.019	6.41387748809802e-05
CDKN1C	2.68754677953559e-08	0.843509023075395	0.4	0.022	0.000749798676022633
AP1M1	1.67115540862413e-07	0.906199571649677	0.4	0.026	0.00466235647452047
HIST1H2AL	2.95501663331554e-07	0.82830859921072	0.4	0.027	0.00824420090528702
SPG7	1.24670203851528e-06	0.647967771729633	0.4	0.028	0.0347817401725379
