Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ATP5L	0.000907793474776645	-0.279841693422764	0.447	0.625	1
HSPD1	0.00192496554532226	0.295333172218176	0.569	0.4	1
RBMX	0.00420657089434511	0.295895356118495	0.45	0.275	1
SKP1	0.00462944088412808	0.289657829931311	0.423	0.275	1
PLIN2	0.00465035074453712	-0.306662679765761	0.219	0.325	1
EZR	0.00690221439272127	-0.256670334486288	0.205	0.325	1
MFSD1	0.0124703608877892	0.256022067081055	0.337	0.188	1
CHURC1	0.0135533614527693	0.259415844431546	0.34	0.2	1
LSM5	0.0167710714113699	0.257350469587126	0.276	0.162	1
CEP350	0.0216002478762038	-0.252781610640491	0.216	0.312	1
