Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
STK38	0.000123108787744287	0.36245320213999	0.264	0.1	1
ZMYM4	0.000355263016277538	0.328949069284952	0.264	0.109	1
NDUFS6	0.00182934245660565	0.327291839390115	0.264	0.127	1
TFRC	0.00191268167388484	0.305110635006637	0.321	0.158	1
HSP90B1	0.00400874990634695	-0.341540052228995	0.377	0.551	1
DAD1	0.0041187736222194	0.31068168187155	0.377	0.221	1
YWHAB	0.00714435577561438	0.26963776875347	0.642	0.482	1
WASHC4	0.00753302246249029	0.28036802849181	0.283	0.151	1
PTGES3	0.0111854278531689	0.261940921284882	0.453	0.285	1
RUFY1	0.0129219389690714	0.28021309716816	0.377	0.236	1
NUCKS1	0.0140464849583032	-0.316988433390221	0.17	0.351	1
IL10RB	0.0143341149197313	0.281642384396008	0.302	0.177	1
SSBP1	0.015784245383462	0.264411911968145	0.472	0.328	1
USP48	0.0158475297792746	0.286177098178656	0.283	0.16	1
SKP1	0.0193596988984373	-0.291790963196003	0.283	0.419	1
MOB1A	0.0202339305637068	-0.319154280705461	0.132	0.263	1
MFSD1	0.0214583881920494	-0.29400910047581	0.17	0.334	1
RBMX	0.0228554371679643	-0.292545898718716	0.283	0.445	1
HSPD1	0.0236414716416893	-0.251947498150472	0.434	0.563	1
SNX3	0.0239201275815801	0.251832011272358	0.34	0.223	1
FCER1G	0.027955422376666	-0.281727461445225	0.151	0.294	1
ARPC5	0.0329909615923422	-0.261977591191157	0.34	0.479	1
TAF7	0.0347505647716176	0.260737216145344	0.34	0.228	1
S100A9	0.0404570329057706	-0.268815072808216	0.453	0.632	1
NDUFA11	0.0486953896423821	-0.251099439861215	0.245	0.355	1
SAMHD1	0.060409864127794	-0.261696559709304	0.208	0.334	1
PLIN2	0.0607509548657241	0.26473155578749	0.302	0.223	1
VCAN	0.0702800576107057	-0.26897195320371	0.151	0.267	1
