Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SNHG12	1.30494557929738e-09	0.676544962631792	0.4	0.034	3.64066767168177e-05
LARP4	1.65051906406564e-05	0.734008905308868	0.4	0.067	0.460478313683674
ADCY7	1.69438515884786e-05	0.577505841728765	0.3	0.037	0.472716515466963
UBXN2B	4.99023114346712e-05	0.594733878917305	0.3	0.042	1
FOPNL	8.55217413743471e-05	0.610105728159254	0.4	0.073	1
TTF1	0.000148252160751379	0.56044208063508	0.3	0.046	1
FIP1L1	0.000226252530995611	0.71369614452193	0.5	0.126	1
PNPLA8	0.000285130768630407	0.733125318094323	0.4	0.087	1
LINC00869	0.000463999009942372	0.512511039059085	0.3	0.052	1
GFM1	0.000532658575169251	0.628191617900045	0.4	0.091	1
CTCF	0.000543005234057793	0.577754009230799	0.4	0.087	1
DMXL1	0.000582018754853189	0.695177783212029	0.4	0.095	1
EAPP	0.000622998301013151	0.666837266589711	0.5	0.136	1
SYK	0.00127777604829762	0.810597132637791	0.5	0.167	1
CFAP97	0.00157546590088795	0.614279921548206	0.4	0.103	1
USF3	0.00179120275219778	0.577778456792455	0.3	0.065	1
DCTN3	0.00189410416471182	0.461832022796913	0.3	0.061	1
UFM1	0.00199152566492862	0.675930569835367	0.6	0.218	1
CAB39	0.00213775408231402	0.663856590186753	0.3	0.067	1
NCOA1	0.00270708516104451	0.573986356890299	0.3	0.067	1
RBM3	0.00280913988623377	0.606773150526821	0.8	0.414	1
ATAD3C	0.00320408586514717	0.489560263776283	0.3	0.067	1
NAIP	0.00329966149393287	0.577114462547567	0.4	0.115	1
KLHL8	0.00341391463734262	0.563772556420468	0.3	0.072	1
RMND5A	0.00351964599226165	0.469855149714642	0.3	0.068	1
SNHG3	0.00361122170913714	0.65852970556861	0.5	0.178	1
TMF1	0.00398266154178719	0.673519406343917	0.5	0.194	1
MPZL1	0.00399457486525518	0.531838081697541	0.3	0.071	1
ERCC6L2	0.00561434642996065	0.484261650418753	0.3	0.074	1
RAD17	0.00581006270976251	0.543343240534514	0.3	0.076	1
TBCB	0.00583279252846888	0.543089579324675	0.3	0.078	1
GAPVD1	0.00626646719110078	0.634575294993782	0.3	0.082	1
UBE2V2	0.00644528398876567	0.578641256581371	0.6	0.253	1
EMC3	0.00644714227354435	0.548214374292127	0.3	0.078	1
URI1	0.00655997676910606	0.574493690461195	0.5	0.182	1
ARGLU1	0.0070760289926156	-0.882343248205516	0.1	0.549	1
GLUL	0.0071904871613898	0.580507058534737	0.5	0.188	1
CSTB	0.00785133698212173	0.493647685112448	0.3	0.077	1
STAG3L5P	0.00828821894041555	0.519973694925293	0.3	0.08	1
GNL3	0.00848080355139304	0.588663764091823	0.6	0.258	1
C1orf43	0.009621964801562	0.554119871817188	0.4	0.139	1
LCP1	0.010398611524878	0.506119483955345	0.9	0.573	1
GNAI3	0.0104523981156272	0.592845569059785	0.4	0.142	1
CWC27	0.0109937402543418	0.532212141355449	0.3	0.084	1
SUPT6H	0.0110881396724074	0.461977172892299	0.3	0.082	1
EZR	0.01155961281041	0.626842836068171	0.5	0.211	1
PDZD8	0.0116491514373327	0.532042501481263	0.4	0.137	1
PEBP1	0.0120301868491972	0.57471171601571	0.6	0.268	1
CMC1	0.0122508618153356	0.475437205531093	0.4	0.131	1
MTIF2	0.0128240255231265	0.455800503376538	0.3	0.085	1
PSMA7	0.012916691636121	-0.837754172481807	0	0.404	1
DCUN1D5	0.0133018773836961	0.506745137153332	0.3	0.088	1
RPN1	0.0133493199531109	0.491135203814825	0.3	0.086	1
CD52	0.0145998460468823	-0.736482913905013	0.3	0.631	1
PAPOLA	0.0154040813348974	-0.815010485479868	0	0.39	1
TMEM156	0.0162357778048194	0.453255862427789	0.3	0.09	1
NDUFB9	0.0164566108244689	0.53864275425032	0.6	0.363	1
WASHC3	0.0170473810670918	0.442512242072171	0.3	0.087	1
GTF2H1	0.017296253018219	0.482649888330594	0.3	0.09	1
PSMB5	0.0173443895834492	0.505058725966125	0.3	0.095	1
SPTLC1	0.0177422148502672	0.508080507348271	0.3	0.092	1
SLK	0.0184385602865388	0.48974407995519	0.4	0.144	1
SRP72	0.0194949188631478	0.507322070728275	0.7	0.367	1
SOD1	0.0196384440048661	0.470605136436609	0.8	0.504	1
MSH2	0.0200417733661361	0.524918990982152	0.3	0.098	1
HSP90AA1	0.0206104657377207	0.354374765479557	1	0.767	1
SF3B1	0.0206909828207431	0.412782177650127	0.9	0.635	1
SEC11A	0.0215254780076987	0.526517237183778	0.6	0.325	1
POU2F2	0.0224197366919013	0.42812263239526	0.3	0.091	1
PPP6R3	0.0230767058660176	0.461628275504671	0.3	0.097	1
EGR1	0.0232654979610067	0.549123062057217	0.3	0.099	1
FNDC3A	0.0233429085183819	0.479790083536869	0.3	0.098	1
CPSF6	0.0255203830010401	0.470138059406585	0.4	0.155	1
PSMB1	0.0260332443149523	0.48843080082895	0.6	0.314	1
XRCC5	0.0263680906112149	0.475173302793475	0.7	0.441	1
NARS	0.0274127548938068	-0.715501693778218	0	0.341	1
HLA-C	0.0277530887787812	-0.702110917852267	0.1	0.463	1
IK	0.0296609514275663	0.528247542393862	0.5	0.258	1
MIF-AS1	0.0297280428047958	0.485742897588686	0.6	0.38	1
MRPS22	0.030374874444752	0.505808282540972	0.3	0.105	1
COPS5	0.0318395001645703	0.516062956952184	0.4	0.179	1
SRSF5	0.0327138908467443	0.418033911314246	0.8	0.508	1
PRSS57	0.0337693851401826	0.510547678445447	0.4	0.174	1
USP25	0.034563739336201	0.40192865777181	0.3	0.101	1
CELF2	0.0347925848216881	-0.684628505593684	0	0.32	1
MDN1	0.0351291412896652	0.494625436192785	0.3	0.107	1
APEX1	0.035917086745566	0.474864786377134	0.7	0.399	1
RPL35	0.0375988809633854	-0.256731062996011	0.8	0.955	1
UQCRH	0.03800666992006	-0.655793000937739	0.1	0.434	1
DGKZ	0.0389039633196131	0.392420050246954	0.3	0.104	1
ATP5J2	0.0390885704958283	-0.639981887083214	0	0.309	1
RASSF3	0.0391975349832964	0.397289011894691	0.3	0.105	1
UBE2B	0.0402640185985209	0.364563850970583	0.3	0.101	1
IVNS1ABP	0.0409487437902538	0.505545532643475	0.3	0.113	1
SMIM24	0.0420157069668721	0.427296244985966	0.3	0.11	1
