gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	diff_pct
STK38	0.000274771365200186	-0.296443438786637	0.098	0.225	1	Monocytes	-0.127
MCPH1	0.000455815943523643	0.322416693477516	0.155	0.013	1	Monocytes	0.142
ATP5L	0.000907793474776645	-0.279841693422764	0.447	0.625	1	Monocytes	-0.178
EAF2	0.0013059935509552	0.326454322760868	0.246	0.088	1	Monocytes	0.158
MITD1	0.00147326102847912	-0.265965250652364	0.11	0.225	1	Monocytes	-0.115
GMNN	0.00180215696173745	-0.262499870482457	0.07	0.162	1	Monocytes	-0.092
NDUFS6	0.00186025093872798	-0.276272417481145	0.126	0.238	1	Monocytes	-0.112
HSPD1	0.00192496554532226	0.295333172218176	0.569	0.4	1	Monocytes	0.169
ILF2	0.00307316415835196	0.262486211881302	0.183	0.05	1	Monocytes	0.133
RBMX	0.00420657089434511	0.295895356118495	0.45	0.275	1	Monocytes	0.175
ATM	0.0045875767838809	0.266349613193871	0.153	0.038	1	Monocytes	0.115
SKP1	0.00462944088412808	0.289657829931311	0.423	0.275	1	Monocytes	0.148
PLIN2	0.00465035074453712	-0.306662679765761	0.219	0.325	1	Monocytes	-0.106
OLA1	0.0047185104982851	0.258906932188351	0.208	0.075	1	Monocytes	0.133
TRA2A	0.00477314121510867	-0.256638131829895	0.123	0.225	1	Monocytes	-0.102
PTPMT1	0.00644694771751108	0.261822277391822	0.162	0.05	1	Monocytes	0.112
EZR	0.00690221439272127	-0.256670334486288	0.205	0.325	1	Monocytes	-0.12
MYOT	4.91235792406323e-51	0.511135380773714	0.2	0	1.3704987372344e-46	B cells	0.2
C10orf91	4.91235792406323e-51	0.491234355383857	0.2	0	1.3704987372344e-46	B cells	0.2
PNPLA3	4.91235792406323e-51	0.491234355383857	0.2	0	1.3704987372344e-46	B cells	0.2
AKR1B10	4.91235792406323e-51	0.424305860878605	0.2	0	1.3704987372344e-46	B cells	0.2
KISS1R	4.91235792406323e-51	0.424305860878605	0.2	0	1.3704987372344e-46	B cells	0.2
LOC100303749	4.91235792406323e-51	0.424305860878605	0.2	0	1.3704987372344e-46	B cells	0.2
PDLIM4	4.91235792406323e-51	0.424305860878605	0.2	0	1.3704987372344e-46	B cells	0.2
ZNF334	4.91235792406323e-51	0.424305860878605	0.2	0	1.3704987372344e-46	B cells	0.2
LOC102724360	4.91235792406323e-51	0.378641902019247	0.2	0	1.3704987372344e-46	B cells	0.2
MIR210HG	3.22864823495196e-26	0.509045077714784	0.2	0.001	9.00760571069248e-22	B cells	0.199
LOC110091776	3.22864823495196e-26	0.489991932257694	0.2	0.001	9.00760571069248e-22	B cells	0.199
LYPD4	3.22864823495196e-26	0.489626218311625	0.2	0.001	9.00760571069248e-22	B cells	0.199
