Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
UBE2C	2.27443402702187e-295	1.18011173079382	0.753	0.033	6.34544349198831e-291
ASPM	3.69793897126491e-258	1.32237952944703	0.813	0.052	1.0316879935932e-253
HMMR	3.18431924474125e-250	1.13692328974724	0.7	0.036	8.88393226090361e-246
CENPE	1.05659567193667e-215	1.10106827028536	0.693	0.043	2.94779626513611e-211
TOP2A	9.20030866230525e-214	1.64032010492815	0.96	0.117	2.56679411369654e-209
MKI67	3.76540318643282e-204	1.37078942052603	0.873	0.087	1.05050983498289e-199
DLGAP5	1.62496605639077e-203	0.913763852517765	0.553	0.026	4.53349280072461e-199
CENPF	1.1225488860932e-193	1.4881750370562	0.9	0.108	3.13179913731142e-189
CCNB1	1.05857717876437e-186	0.904204417144711	0.567	0.031	2.95332447103471e-182
TPX2	2.63996019230714e-184	1.13097480978818	0.773	0.073	7.3652249405177e-180
GTSE1	5.89008762621503e-183	0.758850595359746	0.5	0.023	1.64327554683773e-178
CCNB2	7.05959705639243e-168	0.79532048771126	0.493	0.026	1.96955698276292e-163
CDK1	2.14317038396926e-160	0.905757999588157	0.593	0.044	5.97923105423585e-156
NUSAP1	1.37662685572315e-158	1.21370722409328	0.847	0.11	3.84065126478201e-154
BUB1	1.69963147973355e-158	0.871432378235174	0.587	0.043	4.74180186530862e-154
DEPDC1	1.05811158173182e-152	0.640983720909513	0.38	0.014	2.95202550187361e-148
CDC20	1.57251229964667e-147	0.478384396779261	0.307	0.008	4.38715206478425e-143
PLK1	9.07246816147046e-140	0.501391396277718	0.313	0.01	2.53112789236864e-135
BIRC5	2.22659267288508e-138	0.904712057850495	0.593	0.054	6.21197089808209e-134
KIF2C	1.45827996486291e-135	0.748223782137033	0.473	0.032	4.06845527397102e-131
HJURP	4.03663861711201e-127	0.618716853820303	0.413	0.025	1.12618180778808e-122
CCNA2	2.51185098252562e-125	0.793512718603114	0.527	0.046	7.00781305614822e-121
KIF14	3.38084321806501e-125	0.653798445950357	0.447	0.03	9.43221449407956e-121
KIF20A	4.12802665798768e-120	0.439906939050044	0.26	0.007	1.15167815731198e-115
AURKB	5.05811812007752e-117	0.586651855286062	0.407	0.026	1.41116437432043e-112
TROAP	1.06474657217633e-116	0.47144731350395	0.307	0.013	2.97053646171474e-112
AURKA	4.36846317415123e-115	0.672836269093394	0.407	0.027	1.21875754095645e-110
NCAPG	1.15776273115458e-113	0.733965254177463	0.513	0.048	3.23004224364815e-109
NUF2	2.48637951487262e-111	0.64296843560397	0.427	0.032	6.93675020854311e-107
ANLN	7.26386282974129e-110	0.627350463055991	0.427	0.032	2.02654509086952e-105
PTTG1	4.24073682223014e-108	0.884255956007448	0.607	0.076	1.18312316603399e-103
IQGAP3	5.27974970162651e-106	0.59069183458423	0.407	0.03	1.47299736925678e-101
PRC1	6.27082954714162e-106	0.815233282465447	0.587	0.07	1.74949873535704e-101
HIST1H1B	1.41887699618305e-103	1.1851959666971	0.713	0.118	3.95852493165108e-99
KIF23	1.2339365902944e-98	0.69945842183862	0.467	0.046	3.44255969326234e-94
HMGB2	2.18352182669448e-98	1.18537486764392	0.993	0.44	6.09180754429492e-94
CKS2	2.51869134750473e-98	1.040987364648	0.78	0.157	7.02689699040344e-94
CDCA2	4.15201904199268e-98	0.523471577646244	0.347	0.023	1.15837179252554e-93
KNL1	1.13207100272431e-97	0.699322938685278	0.473	0.048	3.15836489050054e-93
CDCA3	1.97251302176876e-97	0.465625409183257	0.3	0.016	5.50311407943266e-93
CKAP2L	4.32011145308003e-97	0.529155519454651	0.34	0.022	1.2052678942948e-92
NDC80	4.16200420249738e-95	0.66231545816509	0.433	0.041	1.16115755245474e-90
KIF11	1.80224788292363e-93	0.775415657682006	0.533	0.066	5.02809136856863e-89
SGO1	3.61507784270818e-93	0.568574866418106	0.393	0.033	1.00857056733715e-88
CDCA8	5.4128137540213e-90	0.551795383557284	0.353	0.027	1.5101209092344e-85
SGO2	6.36708840740299e-90	0.728484847721566	0.513	0.062	1.77635399478136e-85
PRR11	1.18465754043683e-89	0.89285127977985	0.64	0.104	3.30507607206471e-85
TTK	6.36585752206464e-86	0.54057682060145	0.353	0.029	1.77601059008081e-81
TUBB4B	5.296661695816e-85	0.865517331415552	0.647	0.112	1.4777156465157e-80
CKS1B	2.20185122975094e-84	0.86341891351509	0.673	0.119	6.14294474588214e-80
CEP55	5.11865296939556e-84	0.538835519228259	0.353	0.029	1.42805299193167e-79
CDKN3	5.44185723325467e-82	0.533374382388672	0.353	0.031	1.51822374950572e-77
KIF4A	5.6204611321484e-82	0.56081599408877	0.36	0.032	1.56805245125808e-77
ARHGAP11A	3.00437659613111e-81	0.604113547270194	0.4	0.041	8.38191026554619e-77
HIST1H2AJ	1.09616104326291e-79	0.588490680511875	0.413	0.044	3.0581796945992e-75
CKAP2	6.67966575711182e-76	0.800136407145764	0.593	0.102	1.86355994957663e-71
KIF20B	3.21152088942439e-75	0.828335222856673	0.667	0.129	8.95982212940511e-71
CCNF	2.22862797125626e-74	0.408563427112688	0.267	0.018	6.21764917700784e-70
BUB1B	4.76185541739149e-74	0.557324473822437	0.387	0.042	1.32851004289805e-69
KIF15	1.90288407168827e-72	0.596905336929454	0.393	0.045	5.30885627160309e-68
HIST1H1D	1.6023576471564e-71	1.06073868672239	0.88	0.285	4.47041759980165e-67
SPDL1	3.31270049743817e-71	0.535161630547281	0.387	0.043	9.24210311780275e-67
CIT	9.86998699995768e-71	0.542297948196879	0.38	0.042	2.75362767311819e-66
TUBB	4.24681512430136e-69	0.95409976501292	0.953	0.361	1.18481895152884e-64
STMN1	5.05664528841839e-69	0.987896992761155	0.927	0.339	1.41075346901585e-64
ARL6IP1	1.30345255381947e-67	0.986664447775352	0.887	0.334	3.63650227990095e-63
KPNA2	1.48482057775254e-67	0.673490275249383	0.48	0.073	4.1425009298718e-63
HIST1H4C	2.3449655914275e-64	1.01438314473775	0.927	0.471	6.54221950352359e-60
NCAPH	2.83238970987855e-64	0.484010142969969	0.347	0.038	7.90208405159017e-60
TUBA1C	4.62625674496661e-64	0.825864603885427	0.693	0.17	1.29067936927824e-59
HMGB1	3.38558054456574e-61	0.685038007770854	0.993	0.677	9.44543116128394e-57
KIF18A	8.2803149118568e-61	0.403490210659183	0.253	0.021	2.31012505725893e-56
HMGN2	2.11032106914146e-59	0.784959952698701	0.973	0.551	5.88758475079775e-55
HMGB3	1.44512709513696e-57	0.500092564817388	0.367	0.048	4.03176008272259e-53
CKAP5	1.66633746220177e-57	0.630891194858519	0.513	0.094	4.64891488579672e-53
INCENP	4.9450918448482e-57	0.442671605552948	0.28	0.028	1.3796311737942e-52
SMC4	7.11190803754552e-57	0.838683500078692	0.82	0.262	1.98415122339482e-52
SPAG5	7.41046908080335e-55	0.388461542796558	0.293	0.032	2.06744676885333e-50
TUBA1B	8.01178285297262e-55	0.839817332128162	0.913	0.449	2.23520729815083e-50
NCAPD2	5.25879723637503e-54	0.623141668597548	0.46	0.083	1.46715184097627e-49
RACGAP1	6.39930949413228e-54	0.422651776239216	0.267	0.027	1.78534335576796e-49
ECT2	4.43754502011875e-53	0.428188493817792	0.287	0.032	1.23803068516293e-48
TMPO	1.02320329282681e-51	0.823689446314841	0.813	0.285	2.85463486665752e-47
KIFC1	1.04156743174674e-51	0.416266909559998	0.273	0.03	2.90586897783022e-47
H2AFX	2.21288006282855e-51	0.601671587080184	0.453	0.084	6.17371408728537e-47
KIAA1524	5.68919142785324e-48	0.459948805773237	0.327	0.046	1.58722751645678e-43
SKA3	1.52806097417778e-46	0.449488093054222	0.34	0.051	4.26313731185859e-42
PCLAF	2.39506853464311e-46	0.775592392066249	0.72	0.209	6.68200170480081e-42
H2AFZ	4.11711847078412e-46	0.784531429293721	0.873	0.371	1.14863488216406e-41
FAM166A	1.5049756867828e-45	0.402507195877622	0.293	0.039	4.19873166855533e-41
HIST1H1C	6.40337564412862e-45	0.747632142866093	0.587	0.16	1.78647777095544e-40
SPC25	4.97285257606008e-44	0.350120184792365	0.267	0.033	1.387376140195e-39
MXD3	8.00158026907739e-44	0.526726346316248	0.4	0.074	2.2323608792699e-39
NEIL3	1.14705711935007e-41	0.427615727996652	0.313	0.049	3.20017465727475e-37
JPT1	2.43856753443366e-40	0.623435213039923	0.567	0.152	6.80335956431647e-36
NUCKS1	4.43656226530964e-40	0.707812366769376	0.88	0.435	1.23775650639874e-35
HIST1H2AM	9.51526207574768e-40	0.651998804463617	0.527	0.139	2.65466296651285e-35
TACC3	1.18860144076085e-39	0.613059376622599	0.58	0.158	3.31607915957869e-35
ANP32E	3.92700899800514e-39	0.657377404960912	0.64	0.198	1.09559624035345e-34
MAD2L1	6.38222769774734e-39	0.468509668808538	0.38	0.074	1.78057770539453e-34
C1QTNF4	8.31057591109847e-39	0.494769790275146	0.373	0.073	2.31856757343736e-34
DTYMK	8.43508964612893e-39	0.547355871474684	0.453	0.105	2.35330566037351e-34
RAD21	1.03327833227919e-37	0.689360781390943	0.82	0.346	2.88274321922571e-33
SHCBP1	1.09897229295595e-36	0.387585800866013	0.307	0.051	3.0660228001178e-32
ESCO2	8.02626738280571e-35	0.410957100740417	0.3	0.052	2.23924833712897e-30
LMNB1	2.98044334729117e-34	0.591602490120643	0.547	0.163	8.31513889460765e-30
LBR	7.51794591330343e-33	0.591821508407224	0.673	0.229	2.09743173035252e-28
HIST1H1E	1.41385271068416e-32	0.671984583187422	0.687	0.265	3.94450767753775e-28
GEN1	1.47280824403391e-32	0.38679008705973	0.293	0.053	4.10898772003021e-28
BUB3	1.69591216337979e-32	0.546974739063951	0.507	0.143	4.73142534461328e-28
CENPW	8.68097961150305e-32	0.420998500401834	0.347	0.074	2.42190650181324e-27
CENPN	2.71379961791372e-31	0.39108143448146	0.307	0.06	7.57122955401748e-27
CCNG2	4.75852365340324e-31	0.441664183276432	0.387	0.089	1.32758051406297e-26
HP1BP3	6.32043783758004e-31	0.647831236903642	0.793	0.396	1.76333895230646e-26
C21orf58	1.31420651877956e-30	0.417349856332832	0.32	0.066	3.6665047667431e-26
EZH2	2.17103776020403e-30	0.508179049132228	0.467	0.129	6.05697824719323e-26
CEP152	2.97268732392473e-30	0.425922197864348	0.38	0.088	8.29350036501761e-26
NUCB2	3.51637780553877e-30	0.640438566209248	0.807	0.392	9.81034243967261e-26
POLQ	6.02599795650011e-30	0.330395214978416	0.253	0.043	1.68119316988396e-25
HNRNPA1	2.27638313585667e-29	0.360350004271552	0.987	0.814	6.35088131072653e-25
FANCD2	7.19315246269777e-29	0.388576640270362	0.327	0.071	2.00681760556805e-24
CEP70	2.03244856175437e-28	0.331745753141415	0.267	0.049	5.67032824243853e-24
DBF4	3.43664278383331e-28	0.35857931629898	0.287	0.057	9.58788970261655e-24
CDCA5	1.664832069592e-27	0.321436005567397	0.253	0.047	4.64471499095473e-23
CALM3	6.19621400728361e-27	0.489376612476927	0.527	0.169	1.72868174589205e-22
MIS18BP1	2.22139019901824e-26	0.589397525100692	0.687	0.295	6.19745651624098e-22
ORC6	4.8610095738375e-26	0.328760951461697	0.273	0.055	1.35617306100492e-21
RAD51AP1	2.29072973798004e-25	0.318755805545391	0.26	0.052	6.39090689599051e-21
UBE2T	4.60573827197313e-25	0.351539446646662	0.3	0.068	1.28495492049778e-20
DCP2	7.24531152239745e-25	0.482023336770729	0.507	0.167	2.02136946163367e-20
BRD8	1.19745639237077e-24	0.4626027779322	0.453	0.141	3.3407835890752e-20
ACY3	5.13963367123571e-24	0.484385602226839	0.353	0.095	1.43390639793805e-19
FBXO5	1.29088461336999e-23	0.329053134731641	0.26	0.056	3.60143898284095e-19
KIF22	1.5900823515981e-23	0.363391219770936	0.387	0.106	4.43617075272354e-19
SMC2	4.11172416339042e-23	0.430586450899729	0.42	0.129	1.14712992434429e-18
RBMX	8.13748867883182e-22	0.53707011685945	0.76	0.402	2.27027796650729e-17
CENPU	1.35981553913318e-21	0.401645388177063	0.427	0.134	3.79374937262765e-17
RHNO1	6.66876113382615e-21	0.288918982894256	0.253	0.058	1.86051766872616e-16
APOC2	7.68071604533926e-21	0.449099812604617	0.507	0.187	2.1428429694892e-16
SCLT1	2.58651984707737e-20	0.346648354006443	0.293	0.076	7.21613172136116e-16
CLECL1	2.59829228049217e-20	0.326571056478477	0.313	0.083	7.2489756333451e-16
TTF2	4.26752276734483e-20	0.389607717628687	0.353	0.106	1.19059617686153e-15
