Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPINK2	2.75372597164975e-28	-1.05160398281704	0.054	0.541	7.68262008830563e-24
HINT1	5.59555564569367e-28	-0.484130394268276	0.646	0.836	1.56110406959208e-23
RPS5	1.08708293226047e-23	-0.320069344742361	0.823	0.925	3.0328526727135e-19
RPSA	3.61145514947555e-23	-0.305327277510695	0.83	0.927	1.00755987215218e-18
NPM1	4.09250723603365e-21	-0.423453666816788	0.646	0.819	1.14176859378103e-16
LRRC75A-AS1	7.65593942631135e-19	-0.48916885228948	0.571	0.776	2.1359305405466e-14
HNRNPA1	2.29442801880442e-18	-0.399337389405451	0.646	0.827	6.40122472966244e-14
GAS5	3.28901256455989e-15	-0.43934783545893	0.544	0.749	9.17601615386562e-11
NUCB2	4.17216358793425e-15	-0.661573893440919	0.095	0.421	1.16399191939778e-10
MIF	2.63205750910251e-14	-0.534029954439547	0.333	0.603	7.3431772446451e-10
TARP	2.67563467554927e-14	-0.590529470586521	0.054	0.367	7.4647531813149e-10
FAM30A	5.34323292845443e-14	-0.600930262054467	0.007	0.298	1.4907085547095e-09
SEPT6	7.49678080465759e-14	-0.584825065049924	0.068	0.38	2.09152687669142e-09
PTPRCAP	8.17141942927056e-14	-0.606608953381515	0.034	0.33	2.27974430657219e-09
ITM2C	1.32964171822176e-13	-0.56019023669048	0.014	0.303	3.70956742966689e-09
STMN1	9.41010443632784e-13	-0.637955412769205	0.088	0.373	2.6253250366911e-08
HSP90AB1	2.08476643245088e-12	-0.3554639675814	0.605	0.758	5.81628986989472e-08
CDK6	6.58045981725696e-12	-0.552535339844931	0.211	0.492	1.83588248441652e-07
PRSS57	1.10207531508462e-11	-0.519693818617403	0.02	0.272	3.07467992155457e-07
EMB	2.64049489268955e-11	-0.39553941665414	0.517	0.718	7.36671670111457e-07
SELENOP	3.93996917005561e-11	-0.50380673679461	0.014	0.253	1.09921199875381e-06
CTSG	4.68677851870954e-11	-0.545952357603747	0.034	0.284	1.30756433893478e-06
RFLNB	7.2388833340481e-10	-0.447848407628977	0.041	0.27	2.01957606136608e-05
TUBA1B	1.12775065122803e-09	-0.492340377570467	0.245	0.477	3.14631154186108e-05
HMGB1	1.23474539069005e-09	-0.378272999652428	0.51	0.697	3.44481616548617e-05
HIST1H4C	4.19221876735257e-09	-0.49641127765446	0.286	0.497	0.000116958711390369
SNRPD2	6.22611714519112e-09	-0.372525917948237	0.422	0.646	0.000173702442233687
CD99	8.77745812382678e-09	-0.407429451184229	0.354	0.557	0.000244882304196643
GUCY1A3	1.33017918421109e-08	-0.446983604175032	0.054	0.266	0.000371106690603051
PIM1	1.93555211527312e-08	-0.430514824932081	0.068	0.273	0.000539999684640049
PEBP1	2.11255196023387e-08	-0.38417915740422	0.34	0.55	0.000589380871385647
RPSAP58	4.60754586436244e-08	-0.30710025579755	0.49	0.644	0.00128545922069848
RPS18P9	4.82846595450602e-08	-0.263766940084956	0.585	0.693	0.00134709371664763
RPLP0P2	4.93977209061617e-08	-0.29683962242392	0.517	0.655	0.00137814701556101
APEX1	5.87788748259678e-08	-0.395099362324484	0.265	0.475	0.00163987182876967
HSH2D	6.40083103356789e-08	-0.384966226357777	0.102	0.318	0.0017857678500551
LOC100506844	7.35965471806171e-08	-0.385758576469328	0.061	0.257	0.00205327006979204
GTF2I	1.0923286149424e-07	-0.389102492464985	0.163	0.382	0.00304748760282779
TUBB	1.17240667466611e-07	-0.446404440618099	0.197	0.392	0.00327089738165098
GTF3A	1.22001696115037e-07	-0.362541759272964	0.333	0.538	0.00340372531991341
XBP1	1.7733076212074e-07	-0.379956185997429	0.163	0.385	0.00494735093240651
HOXA9	2.72489589720045e-07	-0.373860241121004	0.109	0.307	0.00760218706359954
HNRNPA2B1	3.93656715976023e-07	-0.277368327279879	0.565	0.711	0.0109826287190151
DSE	6.38169434605465e-07	-0.304404592894764	0.435	0.616	0.0178042890560579
FLT3	6.44970611604823e-07	-0.362848495341541	0.306	0.509	0.017994035093163
CALR	8.16011390130129e-07	-0.344904859718657	0.381	0.565	0.0227659017732405
ANKRD28	1.00423029561587e-06	-0.373903875756257	0.136	0.328	0.0280170210173871
BMI1	1.11947635505856e-06	-0.341349350068964	0.102	0.293	0.0312322708297787
SRSF3	1.21375354051685e-06	-0.337630128633021	0.327	0.52	0.0338625100268797
