Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ELANE	0	1.93346066397555	0.93	0.057	0
PRTN3	0	1.44464948973883	0.813	0.032	0
AZU1	1.7357290185758e-231	1.69391087161888	0.977	0.129	4.84251038892462e-227
CST7	2.19483496361788e-142	1.26607711584391	0.801	0.131	6.12337006499752e-138
CTSG	1.95721718342386e-130	1.42664059617464	0.93	0.243	5.46044022003424e-126
GYPC	2.05729937227266e-128	0.658178849775984	0.415	0.027	5.73965951870349e-124
DEFB1	3.47545208624968e-122	0.441676958546162	0.257	0.008	9.69616377542797e-118
RNASE3	6.45165987027827e-113	0.791512295321268	0.45	0.041	1.79994858720893e-108
SRGN	9.26120187476258e-101	0.790309970473934	1	0.857	2.58378271104001e-96
RGCC	7.91213177915743e-90	0.63060447876451	0.363	0.032	2.20740564506713e-85
SERPINB1	3.60968344203108e-81	0.924773517143557	0.959	0.507	1.00706558349225e-76
RNASE2	4.54803679487574e-80	1.00328466240564	0.883	0.296	1.26885678540238e-75
SERPINB10	1.60608076622133e-79	0.497487426715195	0.269	0.019	4.4808047296809e-75
RNASEH2C	1.74495223982587e-78	0.995238788462805	0.766	0.216	4.86824225389021e-74
CAT	1.52264236135668e-61	0.840875617390447	0.865	0.381	4.248019923949e-57
CFD	1.84915708427572e-61	0.762379363315572	0.988	0.597	5.15896334942082e-57
PRSS57	9.37358635079881e-50	0.753134253687045	0.713	0.241	2.61513685600936e-45
CLEC11A	2.0180522096839e-45	0.697435897097072	0.62	0.191	5.63016385979713e-41
LOC100506844	1.93835146460079e-44	0.697193622154499	0.678	0.229	5.40780675108975e-40
CSTA	2.51244216168608e-44	0.718942076535035	0.854	0.389	7.00946238688798e-40
NUCB2	7.73626878167029e-43	0.720403852569859	0.86	0.387	2.15834162739819e-38
LRRC75A-AS1	2.22226951069453e-42	0.485416421473754	0.965	0.758	6.19990970788667e-38
LINC01268	8.26610247233957e-42	0.429130685488609	0.269	0.039	2.30615992875802e-37
MYB	6.13980441193061e-38	0.584921658342732	0.515	0.15	1.71294403288452e-33
CSF3R	8.01207362325357e-35	0.430859379491475	0.357	0.078	2.23528842015151e-30
ERLIN1	1.43945632476291e-32	0.509754194516324	0.439	0.123	4.01593920045604e-28
ANPEP	2.07326592552532e-30	0.370783725710918	0.269	0.053	5.78420460562308e-26
NDUFB9	6.19611930084241e-30	0.597092793529148	0.69	0.31	1.72865532374202e-25
TKT	5.78983022003724e-29	0.514924634486182	0.883	0.594	1.61530473308819e-24
DMXL2	1.43350840921781e-28	0.456761941887495	0.433	0.124	3.99934511087677e-24
EAF2	2.01039042452625e-28	0.524858569296068	0.509	0.171	5.6087882453858e-24
HLA-A	4.11255279846475e-28	0.344443919498843	0.959	0.805	1.14736110524368e-23
CITED2	5.25717489660952e-27	0.564293318923834	0.602	0.243	1.46669922440509e-22
FAM46A	1.07222569250407e-26	0.584646417312864	0.596	0.245	2.99140245951709e-22
MGST1	2.38946790113556e-25	0.547317121000461	0.702	0.334	6.66637649737811e-21
MYC	5.79733017881061e-24	0.422745795298081	0.357	0.104	1.61739714658637e-19
PLAC8	3.80448264520152e-23	0.493767506396292	0.86	0.538	1.06141261318477e-18
LYZ	6.88737982479842e-23	0.579579993133793	0.871	0.508	1.92151009732051e-18
LYST	1.20853946332341e-22	0.528587470788439	0.702	0.335	3.371704248726e-18
P4HB	1.41976706299149e-22	0.497163596373694	0.608	0.265	3.96100812903996e-18
MNDA	2.23164592517932e-20	0.501323932703788	0.673	0.292	6.22606896665777e-16
IGLL1	1.57922958088511e-17	0.346745001383716	0.263	0.077	4.40589260771137e-13
GAS5	8.47823633177616e-17	0.317750965958121	0.895	0.734	2.36534315420223e-12
CLEC12A	1.07684651549205e-16	0.447397182628794	0.602	0.305	3.00429409357128e-12
LRPAP1	1.89909193404573e-16	0.396847710926256	0.468	0.202	5.29827658679418e-12
SUCNR1	2.94762911893612e-16	0.332619540756154	0.333	0.115	8.22359047891987e-12
PGD	7.16847370945759e-16	0.422874788302082	0.567	0.277	1.99993248020157e-11
RAB27A	8.23790987933783e-15	0.364179610763532	0.38	0.154	2.29829447723646e-10
BAZ1A	3.02790816710432e-14	0.389627395081919	0.45	0.203	8.44756099540435e-10
CD38	4.8008245727981e-14	0.30631735068566	0.257	0.087	1.33938204756494e-09
CCL5	9.53945234576537e-14	0.296679126678176	0.345	0.134	2.66141180994508e-09
CKS2	1.36897741126162e-13	0.372734286571899	0.392	0.171	3.81931007967878e-09
APLP2	2.19353381450277e-13	0.378461134110567	0.795	0.543	6.11973998908127e-09
ACTN1	5.08115993907545e-13	0.316545419682036	0.281	0.105	1.41759281140266e-08
VAMP8	6.79838167266039e-13	0.324557832480913	0.877	0.651	1.89668050285552e-08
CALR	2.64899850609698e-12	0.358177187129192	0.813	0.546	7.39044093215995e-08
RNA5-8S	6.3087543983097e-12	0.388718830796913	0.725	0.491	1.76007938958442e-07
SSR4	7.43664579470564e-12	0.349088289362233	0.795	0.557	2.07474981026493e-07
MSRB1	1.46001777765189e-11	0.288799394188012	0.333	0.14	4.07330359787101e-07
RPS18P9	1.61515041770688e-11	0.287111114531963	0.877	0.68	4.50610815036042e-07
TARP	1.98610407247318e-11	0.35288268856421	0.608	0.343	5.54103175179294e-07
NCOA4	2.40625015733911e-11	0.381292289001598	0.667	0.416	6.71319731396037e-07
GPI	3.63217442511979e-11	0.296892434200968	0.333	0.144	1.01334034286417e-06
RPL22L1	6.29332218946936e-11	0.357837212964544	0.62	0.356	1.75577395764006e-06
ANKRD28	1.19592675227638e-10	0.385969096662005	0.532	0.311	3.33651604617588e-06
BSG	1.31358111305256e-10	0.271628175191167	0.257	0.103	3.66475994730534e-06
GGA1	2.34459675058117e-10	0.278903662584736	0.351	0.158	6.54119047444641e-06
CTSD	3.1425995666939e-10	0.334642591519815	0.591	0.348	8.7675385311193e-06
APMAP	9.15301333287515e-10	0.270526677473835	0.269	0.113	2.55359918973884e-05
C12orf57	1.0709878582482e-09	0.315350534738721	0.497	0.272	2.98794902572667e-05
PLEK	1.45326719465333e-09	0.328970014070408	0.702	0.465	4.05447014636333e-05
CPD	1.61305183804227e-09	0.253775388529565	0.281	0.119	4.50025332295414e-05
SNHG8	3.55324789158529e-09	0.319546429694459	0.643	0.391	9.91320629273381e-05
LGALS3BP	5.65841682620794e-09	0.269720267152815	0.404	0.204	0.000157864171034375
CDCA7L	8.56709005388982e-09	0.30334862064029	0.327	0.164	0.000239013245413472
TAPT1-AS1	9.92708835661998e-09	0.280687737442963	0.819	0.602	0.000276955838061341
PXK	1.73147585198872e-08	0.254465197822098	0.257	0.115	0.000483064447946333
EBPL	2.70732299367698e-08	0.286550531069225	0.363	0.189	0.000755316042005941
XBP1	5.74285367725727e-08	0.28348889275855	0.602	0.366	0.00160219874741801
MAN1A1	6.48983592303871e-08	0.273515433488856	0.38	0.203	0.00181059932416857
RPS26	9.91754426754862e-08	0.284119122959745	0.637	0.402	0.00276689567520339
RSL1D1	2.76147742639438e-07	0.274534736286537	0.702	0.504	0.00770424587189767
GRN	5.34209552625478e-07	0.275229442987325	0.62	0.422	0.0149039123086982
CREG1	8.00382839983283e-07	0.265105943764863	0.526	0.332	0.0223298808526936
COMT	8.72120732881682e-07	0.256071031979244	0.444	0.272	0.024331296326666
TSPO	1.06821251703379e-06	0.269642341247676	0.719	0.512	0.0298020610127257
