term	gene
GSE116256_AMLscRNA_cluster_0_UP	CD52
GSE116256_AMLscRNA_cluster_0_UP	VIM
GSE116256_AMLscRNA_cluster_0_UP	CD36
GSE116256_AMLscRNA_cluster_0_UP	CD99
GSE116256_AMLscRNA_cluster_0_UP	ANXA1
GSE116256_AMLscRNA_cluster_0_UP	TAGLN2
GSE116256_AMLscRNA_cluster_0_UP	FAM30A
GSE116256_AMLscRNA_cluster_0_UP	CDK6
GSE116256_AMLscRNA_cluster_0_UP	ANGPT1
GSE116256_AMLscRNA_cluster_0_UP	EMP1
GSE116256_AMLscRNA_cluster_0_UP	GUCY1A3
GSE116256_AMLscRNA_cluster_0_UP	SPINK2
GSE116256_AMLscRNA_cluster_0_UP	DUSP6
GSE116256_AMLscRNA_cluster_0_UP	EGFL7
GSE116256_AMLscRNA_cluster_0_UP	TFPI
GSE116256_AMLscRNA_cluster_0_UP	PIM1
GSE116256_AMLscRNA_cluster_0_UP	NPTX2
GSE116256_AMLscRNA_cluster_0_UP	SH3BGRL3
GSE116256_AMLscRNA_cluster_0_UP	GLIPR1
GSE116256_AMLscRNA_cluster_0_UP	S100A4
GSE116256_AMLscRNA_cluster_0_UP	ANKRD28
GSE116256_AMLscRNA_cluster_0_UP	ALOX5
GSE116256_AMLscRNA_cluster_0_UP	MSRB3
GSE116256_AMLscRNA_cluster_0_UP	CRIP1
GSE116256_AMLscRNA_cluster_0_UP	CNST
GSE116256_AMLscRNA_cluster_0_UP	SELENOP
GSE116256_AMLscRNA_cluster_0_UP	TUBA1A
GSE116256_AMLscRNA_cluster_0_UP	SERPINB1
GSE116256_AMLscRNA_cluster_0_UP	STON2
GSE116256_AMLscRNA_cluster_0_UP	HCST
GSE116256_AMLscRNA_cluster_0_UP	ITGA6
GSE116256_AMLscRNA_cluster_0_UP	NDFIP1
GSE116256_AMLscRNA_cluster_0_UP	LRRC75A-AS1
GSE116256_AMLscRNA_cluster_0_UP	P2RX1
GSE116256_AMLscRNA_cluster_0_UP	KLF6
GSE116256_AMLscRNA_cluster_0_UP	CD82
GSE116256_AMLscRNA_cluster_0_UP	TMEM173
GSE116256_AMLscRNA_cluster_0_UP	ATP1B1
GSE116256_AMLscRNA_cluster_0_UP	GAS5
GSE116256_AMLscRNA_cluster_0_UP	LGALS1
GSE116256_AMLscRNA_cluster_0_UP	TPM4
GSE116256_AMLscRNA_cluster_0_UP	CARD19
GSE116256_AMLscRNA_cluster_0_UP	JAML
GSE116256_AMLscRNA_cluster_0_UP	EMB
GSE116256_AMLscRNA_cluster_0_UP	MYADM
GSE116256_AMLscRNA_cluster_0_UP	IDS
GSE116256_AMLscRNA_cluster_0_UP	MPG
GSE116256_AMLscRNA_cluster_0_UP	SMYD3
GSE116256_AMLscRNA_cluster_0_UP	SEPT11
GSE116256_AMLscRNA_cluster_0_UP	CFD
