GeneSet_Category	GeneSet_Sub_Category	GeneSet_Name
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.ADIPOGENESIS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.ALLOGRAFT.REJECTION
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.ANDROGEN.RESPONSE
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.ANGIOGENESIS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.APICAL.JUNCTION
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.APICAL.SURFACE
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.APOPTOSIS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.BILE.ACID.METABOLISM
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.CHOLESTEROL.HOMEOSTASIS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.COAGULATION
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.COMPLEMENT
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.DNA.REPAIR
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.E2F.TARGETS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.ESTROGEN.RESPONSE.EARLY
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.ESTROGEN.RESPONSE.LATE
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.FATTY.ACID.METABOLISM
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.G2M.CHECKPOINT
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.GLYCOLYSIS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.HEDGEHOG.SIGNALING
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.HEME.METABOLISM
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.HYPOXIA
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.IL2.STAT5.SIGNALING
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.IL6.JAK.STAT3.SIGNALING
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.INFLAMMATORY.RESPONSE
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.INTERFERON.ALPHA.RESPONSE
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.INTERFERON.GAMMA.RESPONSE
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.KRAS.SIGNALING.DN
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.KRAS.SIGNALING.UP
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.MITOTIC.SPINDLE
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.MTORC1.SIGNALING
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.MYC.TARGETS.V1
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.MYC.TARGETS.V2
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.MYOGENESIS
H: Hallmark Gene Sets	Hallmark Gene Sets	HALLMARK.NOTCH.SIGNALING
