GeneSet_Category	GeneSet_Sub_Category	GeneSet_Name
H: Hallmark Gene Sets	NA	HALLMARK_ADIPOGENESIS
H: Hallmark Gene Sets	NA	HALLMARK_ALLOGRAFT_REJECTION
H: Hallmark Gene Sets	NA	HALLMARK_ANDROGEN_RESPONSE
H: Hallmark Gene Sets	NA	HALLMARK_ANGIOGENESIS
H: Hallmark Gene Sets	NA	HALLMARK_APICAL_JUNCTION
H: Hallmark Gene Sets	NA	HALLMARK_APICAL_SURFACE
H: Hallmark Gene Sets	NA	HALLMARK_APOPTOSIS
H: Hallmark Gene Sets	NA	HALLMARK_BILE_ACID_METABOLISM
H: Hallmark Gene Sets	NA	HALLMARK_CHOLESTEROL_HOMEOSTASIS
H: Hallmark Gene Sets	NA	HALLMARK_COAGULATION
H: Hallmark Gene Sets	NA	HALLMARK_COMPLEMENT
H: Hallmark Gene Sets	NA	HALLMARK_DNA_REPAIR
H: Hallmark Gene Sets	NA	HALLMARK_E2F_TARGETS
H: Hallmark Gene Sets	NA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
H: Hallmark Gene Sets	NA	HALLMARK_ESTROGEN_RESPONSE_EARLY
H: Hallmark Gene Sets	NA	HALLMARK_ESTROGEN_RESPONSE_LATE
H: Hallmark Gene Sets	NA	HALLMARK_FATTY_ACID_METABOLISM
H: Hallmark Gene Sets	NA	HALLMARK_G2M_CHECKPOINT
H: Hallmark Gene Sets	NA	HALLMARK_GLYCOLYSIS
H: Hallmark Gene Sets	NA	HALLMARK_HEDGEHOG_SIGNALING
H: Hallmark Gene Sets	NA	HALLMARK_HEME_METABOLISM
H: Hallmark Gene Sets	NA	HALLMARK_HYPOXIA
H: Hallmark Gene Sets	NA	HALLMARK_IL2_STAT5_SIGNALING
H: Hallmark Gene Sets	NA	HALLMARK_IL6_JAK_STAT3_SIGNALING
H: Hallmark Gene Sets	NA	HALLMARK_INFLAMMATORY_RESPONSE
H: Hallmark Gene Sets	NA	HALLMARK_INTERFERON_ALPHA_RESPONSE
H: Hallmark Gene Sets	NA	HALLMARK_INTERFERON_GAMMA_RESPONSE
H: Hallmark Gene Sets	NA	HALLMARK_KRAS_SIGNALING_DN
H: Hallmark Gene Sets	NA	HALLMARK_KRAS_SIGNALING_UP
H: Hallmark Gene Sets	NA	HALLMARK_MITOTIC_SPINDLE
H: Hallmark Gene Sets	NA	HALLMARK_MTORC1_SIGNALING
H: Hallmark Gene Sets	NA	HALLMARK_MYC_TARGETS_V1
H: Hallmark Gene Sets	NA	HALLMARK_MYC_TARGETS_V2
H: Hallmark Gene Sets	NA	HALLMARK_MYOGENESIS
H: Hallmark Gene Sets	NA	HALLMARK_NOTCH_SIGNALING
