term	name
Norm_Derived_HSC/Prog	SPINK2
Norm_Derived_HSC/Prog	ZFAS1
Norm_Derived_HSC/Prog	NRIP1
Norm_Derived_HSC/Prog	GAS5
Norm_Derived_HSC/Prog	JUN
Norm_Derived_HSC/Prog	MEIS1
Norm_Derived_HSC/Prog	HLF
Norm_Derived_HSC/Prog	EGR1
Norm_Derived_HSC/Prog	CRHBP
Norm_Derived_HSC/Prog	NPR3
Norm_Derived_HSC/Prog	FAM30A
Norm_Derived_HSC/Prog	MMRN1
Norm_Derived_HSC/Prog	MSI2
Norm_Derived_HSC/Prog	ANGPT1
Norm_Derived_HSC/Prog	EIF4A2
Norm_Derived_HSC/Prog	TPT1
Norm_Derived_HSC/Prog	COMMD6
Norm_Derived_HSC/Prog	EEF1A1
Norm_Derived_HSC/Prog	SNORD13
Norm_Derived_HSC/Prog	FAU
Norm_Derived_HSC/Prog	FOS
Norm_Derived_HSC/Prog	PHLDB2
Norm_Derived_HSC/Prog	MSRB3
Norm_Derived_HSC/Prog	GUCY1A3
Norm_Derived_HSC/Prog	C6orf48
Norm_Derived_HSC/Prog	GBP4
Norm_Derived_HSC/Prog	PCDH9
Norm_Derived_HSC/Prog	SNHG6
Norm_Derived_HSC/Prog	RACK1
Norm_Derived_HSC/Prog	ADGRG6
Norm_Derived_HSC/Prog	PREX2
Norm_Derived_HSC/Prog	PRKG2
Norm_Derived_HSC/Prog	HINT1
Norm_Derived_HSC/Prog	RNA5-8S
Norm_Derived_HSC/Prog	NFKBIZ
Norm_Derived_HSC/Prog	MYCT1
Norm_Derived_HSC/Prog	TUBA1A
Norm_Derived_HSC/Prog	CD34
Norm_Derived_HSC/Prog	ZBTB20
Norm_Derived_HSC/Prog	TFPI
Norm_Derived_HSC/Prog	SNHG8
Norm_Derived_HSC/Prog	AVP
Norm_Derived_HSC/Prog	CEP70
Norm_Derived_HSC/Prog	H3F3B
Norm_Derived_HSC/Prog	RNU4-2
Norm_Derived_HSC/Prog	HIST1H2BG
Norm_Derived_HSC/Prog	HOPX
Norm_Derived_HSC/Prog	TSC22D1
Norm_Derived_HSC/Prog	LRRC70
Norm_Derived_HSC/Prog	PBX1
Norm_Derived_GPM	CPA3
Norm_Derived_GPM	PRSS57
Norm_Derived_GPM	ELANE
Norm_Derived_GPM	SUCNR1
Norm_Derived_GPM	CALR
Norm_Derived_GPM	PRTN3
Norm_Derived_GPM	AZU1
Norm_Derived_GPM	CST7
Norm_Derived_GPM	NUCB2
Norm_Derived_GPM	CTSG
Norm_Derived_GPM	EREG
Norm_Derived_GPM	IGFBP2
Norm_Derived_GPM	TRH
Norm_Derived_GPM	FAM46A
Norm_Derived_GPM	SERPINB1
Norm_Derived_GPM	C1QTNF4
Norm_Derived_GPM	VAT1
Norm_Derived_GPM	CEACAM6
Norm_Derived_GPM	CAT
Norm_Derived_GPM	TSPOAP1
Norm_Derived_GPM	SNHG25
Norm_Derived_GPM	MPO
Norm_Derived_GPM	CLEC11A
Norm_Derived_GPM	SLC2A5
Norm_Derived_GPM	PRRT4
Norm_Derived_GPM	ERLIN1
Norm_Derived_GPM	PCOLCE2
Norm_Derived_GPM	NCOA4
Norm_Derived_GPM	CD38
Norm_Derived_GPM	SPARC
Norm_Derived_GPM	VAMP8
Norm_Derived_GPM	OSTC
Norm_Derived_GPM	LINC01268
Norm_Derived_GPM	ANKRD18A
Norm_Derived_GPM	HYOU1
Norm_Derived_GPM	SLPI
Norm_Derived_GPM	MANF
Norm_Derived_GPM	CLDN10
Norm_Derived_GPM	DPM3
Norm_Derived_GPM	FDX1
Norm_Derived_GPM	HSPA5
Norm_Derived_GPM	CEBPA
Norm_Derived_GPM	TMEM258
Norm_Derived_GPM	CDCA7
Norm_Derived_GPM	RNASEH2C
Norm_Derived_GPM	HGF
Norm_Derived_GPM	LINC01835
Norm_Derived_GPM	BEND6
Norm_Derived_GPM	FAM201A
Norm_Derived_GPM	CHRNB1
Norm_Derived_Myeloid	VCAN
Norm_Derived_Myeloid	S100A9
Norm_Derived_Myeloid	S100A8
Norm_Derived_Myeloid	MNDA
Norm_Derived_Myeloid	FCN1
Norm_Derived_Myeloid	LYZ
Norm_Derived_Myeloid	THBS1
Norm_Derived_Myeloid	CSTA
Norm_Derived_Myeloid	SAMSN1
