Annotation	Gene-Symbol
IFN-TAMs-Human-FunctionalSig	CASP1
IFN-TAMs-Human-FunctionalSig	CASP4
IFN-TAMs-Human-FunctionalSig	CCL2
IFN-TAMs-Human-FunctionalSig	CCL3
IFN-TAMs-Human-FunctionalSig	CCL4
IFN-TAMs-Human-FunctionalSig	CCL7
IFN-TAMs-Human-FunctionalSig	CCL8
IFN-TAMs-Human-FunctionalSig	CD274
IFN-TAMs-Human-FunctionalSig	CD40
IFN-TAMs-Human-FunctionalSig	CXCL2
IFN-TAMs-Human-FunctionalSig	CXCL3
IFN-TAMs-Human-FunctionalSig	CXCL9
IFN-TAMs-Human-FunctionalSig	CXCL10
IFN-TAMs-Human-FunctionalSig	CXCL11
IFN-TAMs-Human-FunctionalSig	IDO1
IFN-TAMs-Human-FunctionalSig	IFI6
IFN-TAMs-Human-FunctionalSig	IFIT1
IFN-TAMs-Human-FunctionalSig	IFIT2
IFN-TAMs-Human-FunctionalSig	IFIT3
IFN-TAMs-Human-FunctionalSig	IFITM1
IFN-TAMs-Human-FunctionalSig	IFITM3
IFN-TAMs-Human-FunctionalSig	IRF1
IFN-TAMs-Human-FunctionalSig	IRF7
IFN-TAMs-Human-FunctionalSig	ISG15
IFN-TAMs-Human-FunctionalSig	LAMP3
IFN-TAMs-Human-FunctionalSig	PDCD1LG2
IFN-TAMs-Human-FunctionalSig	TNFSF10
IFN-TAMs-Human-FunctionalSig	C1QA
IFN-TAMs-Human-FunctionalSig	C1QC
IFN-TAMs-Human-FunctionalSig	CD38
IFN-TAMs-Human-FunctionalSig	IL4I1
IFN-TAMs-Human-FunctionalSig	IFI44L
IFN-TAMs-Human-TF	STAT1
IFN-TAMs-Human-TF	IRF1
IFN-TAMs-Human-TF	IRF7
IFN-TAMs-Human-FlowSort	CD14
IFN-TAMs-Human-FlowSort	ITGAM
IFN-TAMs-Human-FlowSort	CD68
IFN-TAMs-Human-FlowSort	CD274
IFN-TAMs-Human-FlowSort	PDCD1LG2
IFN-TAMs-Human-FlowSort	CD80
IFN-TAMs-Human-FlowSort	CD86
IFN-TAMs-Human-FlowSort	HLA-DRA
IFN-TAMs-Human-FlowSort	CD86
IFN-TAMs-Human-FlowSort	NCR3
IFN-TAMs-Human-FlowSort	LAMP1
IFN-TAMs-Human-FlowSort	CD86
IFN-TAMs-Human-FlowSort	TLR4
IFN-TAMs-Human-FlowSort	CD44
Inflamed-TAMs-Human-FunctionalSig	CCL2
Inflamed-TAMs-Human-FunctionalSig	CCL3
Inflamed-TAMs-Human-FunctionalSig	CCL4
Inflamed-TAMs-Human-FunctionalSig	CCL5
Inflamed-TAMs-Human-FunctionalSig	CCL20
Inflamed-TAMs-Human-FunctionalSig	CCL3L1
Inflamed-TAMs-Human-FunctionalSig	CCL3L3
Inflamed-TAMs-Human-FunctionalSig	CCL4L2
Inflamed-TAMs-Human-FunctionalSig	CCL4L4
Inflamed-TAMs-Human-FunctionalSig	CXCL1
Inflamed-TAMs-Human-FunctionalSig	CXCL2
Inflamed-TAMs-Human-FunctionalSig	CXCL3
Inflamed-TAMs-Human-FunctionalSig	CXCL5
Inflamed-TAMs-Human-FunctionalSig	CXCL8
Inflamed-TAMs-Human-FunctionalSig	G0S2
Inflamed-TAMs-Human-FunctionalSig	IL1B
Inflamed-TAMs-Human-FunctionalSig	IL1RN
Inflamed-TAMs-Human-FunctionalSig	IL6
Inflamed-TAMs-Human-FunctionalSig	INHBA
Inflamed-TAMs-Human-FunctionalSig	KLF2
Inflamed-TAMs-Human-FunctionalSig	KLF6
Inflamed-TAMs-Human-FunctionalSig	NEDD9
